Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Cambodia,82.9,"Source: KHANA EW Cascade 2017 (KP Cascade reporting system)"
Chile,75,"Source: Reporte anual de los establecimientos de control de salud sexual de trabajadoras y trabajadores sexuales"
Colombia,69.2,"Source: Cuenta de alto costo-Prestación de servicios"
Cuba,94.3,"Source: Registro Informatizado VIH/sida"
Guatemala,0.9,"Source: Base de datos PNS 2017"
Myanmar,29.7,"Source: BBS, 2019"
South Sudan,75.1,"Source: Partner ART data. 2017"
Tajikistan,81.8,"Source: Программные данные. Национальная система электронного слежения за случаями ВИЧ-инфекции."
Thailand,12.5,"Source: Integrated Biological Behavior Surveillance (IBBS)"
Ukraine,20,"Source: National Integrated Bio-Behavioral Survey 2017"
Viet Nam,42.9,"Source: HSS+2018"
Zimbabwe,69.3,"Source: Special study"
