Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Chile,35.3,"Source: Registros de los establecimientos de control de ITS del sector público"
Guatemala,8,"Source: Ministerio de Salud Publica y Asistencia Social (MSPAS)"
Honduras,19.4,"Source: Base de datos VICITS WEB"
Mexico,8.3,"Source: SS/DGIS. Sistema de Información en Salud (SIS). Datos preliminares 2016. Consulta 23 de enero del 2017."
Nepal,0.8,"Source: Integrated niological and Behavioural Surveillance (IBBS) Survey"
Panama,30.7,"Source: Sentinel surveillance, 2018"
Paraguay,23.9,"Source: Routine health information systems, 2019"
Peru,11.4,"Source: Routine Health Information Systems, 2018"
Philippines,2.2,"Source: IHBSS 2015"
Samoa,0,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Ukraine,0,"Source: Programme data  (not representative of the whole populations) SYREX database"
Zimbabwe,30,"Source: Special study"
