Country,2019
Afghanistan,693 218
Albania,248 750
Armenia,667 077
Azerbaijan,5 057 003
Botswana,162 320
Burkina Faso,7 615 252
Colombia,276 129
Congo,590 112
Costa Rica,66 720
Djibouti,108 000
Dominica,8314
Ecuador,3 600 000
Eritrea,4 620 840
Eswatini,12 144 576
Gambia,2 406 420
Georgia,1 230 964
Guatemala,1 495 069
Honduras,23 155 200
Iran (Islamic Republic of),2 270 570
Kazakhstan,1 527 277
Kyrgyzstan,2 292 837
Lebanon,55 400
Madagascar,16 438 439
Malaysia,462 198
Mauritania,1 386 000
Mauritius,261 054
Mongolia,127 685
Montenegro,40 436
Myanmar,16 144 875
Nepal,8 445 458
Nicaragua,1 115 850
Niger,26 860
Panama,16 164
Paraguay,594 100
Republic of Moldova,1 653 478
Senegal,3 570 284
Seychelles,10 368
Sri Lanka,334 631
Suriname,121 564
Tajikistan,2 976 091
Uganda,6 384 000
Ukraine,10 287 036
