Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Bangladesh,44,"Source: Program records as reported using Antiretroviaral Therapy Patients Registers 2017"
Belarus,39.6,
Cambodia,100,"Source: Program report 2017"
China,85.5,"Source: National Database of HIV/AIDS Case Report System and free Antiretrovital Treatment Program"
Estonia,83.9,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Israel,80,"Source: National HIV Registry 2018"
Lithuania,27,"Source: National HIV/AIDS surveillance database, 2016"
Luxembourg,70.6,"Source: National cohort of PLHIV, 2016"
Myanmar,14.2,"Source: Integrated Biological and Behavioral Survey (IBBS) 2017"
Seychelles,7.7,"Source: ART REGISTER 2017"
Tajikistan,57.6,"Source: Национальная система электронного слежения за случаями ВИЧ-инфекции. Программные данные 2018"
Uganda,13,"Source: PEPFAR HIBRID tool 2018"
Ukraine,41.9,"Source: National Integrated Bio-Behavioral Survey. 2017"
