Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Austria,83.1,"Source: ECDC 2017"
Bangladesh,30.9,"Source: Program records as reported using Antiretroviaral Therapy Patients Registers 2017"
Belarus,40.5,
Bosnia and Herzegovina,1.9,"Source: Case-based reporting"
Cambodia,30.8,"Source: Program report 2017"
China,81.5,"Source: National Database of HIV/AIDS Case Report System and free Antiretrovital Treatment Program"
Estonia,90.6,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Finland,54.3,"Source: ECDC 2017"
France,90.9,"Source: ECDC 2017"
Iran (Islamic Republic of),16.7,"Source: National Case registry system and Spectrum"
Israel,78.8,"Source: National HIV Registry 2018"
Kenya,67.6,"Source: Polling Booth Survey 2017"
Lithuania,21.8,"Source: National HIV/AIDS surveillance database, 2016"
Luxembourg,76.9,"Source: ECDC 2018"
Malaysia,34.6,
Mauritius,51.7,"Source: Behavioural Surveillance 2013"
Myanmar,14.1,"Source: Integrated Biological and Behavioral Survey (IBBS) 2017"
Nigeria,25,"Source: National HIV Non Health Sector Program data for 2019"
Pakistan,16.2,"Source: Program Data"
Poland,46.2,"Source: ECDC"
Romania,32,"Source: ECDC 2018"
Seychelles,42,"Source: ART REGISTER 2017"
Spain,91.2,"Source: ECDC"
Tajikistan,57.7,"Source: Национальная система электронного слежения за случаями ВИЧ-инфекции. Программные данные 2018"
Togo,3.8,"Source: Programme data, SSG and PSE studies"
Uganda,78,"Source: PEPFAR HIBRID tool 2018"
Ukraine,37.9,"Source: National Integrated Bio-Behavioral Survey. 2017"
United Kingdom,73.5,"Source: ECDC"
Viet Nam,64,"Source: HSS+ 2019"
