Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Algeria,57.1,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie. AIDS Algerie/MSPRH/ONUSIDA - 2017"
Armenia,6.5,"Source: Integrated Biological and Behavioral Surveillance Survey"
Brazil,18,
Congo,10.2,"Source: Behavioral surveillance, 2018"
Côte d'Ivoire,23,"Source: Cartographie programmatique des HSH à Abidjan"
Lao People's Democratic Republic,75.7,
Mongolia,57.3,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Paraguay,15.7,"Source: Estudio de Prevalencia del VIH/Sifilis, Hepatitis y comportamientos de riesgo en HSH 2017"
Serbia,19.6,"Source: Seroprevalent and behavioral survey (bio-behavioral surveillance survey) by using RDS methodology."
Zimbabwe,6.3,"Source: BBS, 2019"
