Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,9.7,"Source: Integrated Biological and Behavioral Surveillance Survey"
Congo,17.1,"Source: Behavioral surveillance, 2018"
Cuba,1.6,"Source: Encuesta de indicadores de prevención del sida 2017"
Côte d'Ivoire,5.2,
Guinea,1.4,"Source: ESCOMB 2017"
Lao People's Democratic Republic,3.2,"Source: IBBS"
Mongolia,35.3,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Morocco,23.2,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2019"
Paraguay,5.4,"Source: ESTUDIOS DE INVESTIGACION EN POBLACIONES VULNERABLES"
Senegal,17,"Source: Enquête Combinée"
Serbia,7.6,"Source: Seroprevalent and behavioral survey"
Thailand,10.6,"Source: IBBS 2017 non-venue FSW"
