Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Algeria,72.2,"Source: Bilan des centres de référence (CDR) de prise en charge de l'infection à VIH, 2018"
Argentina,43.6,"Source: Cohorte de personas con diagnóstico reciente iniciada en 2014"
Barbados,1.9,"Source: LRU data, 2018"
Botswana,29.9,
Gabon,0.4,"Source: Programme data 2019"
Grenada,20,"Source: Patient records/patient monitoring system 2016"
Guatemala,11.1,"Source: Datos de Unidades de Atención Integral, 2018"
Guinea,55.9,"Source: Données du centre DREAM, 2018"
Honduras,2.9,"Source: Programme data 2019"
Iran (Islamic Republic of),40.7,"Source: Programme data 2019"
Kuwait,65.5,"Source: Infectious Diseases Hospital patient`s charts 2017"
Malawi,15.2,"Source: Facility based data 2016"
Mexico,27.7,"Source: Programme data 2019"
Mongolia,100,"Source: Programme data 2019"
Namibia,9.4,"Source: Programme data 2019"
Saint Lucia,5.8,"Source: Castries STI and Vieux-Fort STI data"
Seychelles,100,"Source: Programme data 2019"
Tajikistan,40.9,"Source: Национальная система электронного слежения за случаями ВИЧ-инфекции 2017"
The former Yugoslav Republic of Macedonia,100,"Source: Clinic data registry 2019"
Zambia,26,"Source: Cervical cancer Database- National Weekly  register for cervical cancer 2016"
