Country,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper
Afghanistan,,,,,,,,,,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,2.9 ,1.4 , 9.3,1.1 ,0.5 , 3.7,2.0 ,0.9 , 7.2,2.2 ,1.0 , 9.0,,,,,,,1.1 ,0.8 , 1.7,2.8 ,2.0 , 4.4,1.4 ,1.0 , 2.2
Albania,,,,,,,,,,<0.1 ,<0.1 , Nil,,,,,,,192.4 ,120.6 , Nil,57.9 ,36.3 , Nil,201.4 ,126.2 , 371.3,247.7 ,155.2 , 456.8,<0.1 ,<0.1 , <0.1,62.3 ,39.1 , 114.8,195.9 ,122.9 , 360.4,42.6 ,26.8 , 78.4,43.7 ,27.5 , 80.5,100.0 ,70.0 , 154.5,100.0 ,70.0 , 154.5,80.4 ,56.3 , 124.2
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6 ,70.4 , 219.1
Angola,,,,,,,,,,,,,,,,,,,,,,0.5 ,0.3 , 1.0,,,,0.2 ,0.1 , 0.4,4.8 ,2.8 , 9.6,5.1 ,3.0 , 10.2,7.1 ,4.2 , 14.1,,,,,,,,,,,,,7.7 ,4.6 , 15.4
Antigua and Barbuda,,,,,,,,,,,,,87.2 ,75.3 , 102.2,87.0 ,75.1 , 101.9,87.0 ,75.1 , 101.9,,,,,,,,,,328.0 ,255.6 , 436.6,86.9 ,74.2 , 103.3,115.9 ,100.1 , 135.8,64.4 ,55.3 , 75.8,87.0 ,75.1 , Nil,,,,,,,<0.1 ,<0.1 , <0.1
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,60.2 ,38.6 , 107.0,,,,,,,,,,,,,,,,,,,,,,28.2 ,19.8 , 43.6,10.7 ,7.1 , 18.2
Armenia,,,,,,,,,,,,,<0.1 ,<0.1 , <0.1,5.3 ,4.2 , 7.1,36.7 ,28.6 , 48.8,14.0 ,10.9 , 18.6,3.6 ,2.8 , 4.7,22.7 ,17.7 , 30.1,29.3 ,22.8 , 38.9,74.0 ,58.2 , 97.1,69.7 ,55.0 , 91.4,58.1 ,45.8 , 76.2,51.9 ,40.9 , 68.1,80.0 ,56.0 , 123.6,77.3 ,54.1 , 119.4,70.6 ,49.4 , 109.0
Australia,,,,,,,,,,31.7 ,26.5 , 38.5,,,,<0.1 ,<0.1 , <0.1,2.2 ,1.8 , 2.6,22.4 ,18.7 , 27.2,17.4 ,14.5 , 21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,<0.1 ,<0.1 , <0.1,,,,,,,,,,,,,,,,,,,,,,25.6 ,20.1 , 33.6,48.2 ,38.0 , 63.2,67.7 ,53.3 , 88.8,66.1 ,52.0 , 86.8,70.4 ,49.3 , 108.7,60.6 ,42.4 , 93.7,49.4 ,34.6 , 76.4
Bahamas,,,,,,,,,,73.7 ,63.4 , 86.6,,,,,,,,,,19.6 ,17.0 , 23.0,54.4 ,46.8 , 64.1,59.3 ,51.2 , 69.4,69.4 ,60.0 , 81.3,59.4 ,51.3 , 69.6,54.4 ,46.9 , 63.7,43.5 ,37.6 , 50.9,47.6 ,39.6 , 58.4,29.5 ,25.4 , 34.6,56.0 ,39.2 , 86.6,51.9 ,44.5 , 61.3
Bahrain,,,,,,,,,,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,8.9 ,7.6 , 10.6,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,<0.1 ,<0.1 , <0.1,8.2 ,6.9 , 9.8,<0.1 ,<0.1 , <0.1,,,,,,,11.9 ,10.1 , 14.3,24.5 ,20.8 , 29.3
