Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Algeria,50,
Bangladesh,53.6,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Bulgaria,100,
Cabo Verde,100,
Costa Rica,85.5,
Cuba,81.3,"Source: Encuesta de indicadores de prevencion 2017"
Côte d'Ivoire,91.5,
Ecuador,69.7,"Source: Estudio de Vigilancia de comportamiento y prevalencia de VIH y otras infecciones de transmisión sexual en hombres que tienen sexo con hombre en Quito y Guayaquil"
Egypt,7.6,"Source: Al-Shehab Organization. Network of Associations for Harm Reduction NAHR"
El Salvador,68.8,"Source: Clinicas de vigilancia centinela de infecciones de transmisión sexuall y VIH (VICITS)"
Fiji,92.9,"Source: Integrated Biological Behavioural Surveillance Survey and Size Estimation of Sex Workers in Fiji"
Gabon,95.2,"Source: Etude cartographique chez les Travailleuses du sexe dans 5 régions sur 9"
Germany,48.8,
Guyana,66.3,"Source: Bio-behavioural Surveillance survey"
Honduras,57.1,"Source: Base de datos VICITS WEB"
Indonesia,49.4,
Kyrgyzstan,66.7,
Mexico,93.4,"Source: Fuentes: 1. Bautista-Arredondo S., Colchero M.A., Cortés M.A., Sosa-Rubí S.G., Romero M. Encuesta de seguimiento y análisis para la evaluación de impacto de las estrategias de prevención de VIH/SIDA. Reporte a FUNSALUD, Marzo 2014.; 2. Juan Pablo Gutiérrez, Aurora Franco Nuñez, Diana Nicte-Há Sansores Martínez, Andrey Ryo Shiba Matsumoto.. Informe técnico analítico sobre  la prevalencia de vih; así como factores de riesgo y vulnerabilidad,  personas que se dedican al trabajo sexual; y en personas transexuales y personas transgénero. INSP. México, 2012."
Nepal,91.3,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Nigeria,54.7,
Pakistan,26.7,"Source: IBBS Round V"
Panama,87.5,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS)"
Papua New Guinea,76.2,
Peru,90.5,"Source: Bayer et al, Estudio Piloto de Fortalecimiento de Capacidades como Prevención del VIH en Trabajadores Sexuales Hombres. Datos no publicados."
Philippines,67.9,"Source: Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Portugal,87.6,
Saint Vincent and the Grenadines,8.8,
Samoa,53.8,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Serbia,80.5,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Suriname,69,"Source: Behavioral surveillance among FSW, 2018 and behavioral surveillance among MSM and TG (including MSW and TG SW)"
Thailand,90.3,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018 among venue sex worker and Integrated Biological Behavior Surveillance (IBBS) 2018 among venue MSM(including MSW)."
The former Yugoslav Republic of Macedonia,82.6,"Source: Report from the biobehavioral survey and assessment of population size of sex workers in Macedonia, 2018"
Uruguay,85.1,"Source: a. "
Vanuatu,34.5,"Source: Vanuatu Integrated Bio‐Behavioural Survey and Population Size Estimation with Female Sex Workers in Port Vila, Vanuatu, 2011"
