Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,51.5,
Albania,86.7,"Source: Behavioral Surveillance Survey"
Algeria,65.3,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie, 2017"
Angola,71.7,"Source: Relatório do Estudo Place do Linkage 2016/2017 em 5 Províncias de Angola"
Antigua and Barbuda,99.4,
Argentina,96.3,"Source: UBATEC PEMAR 2012 Encuesta de Condiciones de Vida y Comportamientos en Población en Mayor Riesgo de contraer el VIH (PEMAR)"
Armenia,99.1,"Source: Integrated Biological and Behavioral Surveillance Survey"
Azerbaijan,53.5,"Source: Behavioral surveillance"
Bangladesh,66.7,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,85,"Source: Behavioural Surveillance Survey 2017"
Belize,84.8,"Source: 2016 Trac Studies"
Benin,83.5,"Source: Behavioural Surveillance Survey 2017"
Bhutan,37.5,
Bolivia (Plurinational State of),88.9,
Bosnia and Herzegovina,80.4,"Source: Behavioural Surveillance Survey"
Botswana,75.7,"Source: Behavioral surveillance, 2018"
Brazil,90.1,"Source: RDS among FCSW in ten municipalities in Brazil (age 18+)"
Bulgaria,92,
Burkina Faso,92.9,"Source: Cartographie programmatique , estimation de la taille et enquête bio comportementale parmi les populations clés ( PS, HSH, UD) au Burkina Faso par le SP/CNLS IST"
Burundi,52.5,"Source: Etude PLACE"
Cabo Verde,73.8,
Cambodia,88.8,
Cameroon,96,"Source: Enquete IBBS 2016, rapport préliminaire"
Central African Republic,79.6,"Source: Behavioral surveillance survey, 2019"
Chad,38,"Source: Enquête de séroprévalence et cartographie chez les PS dans 15 villes au Tchad en 2009"
Chile,97,"Source: Estudio de prevalencia de VIH en trabajadoras sexuales "
China,93.4,"Source: Sentinel surveillance"
Colombia,98.3,
Comoros,26,"Source: Behavioral surveillance, 2018"
Congo,86.3,"Source: Behavioral surveillance, 2018"
Costa Rica,74,"Source: Behavioral surveillance, 2018"
Cuba,78.1,"Source: Encuesta de indicadores de prevencion 2017"
Côte d'Ivoire,63.1,"Source: Enquete biologique et comportementale du vih et des ist chez les travailleuses du sexe de la ville de katiola en cote d'ivoire (2019)"
Democratic Republic of the Congo,73.9,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Djibouti,66.4,"Source: Enquête intégrée bio-comportementale sur le VIH-SIDA chez les professionnelles de sexe et les conducteurs de camion sur longue distance, DJIBOUTI, 2014"
Dominica,42.3,"Source: PROGRAMME DATA AND  COUNSELLING AND TESTING SERVICES"
Dominican Republic,83.7,"Source: Encuesta de Vigilancia de comportamiento con Vinculación Serológica al VIH, Sifilis, Hepatitis B y C en Poblaciones Clave, 2018"
Ecuador,69.7,"Source: Estudio de Vigilancia de comportamiento y prevalencia de VIH y otras infecciones de transmisión sexual en hombres que tienen sexo con hombre en Quito y Guayaquil"
Egypt,13.9,"Source: Al-Shehab Organization. Network of Associations for Harm Reduction NAHR"
El Salvador,91.4,"Source: Clínicas de Vigilancia Centinela de Infecciones de Transmisión Sexual (VICITS)."
Equatorial Guinea,13.7,
Eritrea,94.5,
Estonia,96.7,
Eswatini,82.9,"Source: Characterizing the HIV Prevention and Treatment Needs among Key Populations, including Men who Have Sex with Men and Female Sex Workers in Swaziland: From Evidence to Action"
Ethiopia,98.4,"Source: MARPS – 2013 Survey"
Fiji,90.9,"Source: Integrated Biological Behavioural Surveillance Survey and Size Estimation of Sex Workers in Fiji"
Finland,94.7,"Source: Health in sex and erotic work. The health and welfare of erotic, escort and sex workers in Finland. 2013"
Gabon,57.9,"Source: Etude cartographique chez les Travailleuses du sexe dans 5 régions sur 9"
Gambia,84.4,"Source: Programme data"
Georgia,93.4,"Source: Behavioural Surveillance Survey 2017"
Germany,92.8,"Source: KABP-Surv STI"
Ghana,89.9,
Guatemala,97.4,
Guinea,93.5,"Source: ESCOMB 2017"
Guinea-Bissau,22.5,"Source: “Estudo Biológico e Sócio Comportamental e estimativa do tamanho nas populações mais expostas ao risco de infeção pelo VIH na República da Guiné-Bissau”"
Guyana,75.7,"Source: Bio-behavioural Surveillance survey"
Haiti,89.1,"Source: Surveillance biologique et comportementale utilisant la méthodologie respondent driven sampling (RDS) auprès des Travailleuses de Sexe (TS) Ministère de la Santé Publique et de la Population (MSPP) / Organisation Haitienne de Marketing Social pour la Santé (OHMASS), Haiti 2014"
Honduras,74,"Source: Base de datos VICITS WEB"
India,90.8,"Source: National Integrated Bio-Behavioral Surveillance 2014-15"
Indonesia,67.8,"Source: Integrated Biological and Behavioral survey 2015"
Iran (Islamic Republic of),59.1,"Source: Behavioural Surveillance Survey"
Ireland,80,"Source: ECDC 2017"
Jamaica,95,"Source: The 4th (2017) Generation Surveillance of Commercial Sex Workers, Female Patrons and Workers of Sites, where Persons Meet Sex Partners or Participate in Sexual Activity in Jamaica"
Japan,39.8,
Kazakhstan,93.5,"Source: Behavioral Surveillance Survey"
Kenya,92,"Source: Polling Booth Survey 2017"
Kiribati,55.4,"Source: HIV Program register"
Kyrgyzstan,97.2,
Lao People's Democratic Republic,91.8,"Source: Behavioural Surveillance Survey 2017"
Latvia,85.5,"Source: EC project BORDERNETWORK"
Lebanon,79.2,"Source: Behavioral surveillance, 2018"
Lesotho,62.3,"Source: Behavioral surveillance, 2018"
Liberia,83.4,"Source: Liberia IBBSS 2017"
Madagascar,62.8,"Source: Etude de surveillance biologique et comportementale chez les professionnelles de sexe, Année 2016"
Malawi,65,"Source: PLACE study"
Malaysia,83.5,"Source: Behavioural Surveillance Survey 2017"
Mali,98,"Source: Rapport de l'étude bio comportementale(IBBS) VIH, IST et TB chez les Femmes travailleuses de sexe et les routiers au Mali"
Malta,72.7,"Source: ECDC 2017"
Mauritania,87.6,"Source: Enquête sérologique et comportementale conduite en 2008"
Mauritius,67.2,"Source: Integrated Biological Behavoural sueveillance only Female Sex workers"
Mexico,84.4,
Mongolia,89.4,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Montenegro,82.8,"Source: Biological-behavioural survey"
Morocco,61.1,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2019"
Myanmar,89.9,"Source: BSS, 2019"
Nepal,88.2,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Netherlands,88,
Nicaragua,92.1,
Niger,92.7,"Source: Enquête de surveillance de seconde génération chez les populations clés"
Nigeria,98.1,"Source: Behavioural Surveillance Survey"
Pakistan,35.1,"Source: IBBS Round V"
Panama,97,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS)"
Papua New Guinea,31.7,"Source: Kelly-Hanku, A., Willie, B., Weikum, D.,A., Boli Neo, R., Kupul, M., Coy, K., Hou, P., Aeno. H., Ase, S., Gabuzzi, J., Nembari, J., Narakobi, R., Amos-Kuma, A., Gare, J., Dala, N., Wapling, J., Toliman, P., John, L., Nosi, S., Worth, H., Whiley, D., Tabrizi, S.N, Kaldor, J.M., Vallely, A.J, Badman, S.G. and Hakim, A., (2018) Kauntim mi tu : Multi-Site Summary Report from the Key Population Integrated Bio-Behavioural Survey, Papua New Guinea. Papua New Guinea Institute of Medical Research and Kirby Institute, UNSW Sydney: Goroka, Papua New Guinea."
Paraguay,96,"Source: ESTUDIOS DE INVESTIGACION EN POBLACIONES VULNERABLES"
Peru,90.5,"Source: Bayer et al, Estudio Piloto de Fortalecimiento de Capacidades como Prevención del VIH en Trabajadores Sexuales Hombres. Datos no publicados."
Philippines,85.3,"Source: 2018 Integrated Behavioral and Serologic Surveillance (IHBSS)"
Portugal,68.2,"Source: ECDC 2017"
Republic of Korea,94.1,
Republic of Moldova,88.2,"Source: Behavioural Surveillance Survey 2017"
Romania,89,"Source: Romanian Angel Appeal Foundation.  2010. PREVALENCE OF HIV, HVB AND HVC AND RISK BEHAVIORS AMONG FEMALE SEX WORKERS IN BUCHAREST."
Rwanda,84.3,
Saint Vincent and the Grenadines,35.4,
Samoa,54.6,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Sao Tome and Principe,43.8,"Source: IBBS survey"
Senegal,91.6,"Source: Enquête Combinée"
Serbia,91.2,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Seychelles,16,"Source: Behavioural Surveillance Survey"
Sierra Leone,14.9,
Singapore,100,"Source: MOH/MHA medical scheme - brothel based sex workers"
Somalia,41.5,"Source: IBBS, Hargeisa Bosasso and Mogadishu, using RDS"
South Africa,86.1,
South Sudan,43.7,"Source: IBBS"
Sri Lanka,83.6,"Source: Behavioral surveillance, 2018"
Sudan,34.9,"Source: Integrated Bio-Behavioural Surveillance Survey (IBBS)"
Suriname,90.8,"Source: Behavioral surveillance among FSW, 2018 and behavioral surveillance among MSM and TG (including MSW and TG SW)"
Tajikistan,76.6,"Source: Behavioral surveillance, 2018"
Thailand,83.1,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018 among venue sex worker and Integrated Biological Behavior Surveillance (IBBS) 2018 among venue MSM(including MSW)."
