Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,17,
Algeria,53.8,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie, 2017"
Angola,25.4,
Armenia,77.7,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,38.6,
Azerbaijan,29,"Source: Behavioral surveillance, 2018"
Bangladesh,46.3,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Barbados,59.3,
Belarus,71.8,"Source: Behaviour Surveillance Survey, 2017"
Belgium,83.7,"Source: SIALON II bio-behavioural survey"
Belize,60,
Benin,90.8,"Source: Enquête de Surveillance de Deuxième Génération (comportementale et biologique) 2015"
Bolivia (Plurinational State of),64.4,
Brazil,62.4,"Source: RDS - Respondent Driven Sampling. 2017"
Bulgaria,84.6,
Burundi,68.2,
Cabo Verde,61.7,
Cambodia,75.4,"Source: IBBS 2019"
Cameroon,57.3,
Canada,64.3,"Source: Public Health Agency of Canada, Centre for Communicable Diseases and Infection Control. December 2011."
Central African Republic,53.5,"Source: Centre National de Référence des IST et de la Thérapeutie ARV"
Chile,35,"Source: FONDECYT-VIBIMOS – 11140021 Bio-behavioral surveillance for HIV/AIDS in hard-to-reach populations in the Metropolitan Region of Santiago, Chile"
China,85.4,"Source: National HIV sentinel surveillance"
Colombia,55.6,"Source: Estudio de Comportamiento sexual y prevalencia de VIH de la población de hombres que tienen relaciones sexuales con hombres en Barrancabermeja en el año 2014"
Congo,64.2,"Source: Behavioral surveillance, 2018"
Croatia,61.1,"Source: Behavioural surveillance, 2012"
Cuba,64.8,"Source: Encuesta de indicadores de prevencion 2017"
Czech Republic,39.6,
Côte d'Ivoire,66.8,
Democratic Republic of the Congo,50.9,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Dominican Republic,40.7,"Source: BSS 2013"
Ecuador,53.8,"Source: Estudio de Vigilancia de comportamientos y prevlencia del VIH y otras infecciones de transmisión sexual en hombres que tienen sexo con hombres en Quito y Guayaquil. Ministerio de Salud Pública-2012"
Egypt,17.1,"Source: Hemaya Project. Network of Associations for Harm Reduction NAHR"
El Salvador,52.3,"Source: Clínicas de Vigilancia Centinela de Infecciones de Transmisión Sexual (VICITS)."
Estonia,48,"Source: Internet-based survey among MSM"
Finland,44.5,
France,59.7,"Source: Enquête Presse Gays et Lesbiennes (EPGL)"
Georgia,72.5,"Source: Behavioral Surveillance Survey"
Germany,68.4,"Source: Online survey"
Greece,73.9,
Guinea,65.4,"Source: ESCOMB 2017"
Guyana,65.9,"Source: Bio-behavioural Surveillance survey"
Haiti,70.8,
Honduras,54.9,"Source: Base de datos VICITS WEB"
India,84,"Source: National Integrated Biological and Behavioural Surveillance"
Indonesia,88,"Source: Integrated Biological and Behavior Survey"
Ireland,52.7,"Source: MISI MSM Internet Survey 2015"
Italy,59.5,"Source: National AIDS Center- Istituto Superiore di Sanità, Rome, Italy;  ^Direzione Generale della Prevenzione Sanitaria - Ministero della Salute, Rome, Italy;"
Jamaica,68.1,"Source: IBBSS with Population Size Estimation among MSM & TG"
Japan,66.4,"Source: Nationwidecross-sectional Internet survey in 2015 among MSM and bisexuals who joined gay community events"
Kazakhstan,79.8,"Source: Behavioral Surveillance Survey"
Lao People's Democratic Republic,25.2,"Source: IBBS"
Latvia,40.2,
Lithuania,40.5,
Luxembourg,60,
Madagascar,59.2,"Source: Etude de surveillance biologique et comportementale chez les hommes ayant des rapports sexuels avec des hommes, Année 2014"
Malaysia,66.2,"Source: Respondent Driven Sampling among MSM in 4 states, 2017"
Mauritius,56.7,"Source: IBBS on MSM 2015"
Mexico,72.4,"Source: 1. Bautista-Arredondo S., Colchero M.A., Cortés M.A., Sosa-Rubí S.G., Romero M. Encuesta de seguimiento y análisis para la evaluación de impacto de las estrategias de prevención de VIH/SIDA. Reporte a FUNSALUD, Marzo 2014.; 2. Juan Pablo Gutiérrez et. al Informe técnico analítico sobre  prevalencia de vih; así como factores de riesgo y vulnerabilidad, en hombres homosexuales y hombres bisexuales. INSP. México, 2012."
Mongolia,72.8,"Source: HIV/STI Surveillance Survey Report, 2014"
Morocco,52.9,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2017"
Myanmar,55.1,"Source: BBS, 2019"
Nepal,95.1,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey 2017"
Netherlands,52,"Source: EMIS 2010"
Nicaragua,56.5,
Niger,88.8,"Source: Enquête de surveillance de seconde génération chez les populations clés"
Nigeria,47.8,
Pakistan,83.3,"Source: National IBBS 2016"
Panama,87.7,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS)"
