Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,17.4,
Albania,74,"Source: Behavioral Surveillance Survey"
Algeria,53.4,"Source: Etude sur les Connaissances, Attitudes et Pratiques en matière de Santé Reproductive, Planning Familiale et IST/VIH/Sida, auprès des jeunes de 15 à 24 ans et des populations clés en Algérie, 2017"
Angola,59.1,"Source: Relatório do Estudo Place do Linkage 2016/2017 em 5 Províncias de Angola"
Argentina,87.8,"Source: UBATEC PEMAR 2012 Encuesta de Condiciones de Vida y Comportamientos en Población en Mayor Riesgo de contraer el VIH (PEMAR)"
Armenia,69.7,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,54.5,"Source: Gay Community Periodic Surveys"
Austria,63,"Source: ECDC"
Azerbaijan,68.8,"Source: Behavioral surveillance, 2018"
Bangladesh,45.8,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Barbados,58.2,
Belarus,73.8,"Source: Behaviour Surveillance Survey, 2017"
Belgium,60.7,"Source: SIALON II bio-behavioural survey"
Belize,81.4,"Source: 2016 Trac Studies"
Benin,66,"Source: Behaviour Surveillance Survey, 2017"
Bolivia (Plurinational State of),66,
Bosnia and Herzegovina,62.4,
Botswana,77.5,
Brazil,64.3,"Source: RDS - Respondent Driven Sampling. 2017"
Bulgaria,80.5,
Burkina Faso,87.2,"Source: Cartographie programmatique , estimation de la taille et enquête bio comportementale parmi les populations clés ( PS, HSH, UD) au Burkina Faso par le SP/CNLS IST."
Burundi,44.9,"Source: Etude PLACE"
Cabo Verde,57.5,
Cambodia,76.2,"Source: IBBS 2019"
Cameroon,77.9,"Source: HIV Prevention for Populations at Risk in Cameroon, 2014"
Canada,17.2,"Source: European MSM Internet Survey."
Central African Republic,30,"Source: Behavioral surveillance survey, 2019"
Chile,42.1,"Source: FONDECYT-VIBIMOS – 11140021 Bio-behavioral surveillance for HIV/AIDS in hard-to-reach populations in the Metropolitan Region of Santiago, Chile"
China,85.6,"Source: National HIV sentinel surveillance"
Colombia,17,
Comoros,56.2,"Source: Behavioral surveillance, 2018"
Congo,64.1,"Source: Behavioral surveillance, 2018"
Costa Rica,39.2,
Croatia,45.1,"Source: Bozicevic et al: Prevalence of HIV and sexually transmitted infections among MSM in Zagrebm Sex Transm Infect. 2012 Nov;88(7):539-44. doi: 10.1136/sextrans-2011-050374. Epub 2012 May 24."
Cuba,63.9,"Source: Encuesta de indicadores de prevencion 2017"
Cyprus,70,"Source: ECDC"
Czech Republic,43,"Source: National Behavioral Study among MSM (internet survay) (2017/2018)"
Côte d'Ivoire,75.1,"Source: Cartographie Programmatique et Estimation de la Taille des HSH à Abidjan utilisant la méthode place avancée 2017"
Democratic Republic of the Congo,50.6,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
