Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,42.6,
Armenia,87.3,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,47.2,"Source: Australian Needle and Syringe Program Survey. Behavioural survey of people who inject drugs"
Azerbaijan,17.5,"Source: Behavioral surveillance, 2018"
Bangladesh,40.8,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,64.5,"Source: Behavioural Surveillance Survey, 2017"
Benin,35.2,"Source: Enquête de Surveillance de Deuxième Génération (comportementale et biologique) 2015"
Bosnia and Herzegovina,41.3,
Bulgaria,35.1,
Canada,39.9,"Source: Unpublished data from I-Track: Enhanced Surveillance of Risk Behaviours among People who Inject Drugs, Phase 3 (2010-2012). Public Health Agency of Canada, Surveillance and Epidemiology Division, Centre for Communicable Diseases and Infection Control. March 2013."
China,62.8,"Source: Sentinel surveillance, 2019"
Democratic Republic of the Congo,40.8,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,2.1,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,85.7,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,63,"Source: Enquête ENA-CAARUD"
Georgia,68.8,"Source: Behavioural Surveillance Survey, 2017"
Germany,47.6,
Greece,57.7,"Source: Greek Reitox focal point of the EMCDDA"
Hungary,38.7,
India,80.7,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,58,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),29.4,"Source: IBBS, 2019"
Kazakhstan,66.1,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,79.4,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Latvia,62.2,
Madagascar,43.5,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable,  2016"
Malaysia,30,"Source: Respondent Driven Sampling study among male PWID in 10 states, 2017"
Mauritius,37.7,"Source: IBBS on PWID 2017"
Mexico,28.8,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,50,"Source: Bio-behavioural Survey"
Morocco,40,"Source: Étude RDS 2015"
Myanmar,26.6,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,86.2,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey 2017"
Nigeria,55.1,
Pakistan,13.6,"Source: National IBBS Round V 2016"
Philippines,14.8,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,26.4,
Serbia,44.8,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia"
Seychelles,0.6,
Sierra Leone,51.6,
Sri Lanka,37,"Source: IBBS survey 2014"
Sweden,29,
Switzerland,66.7,
Tajikistan,57.1,"Source: Behavioral surveillance, 2018"
Thailand,49,
The former Yugoslav Republic of Macedonia,22.2,"Source: Behavioural Surveillance Survey, 2017"
Tunisia,55.7,"Source: Behavioural Surveillance Survey, 2017"
Uganda,2,"Source: Behavioural Surveillance Survey (Rapid Assessment on Condom use among PWIDs, UHRN 2017)"
Ukraine,53.3,"Source: National Integrated Bio-Behavioral Survey 2017"
United Republic of Tanzania,24.2,
United States,27,"Source: The National HIV Behavioral Surveillance System (NHBS) conducts surveillance for HIV risk behaviors among persons at highest risk for HIV infection."
Uzbekistan,61.2,
Viet Nam,46.8,"Source: HSS+ 2019"
