Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,87.3,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,31.7,"Source: Australian Needle and Syringe Program Survey. Behavioural survey of people who inject drugs"
Azerbaijan,39.1,"Source: «Исследование распространенности ВИЧ–инфекции и факторов риска заражения в поведении некоторых уязвимых групп населения в Азербайджанской Республике», 2011"
Bangladesh,64.7,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,50.6,"Source: Behavioural Surveillance Survey, 2017"
Belgium,9,"Source: Bollaerts K; Van Bussel J. Development and validation of a serological and behavioural study protocol to register Drugs Related Infectious Diseases -DRID, Scientific Institute of Public Health, Brussels, Belgium, 2012."
Benin,41.7,"Source: Enquête de Surveillance de Deuxième Génération (comportementale et biologique) 2015"
Bosnia and Herzegovina,11.7,
Bulgaria,52.5,
Canada,35,"Source: Unpublished data from I-Track: Enhanced Surveillance of Risk Behaviours among People who Inject Drugs, Phase 3 (2010-2012). Public Health Agency of Canada, Surveillance and Epidemiology Division, Centre for Communicable Diseases and Infection Control. March 2013."
China,58.2,"Source: Sentinel surveillance, 2019"
Democratic Republic of the Congo,18.5,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,3.6,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,27.1,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,69,"Source: Enquête ENA-CAARUD"
Georgia,44.4,"Source: Behavioural Surveillance Survey, 2017"
Germany,30.7,"Source: Bio-behavioural surveillance study in eight larger cities of Germany using RDS sampling"
Greece,33.3,"Source: Greek Reitox focal point of the EMCDDA"
Guinea,35,"Source: ESCOMB 2017"
Hungary,14.7,
Indonesia,43.3,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),48,"Source: IBBS, 2019"
Kazakhstan,44.2,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,56.7,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Latvia,66.7,
Lithuania,27.1,
Madagascar,39.3,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable,  2016"
Malaysia,29.6,
Mauritius,53.3,"Source: IBBS on PWID 2017"
Mexico,25.7,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,40,"Source: Bio-behavioural Survey"
Morocco,71.4,"Source: Étude RDS 2015"
Myanmar,31.8,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,31.9,"Source: Integrated Biological and Behavioral Surveillance Survey"
Nigeria,50,
Pakistan,65.2,"Source: National IBBS Round V 2016"
Philippines,5.7,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,5.3,
Serbia,33.3,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia"
Seychelles,55.9,"Source: Behavioural Surveillance Survey, 2017"
Sierra Leone,32,
Sweden,0,
Switzerland,51.3,
Tajikistan,50,"Source: Behavioral surveillance, 2018"
Thailand,40.2,
The former Yugoslav Republic of Macedonia,9.5,"Source: Behavioural Surveillance Survey, 2017"
Uganda,5,"Source: Behavioural Surveillance Survey (Rapid Assessment on Condom use among PWIDs, UHRN 2017)"
Ukraine,31.9,"Source: National Integrated Bio-Behavioral Survey 2017"
United Republic of Tanzania,16.7,
United States,24,"Source: The National HIV Behavioral Surveillance System (NHBS) conducts surveillance for HIV risk behaviors among persons at highest risk for HIV infection."
Uzbekistan,52,
