Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,23.4,"Source: IBBS, 2012"
Albania,54.5,"Source: Behavioral Surveillance Survey"
Armenia,41.4,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,31.9,"Source: Australian Needle and Syringe Program Survey. Behavioural survey of people who inject drugs"
Azerbaijan,11.2,"Source: Behavioral surveillance, 2018"
Bangladesh,34.9,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,51.5,"Source: Behavioural Surveillance Survey, 2017"
Belgium,22,"Source: Bollaerts K; Van Bussel J. Development and validation of a serological and behavioural study protocol to register Drugs Related Infectious Diseases -DRID, Scientific Institute of Public Health, Brussels, Belgium, 2012."
Benin,51.8,"Source: Behavioural Surveillance Survey, 2017"
Bhutan,53.7,
Bosnia and Herzegovina,35.2,
Brazil,40.8,
Bulgaria,34.3,
Cambodia,8.7,"Source: IBBS 2017"
Canada,36.3,"Source: Unpublished data from I-Track: Enhanced Surveillance of Risk Behaviours among People who Inject Drugs, Phase 3 (2010-2012). Public Health Agency of Canada, Surveillance and Epidemiology Division, Centre for Communicable Diseases and Infection Control. March 2013."
China,56.8,"Source: Sentinel surveillance, 2019"
Colombia,35.8,"Source: Comportamiento de usuarios de drogas inyectadas en tres ciudades de Colombia. Estudio CES 2014"
Comoros,43.8,"Source: Behavioral surveillance, 2018"
Cyprus,45,"Source: ECDC"
Czech Republic,24.6,"Source: MRAVČÍK, V., CHOMYNOVÁ, P., GROHMANNOVÁ, K., JANÍKOVÁ, B., TION LEŠTINOVÁ, Z., ROUS, Z., KIŠŠOVÁ, L., KOZÁK, J., NECHANSKÁ, B., VLACH, T., ČERNÍKOVÁ, T., FIDESOVÁ, H., JURYSTOVÁ, L., VOPRAVIL, J. 2016. Výroční zpráva o stavu ve věcech drog v České republice v roce 2015 [Annual Report on Drug Situation 2015 – Czech Republic] MRAVČÍK, V. (Ed.). Praha: Úřad vlády České republiky."
Côte d'Ivoire,24.9,"Source: Rapport d'estimation de la taille et d'Enquête bio comportementale chez les consommateurs de Drogue Injectables en Côte d'Ivoire, 2019"
Democratic Republic of the Congo,26.5,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Dominican Republic,45.4,"Source: Informe de Resultados.  Proyecto sobre el Estado del Problema de Heroína en República Dominicana.  Organización de Estados Americanos (OEA) / Comisión Interamericana para el Control del Abuso de Drogas (CICAD) / Consejo Nacional de Drogas (CND)."
Egypt,2.3,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,36,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,77,"Source: Enquête ENA-CAARUD"
Georgia,36.5,"Source: Behavioural Surveillance Survey, 2017"
Germany,38,"Source: Bio-behavioural surveillance study in eight larger cities of Germany using RDS sampling"
Greece,40,"Source: ECDC 2017"
Guinea,49.1,"Source: ESCOMB 2017"
Hungary,22.1,
India,77.4,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,46.3,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),35.4,"Source: IBBS, 2019"
Italy,22,"Source: ECDC 2017"
Kazakhstan,51.8,"Source: Behavioral surveillance, 2018"
Kenya,75.9,"Source: Polling Booth Survey 2017"
Kyrgyzstan,58.8,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Latvia,60,"Source: ECDC 2017"
Liberia,57,"Source: Liberia IBBSS 2017"
Lithuania,32,"Source: ECDC 2017"
Madagascar,41.8,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable,  2016"
Malaysia,25.7,"Source: Respondent Driven Sampling study among male PWID in 10 states, 2017"
Mali,41.8,"Source: IBBS, 2019"
Mauritius,45.4,"Source: IBBS on PWID 2017"
Mexico,27.8,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,63.5,"Source: Bio-behavioural Survey"
Morocco,44.6,"Source: Etudes bio-comportementales auprès des PID en 2017 au niveau de trois villes (Tanger, Nador, Tétouan). La méthode de recrutement RDS"
Myanmar,21.9,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,48.9,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey 2017"
New Zealand,23.6,
Nigeria,83.2,
Pakistan,15.3,"Source: National IBBS Round V 2016"
Philippines,14.5,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,25.9,
Romania,26,"Source: ECDC 2017"
Senegal,54.1,"Source: Rapport provisoire PARECO"
Serbia,32.4,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia"
Seychelles,44.1,"Source: Behavioural Surveillance Survey, 2017"
Sierra Leone,32.1,
