Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Bangladesh,43.2,"Source: Serological Surveillance 2015 (unpublished)"
Bolivia (Plurinational State of),77.7,"Source: Estudio de vigilancia de segunda generación"
Brazil,69.4,
Cambodia,85,"Source: IBBS 2019"
Colombia,71,"Source: Estudio de Vulnerabilidad al VIH y prevalencia de VIH en mujeres transgénero en tres ciudades de Colombia: Bogotá, Medellín y Santiago de Cali, 2019"
Cuba,66.1,"Source: Encuesta de indicadores de precvencion 2017"
Honduras,40.4,"Source: Base de datos VICITS"
India,81.4,"Source: IBBS 2014-15"
Malaysia,68.2,"Source: Respondent Driven Sampling among Transwoman in 9 states, 2017"
Mali,54.7,"Source: ANALYSE DE LA SITUATION DES PERSONNES TRANSGENRES AU MALI EN RELATION AVEC L'INFECTION A VIH ET LE SIDA"
Nepal,96.2,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey 2017"
Nicaragua,65.8,"Source: Behavioural Surveillance Survey, 2016"
Pakistan,26.9,"Source:  IBBS Round V, 2016"
Panama,95.5,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Paraguay,50,"Source: ESTUDIOS DE INVESTIGACION EN POBLACIONES VULNERABLES 2017"
Philippines,37.9,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Samoa,56.9,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Tajikistan,81.6,"Source: IBBS 2016"
Thailand,80,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018 (include TG and MSM)"
