Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Bangladesh,41.1,"Source: Serological Surveillance 2015 (unpublished)"
Benin,86.8,"Source: Behavioural Surveillance Survey, 2017"
Bolivia (Plurinational State of),80,"Source: Estudio de vigilancia de segunda generación"
Brazil,70.8,
Cambodia,83.8,"Source: IBBS 2019"
Colombia,74.6,"Source: Estudio de Vulnerabilidad al VIH y prevalencia de VIH en mujeres transgénero en tres ciudades de Colombia: Bogotá, Medellín y Santiago de Cali, 2019"
Costa Rica,78.6,"Source: Behavioural Surveillance Survey, 2017"
Cuba,65.8,"Source: Encuesta de indicadores de precvencion 2017"
Dominican Republic,20.2,"Source: Tercera Encuesta de Vigilancia de Comportamiento con Vinculación Serológica en Poblaciones Clave, 2017 realizada en Santo Domingo"
Ecuador,94,"Source: Mapeo de lugares de encuentro de la población más expuesta al VIH - 2015"
El Salvador,75.7,"Source: Clínicas de Vigilancia Centinela de Infecciones de Transmisión Sexual (VICITS)."
Greece,66,"Source: ECDC 2017"
Guatemala,66.2,
Honduras,41.2,"Source: Base de datos VICITS"
India,79.7,"Source: IBBS 2014-15"
Iran (Islamic Republic of),42.5,"Source: Cross-sectional study"
Italy,62.2,"Source: ECDC 2017"
Liberia,80,"Source: Liberia IBBSS 2017"
Malaysia,78.2,"Source: Respondent Driven Sampling among Transwoman in 9 states, 2017"
Mali,60.6,"Source: ANALYSE DE LA SITUATION DES PERSONNES TRANSGENRES AU MALI EN RELATION AVEC L'INFECTION A VIH ET LE SIDA"
Mauritius,45.4,"Source: IBBS on TG 2017"
Mexico,74.9,"Source: SS/Censida e INSP. Encuestas de sero-prevalencia de VIH y sífilis, así como factores de riesgo y vulnerabilidad, en hombres que tiene sexo con hombres (HSH), personas transgénero y mujeres trabajadoras sexuales (MTS) en 7 zonas urbanas de México. México, 2017"
Nepal,91.5,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey 2017"
Nicaragua,60.4,"Source: Behavioural Surveillance Survey, 2016"
Pakistan,24.4,"Source: IBBS Round V, 2016"
Panama,80,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Paraguay,54.3,"Source: ESTUDIOS DE INVESTIGACION EN POBLACIONES VULNERABLES 2017"
Philippines,40.6,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Samoa,64.1,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Sri Lanka,76.3,"Source: Behavioral surveillance, 2018"
Tajikistan,80.5,"Source: IBBS 2016"
Thailand,76.9,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018 (include TG and MSM)"
Tunisia,56.7,"Source: Cartographie des sites de la population transgenre en Tunisie 2019 - ATP+ / UNFPA / GF"
Venezuela (Bolivarian Republic of),18.6,"Source: Prevalencia de infección VIH, Sífilis y Comportamiento sexuales de riesgo en población de mujeres Trans en la República Bolivariana de Venezuela"
