Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Bangladesh,41.1,"Source: Serological Surveillance 2015 (unpublished)"
Bolivia (Plurinational State of),80,"Source: Estudio de vigilancia de segunda generación"
Brazil,70.8,
Cambodia,83.8,"Source: IBBS 2019"
Costa Rica,78.6,"Source: Behavioural Surveillance Survey, 2017"
Cuba,65.8,"Source: Encuesta de indicadores de precvencion 2017"
Ecuador,94,"Source: Mapeo de lugares de encuentro de la población más expuesta al VIH - 2015"
El Salvador,75.7,"Source: Clínicas de Vigilancia Centinela de Infecciones de Transmisión Sexual (VICITS)."
Guatemala,66.2,
Honduras,41.2,"Source: Base de datos VICITS"
Malaysia,78.2,"Source: Respondent Driven Sampling among Transwoman in 9 states, 2017"
Mali,75.3,"Source: ANALYSE DE LA SITUATION DES PERSONNES TRANSGENRES AU MALI EN RELATION AVEC L'INFECTION A VIH ET LE SIDA"
Mauritius,45.4,"Source: IBBS on TG 2017"
Mexico,74.9,"Source: SS/Censida e INSP. Encuestas de sero-prevalencia de VIH y sífilis, así como factores de riesgo y vulnerabilidad, en hombres que tiene sexo con hombres (HSH), personas transgénero y mujeres trabajadoras sexuales (MTS) en 7 zonas urbanas de México. México, 2017"
Nicaragua,60.4,"Source: Behavioural Surveillance Survey, 2016"
Pakistan,24.4,"Source:  IBBS Round V, 2016"
Panama,88.9,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Philippines,40.6,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Samoa,65.3,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Sri Lanka,76.3,"Source: Behavioral surveillance, 2018"
Thailand,76.9,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018 (include TG and MSM)"
Venezuela (Bolivarian Republic of),18.6,"Source: Prevalencia de infección VIH, Sífilis y Comportamiento sexuales de riesgo en población de mujeres Trans en la República Bolivariana de Venezuela"
