Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Afghanistan,9 100 000,"Source:GARPR 2002- 2014",5 300 000,"Source:GARPR 2002- 2014",4 200 000,"Source:GARPR 2015",3 800 000,"Source:GARPR 2016",240 000,"Source:GAM_2018",45 000,"Source:GAM_2018",10 100 000,"Source:GAM_2019",,
Albania,,,,,,,,,,,,,5 600 000,"Source:GAM_2020",,
Algeria,6 800 000,"Source:GARPR 2015",12 500 000,"Source:GARPR 2015",17 300 000,"Source:GARPR 2015",,,,,31 900 000,"Source:GAM_2018",,,,
Angola,,,,,,,,,19 800 000,"Source:GAM 2017 validated records",20 100 000,"Source:GAM_2018",,,,
Antigua and Barbuda,990 000,"Source:GARPR 2002- 2014",1 400 000,"Source:GARPR 2002- 2014",,,6 000 000,"Source:GARPR 2002- 2014",,,500 000,"Source:GAM_2018",,,,
Argentina,502 000 000,"Source:GARPR 2015",,,717 000 000,"Source:GAM_2019",807 000 000,"Source:GAM_2019",627 000 000,"Source:GAM_2019",,,,,,
Armenia,5 300 000,"Source:GARPR 2002- 2014",5 000 000,"Source:GARPR 2002- 2014",6 800 000,"Source:GARPR 2015",,,4 200 000,"Source:GAM 2017 validated records",5 600 000,"Source:GAM_2018",,,4 300 000,"Source:GAM_2020"
Azerbaijan,,,18 600 000,"Source:GARPR 2002- 2014",20 600 000,"Source:GARPR 2015",,,,,,,,,,
Bangladesh,12 500 000,"Source:GARPR 2002- 2014",21 100 000,"Source:GARPR 2002- 2014",19 400 000,"Source:GARPR 2015",12 800 000,"Source:GARPR 2016 pending country verification",9 100 000,"Source:GAM 2017",7 100 000,"Source:GAM_2018",15 100 000,"Source:GAM_2019",,
Barbados,10 000 000,"Source:GARPR 2002- 2014",16 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Belarus,19 800 000,"Source:GARPR 2002- 2014",18 600 000,"Source:GARPR 2002- 2014",22 400 000,"Source:GARPR 2015",,,17 600 000,"Source:GAM 2017 validated records",21 000 000,"Source:GAM_2018",,,,
Belize,2 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Benin,30 800 000,"Source:GAM_2018",22 300 000,"Source:GAM 2017 validated records",20 400 000,"Source:GAM_2018",18 600 000,"Source:GAM_2018",16 800 000,"Source:GAM_2018",22 800 000,"Source:GAM_2018",13 200 000,"Source:GAM_2019",17 100 000,"Source:GAM_2020"
Bolivia (Plurinational State of),11 800 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,,,
Botswana,,,,,138 000 000,"Source:GAM_2019",160 000 000,"Source:GAM_2019",158 000 000,"Source:GAM_2019",159 000 000,"Source:GAM_2019",,,,
Brazil,695 000 000,"Source:GARPR 2002- 2014",,,804 000 000,"Source:GARPR 2015",,,,,772 000 000,"Source:GAM_2018",699 000 000,"Source:GAM_2019",677 000 000,"Source:GAM_2020"
Bulgaria,10 800 000,"Source:GARPR 2016 pending country verification",12 000 000,"Source:GARPR 2016 pending country verification",14 800 000,"Source:GARPR 2016 pending country verification",12 900 000,"Source:GARPR 2016 pending country verification",,,20 100 000,"Source:GAM_2018",,,,
Burkina Faso,56 500 000,"Source:GARPR 2015",58 400 000,"Source:GARPR 2015",,,,,,,39 100 000,"Source:GAM_2019",,,33 500 000,"Source:GAM_2020"
Burundi,38 700 000,"Source:GARPR 2002- 2014",41 500 000,"Source:GARPR 2002- 2014",18 400 000,"Source:GARPR 2015",,,,,,,,,,
Cabo Verde,34 000,"Source:GARPR 2002- 2014",4 900 000,"Source:GARPR 2002- 2014",3 800 000,"Source:GARPR 2015",,,,,,,,,,
Cambodia,50 900 000,"Source:GARPR 2002- 2014",,,,,43 300 000,"Source:GAM_2020",,,,,,,,
Cameroon,50 800 000,"Source:GARPR 2002- 2014",72 500 000,"Source:GARPR 2015",,,,,,,,,,,,
Chad,16 300 000,"Source:GARPR 2002- 2014",17 600 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Chile,213 000 000,"Source:GARPR 2002- 2014",,,,,173 000 000,"Source:GAM 2017 validated records",185 000 000,"Source:GAM_2018",282 000 000,"Source:GAM_2019",316 000 000,"Source:GAM_2019",326 000 000,"Source:GAM_2020"
China,636 000 000,"Source:GARPR 2002- 2014",758 000 000,"Source:GARPR 2002- 2014",990 000 000,"Source:GARPR 2015",,,1 050 000 000,"Source:GAM_2018",,,1 210 000 000,"Source:GAM_2019",1 320 000 000,"Source:GAM_2020"
Colombia,135 000 000,"Source:GARPR 2002- 2014",120 000 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Comoros,1 500 000,"Source:GARPR 2002- 2014",700 000,"Source:GARPR 2002- 2014",1 100 000,"Source:GARPR 2015",,,840 000,"Source:GAM 2017",2 300 000,"Source:GAM_2018",1 200 000,"Source:GAM_2019",1 600 000,"Source:GAM_2020"
Costa Rica,22 200 000,"Source:GARPR 2002- 2014",,,19 100 000,"Source:GAM_2018",,,,,,,54 000 000,"Source:GAM_2020",,
Croatia,11 300 000,"Source:GARPR 2002- 2014",14 400 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Cuba,72 000 000,"Source:GARPR 2002- 2014",69 700 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Côte d'Ivoire,124 000 000,"Source:GARPR 2016 pending country verification",63 000 000,"Source:GAM_2018",,,,,,,,,,,,
Democratic Republic of the Congo,229 000 000,"Source:GARPR 2002- 2014",222 000 000,"Source:GARPR 2016",222 000 000,"Source:GARPR 2016",82 800 000,"Source:GAM_2020",149 000 000,"Source:GAM_2020",175 000 000,"Source:GAM_2020",,,,
Djibouti,3 800 000,"Source:GARPR 2002- 2014",,,2 900 000,"Source:GARPR 2015",,,,,,,,,,
Dominica,340 000,"Source:GARPR 2002- 2014",,,,,,,,,180 000,"Source:GAM_2018",,,2 200 000,"Source:GAM_2020"
Dominican Republic,40 700 000,"Source:GARPR 2002- 2014",17 100 000,"Source:GAM_2018",17 000 000,"Source:GAM_2018",19 100 000,"Source:GAM_2018",26 800 000,"Source:GAM_2018",21 000 000,"Source:GAM_2018",89 200 000,"Source:GAM_2020",97 100 000,"Source:GAM_2020"
Ecuador,,,,,13 200 000,"Source:GARPR 2015",,,,,24 900 000,"Source:GAM_2018",15 600 000,"Source:GAM_2019",16 000 000,"Source:GAM_2020"
El Salvador,59 200 000,"Source:GARPR 2002- 2014",62 300 000,"Source:GARPR 2002- 2014",68 100 000,"Source:GARPR 2015",70 000 000,"Source:GARPR 2016 pending country verification",,,60 100 000,"Source:GAM_2018",49 300 000,"Source:GAM_2019",46 000 000,"Source:GAM_2020"
Equatorial Guinea,2 400 000,"Source:GARPR 2002- 2014",8 700 000,"Source:GARPR 2002- 2014",,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,4 600 000,"Source:GAM_2019",4 200 000,"Source:GAM_2020"
