Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,38.1,"Source: Integrated Biological and Behavioral Surveillance Survey"
Bangladesh,27.4,"Source: HIV surveillance 2016"
Cambodia,78.3,"Source: KHANA Quarterly report"
Iran (Islamic Republic of),25.6,"Source: IBBS and program monitoring data, 2019"
Kyrgyzstan,40.7,"Source: Данные дозорного эпидемиологического надзора и программные данные."
Malaysia,1.5,
Myanmar,37.3,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Pakistan,1.5,
Philippines,56.4,"Source: Behavioral surveillance survey (IHBSS)"
Republic of Moldova,40.5,"Source: Behavioral Surveillance, 2017"
Tajikistan,67.7,"Source: Behavioral surveillance, 2018"
The former Yugoslav Republic of Macedonia,66.9,
Uganda,17,"Source: Behavioural Surveillance Survey (Rapid assessment of people who inject drugs, UHRN 2017)"
Viet Nam,24.2,"Source: HSS +"
