Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,69,"Source: Integrated Biological and Behavioral Surveillance Survey"
Cambodia,75.9,"Source: KHANA Quarterly report"
Iran (Islamic Republic of),38.2,"Source: IBBS and program monitoring data, 2019"
Kyrgyzstan,41.3,"Source: Данные дозорного эпидемиологического надзора и программные данные."
Myanmar,57.3,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Pakistan,8.7,
Philippines,57.3,"Source: Behavioral surveillance survey (IHBSS)"
Republic of Moldova,55.6,"Source: Behavioral Surveillance, 2017"
Seychelles,85,
Tajikistan,68.1,"Source: Behavioral surveillance, 2018"
The former Yugoslav Republic of Macedonia,50,
Uganda,7,"Source: Behavioural Surveillance Survey (Rapid assessment of people who inject drugs, UHRN 2017)"
