Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Bangladesh,34.7,"Source: HIV surveillance 2015"
Brazil,64,
Cambodia,90.8,"Source: KHANA and RHAC"
Dominican Republic,32.8,"Source: Tercera Encuesta de Comportamiento con Vinculación Serológica en Poblaciones Clave, 2017"
Malaysia,60.4,"Source: Behavioral surveillance"
Nicaragua,87.9,"Source: Behavioral surveillance"
Pakistan,1.2,"Source: Behavioral surveillance"
Panama,95,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS)"
Philippines,40,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Samoa,100,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
