Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,1.8,"Source: National programme data 2017"
Azerbaijan,0.6,"Source: Данные предоставлены Центром наркологии"
Bangladesh,4.5,"Source: Save the Children"
Estonia,13.5,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Georgia,31.6,"Source: IBBSS among PWIDs to assess the size of opioid dependent PWIDs in the country"
Indonesia,36,"Source: Annual report of Directorate of Mental Health, MoH 2015"
Kazakhstan,0.4,"Source: Electronic database for OST"
Kyrgyzstan,4.6,"Source: National programme data, 2018"
Mexico,12.1,"Source: Denominator:  SS/Conadic et. al. Usuarios de 12 a 65 años que se ha inyectado algún tipo de droga ilegal según sexo. En: Encuesta Nacional de Adicciones 2011: Reporte de Drogas. Editor: Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz (INPRFM). Primera Edición. México, 2012.; Numerator: Asistencia Médica Contra la Adicción S de RL de CV, Centros de Integración Juvenil, A.C., Clínica Integral de Tratamiento Contra las Adicciones SA DE CV, Profesionales Contra la Adicción SA de CV. México, marzo 2019."
Senegal,15,"Source: National programme data 2017"
Tajikistan,2.8,"Source: National programme data 2018"
Thailand,6.9,"Source: 1. National OST monitoring report from  Department of Health Service Support, MOPH 2. National MMT monitoring report from NHSO"
