Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500
Albania,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Algeria,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,<1000 ,<500 , 1700
Angola,3700 ,2800 , 4800,4400 ,3200 , 5700,4800 ,3600 , 6100,5500 ,4100 , 6900,7400 ,5500 , 9500,8700 ,6300 , 11 000,9400 ,6700 , 12 000,8900 ,6400 , 11 000,8100 ,5900 , 10 000,8600 ,6300 , 11 000
Argentina,3600 ,2700 , 5300,3700 ,2800 , 5400,3900 ,2900 , 5700,4000 ,2900 , 6000,4000 ,2800 , 6300,4000 ,2700 , 6500,4000 ,2600 , 6400,4100 ,2600 , 6500,4100 ,2700 , 6600,4100 ,2700 , 6700
Armenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <200,<200 ,<200 , <500,<200 ,<200 , <200,<200 ,<100 , <500
Australia,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1600,<1000 ,<1000 , 1600,<1000 ,<1000 , 1700,<1000 ,<1000 , 1700,<1000 ,<1000 , 1700
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200
Belarus,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,1000 ,<1000 , 1600,1200 ,<1000 , 1800,1300 ,<1000 , 1900
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,2500 ,1300 , 4900,2600 ,1300 , 5100,2700 ,1400 , 5200,2600 ,1300 , 5100,2300 ,1200 , 4600,2200 ,1100 , 4200,2300 ,1200 , 4500,2400 ,1200 , 4600,2300 ,1200 , 4500,2300 ,1200 , 4400
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,15 000 ,13 000 , 16 000,15 000 ,13 000 , 16 000,15 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,14 000 ,12 000 , 16 000,14 000 ,12 000 , 16 000,13 000 ,11 000 , 15 000,13 000 ,11 000 , 15 000
Brazil,<500 ,<200 , <500,<500 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Brunei Darussalam,...,,,...,,,...,,,...,,,...,,,...,,,...,,,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<200 ,<100 , <200
Burkina Faso,3900 ,2900 , 5100,3900 ,2900 , 5200,3800 ,2900 , 5100,3300 ,2400 , 4400,2700 ,1900 , 3500,2500 ,1900 , 3400,2200 ,1600 , 3000,2100 ,1600 , 2800,2300 ,1700 , 3000,2400 ,1700 , 3200
Burundi,2900 ,2300 , 3700,3200 ,2500 , 4100,3200 ,2400 , 4200,3100 ,2300 , 4100,2700 ,2100 , 3600,2700 ,2000 , 3600,2700 ,2100 , 3700,2800 ,2200 , 3700,2900 ,2200 , 3800,2700 ,2100 , 3700
Cabo Verde,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200
Cambodia,4600 ,3400 , 6600,4500 ,3300 , 6600,4100 ,2900 , 6300,3600 ,2500 , 5500,3100 ,2200 , 4900,2700 ,1900 , 4300,2400 ,1700 , 3700,2200 ,1600 , 3300,2000 ,1500 , 2900,1800 ,1300 , 2500
Cameroon,15 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,15 000 ,13 000 , 17 000,15 000 ,13 000 , 16 000,12 000 ,11 000 , 13 000,11 000 ,10 000 , 12 000,12 000 ,11 000 , 13 000,15 000 ,13 000 , 16 000,18 000 ,15 000 , 20 000,19 000 ,16 000 , 22 000
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,3400 ,2700 , 4000,2900 ,2400 , 3500,2200 ,1700 , 2600,1900 ,1600 , 2400,1800 ,1400 , 2200,2600 ,2100 , 3200,3000 ,2300 , 3900,3400 ,2500 , 4400,3100 ,2200 , 4200,3200 ,2300 , 4400
Chad,4200 ,3100 , 5600,4400 ,3200 , 5800,4400 ,3000 , 5900,4200 ,2900 , 5700,3900 ,2600 , 5400,3800 ,2600 , 5200,3900 ,2700 , 5300,4000 ,2700 , 5400,3700 ,2400 , 5400,3300 ,2100 , 4800
Chile,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,2100 ,1700 , 2700,3500 ,2800 , 4500,5100 ,3900 , 6700,5700 ,4200 , 7700,6300 ,4400 , 8600,6900 ,4700 , 9700,7500 ,5100 , 11 000,7900 ,5100 , 12 000,7700 ,4800 , 12 000,7600 ,4700 , 12 000
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Congo,2600 ,2100 , 3000,2600 ,2100 , 3100,2800 ,2200 , 3400,2300 ,1800 , 2800,2000 ,1500 , 2400,1700 ,1300 , 2100,2200 ,1700 , 2800,2300 ,1700 , 2800,2100 ,1600 , 2800,2100 ,1500 , 2800
Costa Rica,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Cuba,<500 ,<200 , <1000,<1000 ,<200 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1600,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 2000,1100 ,<500 , 2300,1100 ,<1000 , 2400,1200 ,<1000 , 2600
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
