Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote
Afghanistan,,,,,,,46.4,"Source: 2015 DHS",,,,,,
Angola,,,,,,,26.8,"Source: 2015 DHS",,,,,,
Armenia,,,,,,,,,40.3,"Source: 2015-16 DHS",,,,
Bangladesh,,,,,71.7,"Source: 2014 DHS",,,,,,,,
Cambodia,,,,,56.7,"Source: 2014 DHS",,,,,,,,
Cameroon,,,,,21.1,"Source: 2014 MICS",,,,,,,,
Chad,,,,,,,22.6,"Source: 2014-15 DHS",,,,,,
Colombia,,,,,,,88.5,"Source: 2015 DHS",,,,,,
Côte d'Ivoire,,,,,,,,,36,"Source: 2016 MICS",,,,
Democratic Republic of the Congo,,,,,18.5,"Source: 2013-14 DHS",,,,,,,,
Dominican Republic,,,88.4,"Source: 2013 DHS",,,,,,,,,,
Egypt,,,,,80.8,"Source: 2014 DHS",,,,,,,,
Ethiopia,,,,,,,,,59.7,"Source: 2016 DHS",,,,
Gabon,38.4,"Source: DHS 2012",,,,,,,,,,,,
Gambia,,,28.3,"Source: 2013 DHS",,,,,,,,,,
Ghana,,,,,41.6,"Source: 2014 DHS",,,,,,,,
Guatemala,,,,,,,70.1,"Source: 2014-15 DHS",,,,,,
Guinea,22.4,"Source: DHS 2012",,,,,,,,,,,,
Honduras,78.3,"Source: DHS 2011-2012",,,,,,,,,,,,
Indonesia,,,,,,,,,,,76.7,"2017 DHS",,
Kenya,,,,,72.6,"Source: 2014 DHS",,,,,,,,
Kyrgyzstan,65.1,"Source: DHS 2012",,,,,,,,,,,,
Lesotho,,,,,80.5,"Source: 2014 DHS",,,,,,,,
Liberia,,,42.2,"Source: 2013 DHS",,,,,,,,,,
Malawi,,,,,,,,,76.2,"Source: 2015-16 DHS",,,,
Mali,,,28.2,"Source: 2012-13 DHS",,,,,,,,,41.2,"2018 DHS"
Mongolia,,,78.3,"Source: 2013 Social Indicator Survey",,,,,,,,,,
Myanmar,,,,,,,,,72.4,"Source: 2015-16 DHS",,,,
Namibia,,,82,"Source: 2013 DHS",,,,,,,,,,
Niger,42.5,"Source: DHS 2012",,,,,,,,,,,,
Nigeria,,,37.4,"Source: 2013 DHS",,,,,,,,,36.4,"2018 DHS"
Pakistan,,,49.1,"Source: 2012-13 DHS",,,,,,,,,,
Peru,,,,,,,,,,,45.6,"Source: 2017 DHS",,
Rwanda,,,,,,,64.6,"Source: 2014-15 DHS",,,,,,
Sierra Leone,,,44.6,"Source: 2013 DHS",,,,,,,,,,
Sri Lanka,,,,,,,,,74.7,"Source: 2016 DHS",,,,
Thailand,,,,,,,,,96.5,"Source: 2015-16 MICS",,,,
Togo,,,,,35.9,"Source: 2013-14 DHS",,,,,,,,
United Republic of Tanzania,,,,,,,,,57,"Source: 2015-16 DHS",,,,
Yemen,,,48.9,"Source: 2013 DHS",,,,,,,,,,
Zambia,,,,,65,"Source: 2013-14 DHS",,,,,,,68.8,"2018 DHS"
Zimbabwe,,,,,,,85.8,"Source: 2015 DHS",,,,,,
