Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,2 ,1 , 5,1 ,1 , 3,1 ,<1 , 2,3 ,1 , 7,4 ,2 , 11,3 ,1 , 9,4 ,1 , 11,8 ,3 , 24,7 ,3 , 23,9 ,4 , 30
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,54 ,36 , 71,49 ,33 , 66,40 ,26 , 53,57 ,39 , 75,28 ,19 , 37,25 ,16 , 33,40 ,25 , 55,47 ,26 , 64,53 ,27 , 74,55 ,26 , 78
Angola,19 ,15 , 24,13 ,10 , 16,15 ,12 , 19,26 ,20 , 33,39 ,31 , 48,36 ,28 , 46,32 ,25 , 40,30 ,22 , 37,41 ,30 , 52,63 ,47 , 79
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Australia,>95 ,75 , >95,>95 ,74 , >95,>95 ,77 , >95,>95 ,78 , >95,>95 ,77 , >95,>95 ,77 , >95,>95 ,77 , >95,>95 ,73 , >95,>95 ,71 , >95,>95 ,70 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,11 ,8 , 15,19 ,13 , 27,25 ,18 , 36,38 ,28 , 52,55 ,37 , 78,55 ,39 , 78,68 ,46 , >95,90 ,62 , >95,86 ,59 , >95,75 ,52 , >95
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belarus,64 ,49 , 78,53 ,41 , 66,63 ,46 , 82,92 ,67 , >95,88 ,64 , >95,90 ,68 , >95,>95 ,73 , >95,>95 ,74 , >95,>95 ,78 , >95,>95 ,83 , >95
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,21 ,13 , 34,28 ,17 , 44,32 ,19 , 51,30 ,18 , 48,54 ,33 , 87,89 ,54 , >95,>95 ,70 , >95,>95 ,67 , >95,>95 ,84 , >95,>95 ,>95 , >95
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),41 ,33 , 50,53 ,44 , 63,79 ,66 , >95,66 ,56 , 77,69 ,59 , 82,83 ,70 , >95,>95 ,84 , >95,92 ,80 , >95,93 ,79 , >95,84 ,71 , >95
Bosnia and Herzegovina,,,,,,,,,,,,,,,,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,75 ,62 , 84,69 ,57 , 78,86 ,71 , >95,87 ,71 , >95,80 ,64 , 89,83 ,68 , 93,83 ,67 , 94,>95 ,75 , >95,>95 ,82 , >95,>95 ,86 , >95
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,... ,... , ...
Bulgaria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burkina Faso,37 ,27 , 46,42 ,31 , 53,45 ,34 , 55,48 ,36 , 59,63 ,47 , 78,72 ,54 , 90,76 ,57 , 95,86 ,65 , >95,79 ,57 , >95,81 ,59 , >95
Burundi,44 ,34 , 55,46 ,35 , 57,48 ,38 , 59,55 ,42 , 67,63 ,49 , 77,72 ,55 , 85,84 ,65 , >95,78 ,61 , 94,75 ,58 , 91,69 ,53 , 85
