Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,,,,,,,,,,<1 ,<1 , <1,3 ,1 , 6,,,,,,,,,,<1 ,<1 , 2,4 ,1 , 11
Algeria,,,,34 ,25 , 50,21 ,16 , 32,49 ,37 , 72,24 ,18 , 36,20 ,14 , 31,28 ,21 , 46,51 ,37 , 91,33 ,24 , 64,,,
Angola,3 ,2 , 3,4 ,3 , 5,5 ,4 , 6,13 ,10 , 16,,,,5 ,4 , 7,1 ,1 , 2,<1 ,<1 , 1,2 ,1 , 2,7 ,6 , 10
Australia,,,,,,,79 ,67 , >95,>95 ,>95 , >95,,,,,,,,,,,,,,,,,,
Azerbaijan,16 ,11 , 22,26 ,18 , 38,41 ,28 , 58,48 ,35 , 66,61 ,43 , 89,74 ,52 , >95,70 ,49 , >95,73 ,52 , >95,71 ,51 , >95,82 ,60 , >95
Belarus,49 ,40 , 63,47 ,37 , 61,51 ,39 , 69,77 ,61 , >95,67 ,52 , 92,59 ,46 , 79,>95 ,75 , >95,93 ,71 , >95,>95 ,79 , >95,>95 ,87 , >95
Benin,,,,12 ,8 , 20,11 ,7 , 18,16 ,10 , 26,33 ,21 , 55,35 ,22 , 58,33 ,21 , 55,42 ,26 , 69,48 ,30 , 79,68 ,42 , >95
Bolivia (Plurinational State of),47 ,38 , 58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,46 ,41 , 56,34 ,29 , 40,34 ,30 , 41,46 ,40 , 56,40 ,35 , 49,44 ,39 , 53,46 ,40 , 57,49 ,43 , 62,81 ,72 , >95,,,
Burkina Faso,7 ,6 , 10,11 ,9 , 14,15 ,12 , 20,20 ,17 , 27,25 ,20 , 34,24 ,19 , 32,13 ,10 , 17,15 ,12 , 20,14 ,11 , 19,9 ,7 , 13
Burundi,9 ,7 , 11,,,,10 ,8 , 12,16 ,13 , 21,10 ,8 , 13,2 ,1 , 2,11 ,9 , 14,18 ,15 , 23,18 ,15 , 24,,,
Cambodia,43 ,37 , 52,59 ,50 , 70,32 ,28 , 39,36 ,31 , 43,35 ,30 , 43,76 ,65 , 90,72 ,61 , 86,64 ,54 , 76,76 ,66 , 91,93 ,80 , >95
Cameroon,20 ,17 , 27,27 ,23 , 36,33 ,27 , 44,32 ,26 , 42,40 ,33 , 55,37 ,30 , 51,62 ,51 , 83,62 ,51 , 83,70 ,57 , 94,64 ,53 , 86
Central African Republic,<1 ,<1 , <1,7 ,6 , 10,,,,3 ,2 , 4,9 ,7 , 12,13 ,10 , 17,23 ,17 , 31,26 ,20 , 35,25 ,19 , 34,21 ,15 , 28
Chad,2 ,2 , 3,1 ,<1 , 2,4 ,3 , 6,4 ,3 , 6,5 ,4 , 7,3 ,3 , 5,,,,,,,,,,,,
Chile,,,,90 ,81 , >95,70 ,63 , 80,66 ,59 , 75,73 ,66 , 82,85 ,76 , >95,65 ,58 , 73,79 ,71 , 88,83 ,75 , 94,,,
Congo,8 ,7 , 11,4 ,3 , 5,7 ,5 , 9,6 ,5 , 8,<1 ,<1 , <1,,,,3 ,2 , 4,4 ,3 , 7,2 ,1 , 2,,,
Costa Rica,40 ,32 , 50,39 ,30 , 50,54 ,43 , 69,40 ,33 , 54,49 ,39 , 62,50 ,39 , 65,41 ,33 , 53,49 ,39 , 62,32 ,25 , 40,41 ,32 , 51
Cuba,63 ,45 , >95,78 ,56 , >95,81 ,58 , >95,76 ,56 , >95,63 ,46 , >95,>95 ,71 , >95,88 ,66 , >95,89 ,65 , >95,>95 ,84 , >95,>95 ,84 , >95
Côte d'Ivoire,25 ,21 , 33,4 ,3 , 5,23 ,19 , 30,15 ,12 , 19,41 ,35 , 53,35 ,30 , 46,46 ,39 , 61,50 ,43 , 64,54 ,45 , 69,53 ,45 , 68
Democratic Republic of the Congo,3 ,2 , 3,4 ,3 , 6,5 ,4 , 7,7 ,6 , 10,10 ,8 , 14,11 ,9 , 16,15 ,12 , 20,25 ,20 , 35,16 ,13 , 22,16 ,13 , 22
Djibouti,,,,2 ,1 , 3,9 ,5 , 13,10 ,6 , 15,2 ,1 , 3,11 ,7 , 17,16 ,10 , 24,,,,5 ,3 , 8,,,
Dominican Republic,9 ,7 , 11,39 ,31 , 49,42 ,33 , 52,57 ,45 , 72,>95 ,90 , >95,>95 ,84 , >95,65 ,52 , 81,75 ,59 , 91,71 ,57 , 86,74 ,59 , 91
Ecuador,<1 ,<1 , 1,>95 ,62 , >95,>95 ,54 , >95,23 ,13 , 32,94 ,54 , >95,,,,74 ,47 , >95,,,,18 ,11 , 24,22 ,14 , 29
