Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.05,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.05,0.02 ,0.01 , 0.05,0.02 ,0.01 , 0.06,0.02 ,0.01 , 0.06,0.02 ,0.01 , 0.06,0.03 ,0.01 , 0.07,0.03 ,0.01 , 0.08,0.03 ,0.01 , 0.08,0.03 ,0.01 , 0.09,0.03 ,0.01 , 0.10,0.03 ,0.01 , 0.11,0.03 ,0.01 , 0.12,0.04 ,0.01 , 0.13,0.04 ,0.01 , 0.14,0.04 ,0.01 , 0.14
Albania,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.02 ,0.01 , 0.02,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.04,0.02 ,0.01 , 0.04,0.02 ,0.01 , 0.04,0.02 ,0.01 , 0.04,0.02 ,0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.01 ,<0.01 , 0.04,0.01 ,<0.01 , 0.05
Algeria,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.02 ,0.01 , 0.02,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.03 ,0.02 , 0.04,0.03 ,0.02 , 0.04,0.03 ,0.02 , 0.05,0.04 ,0.02 , 0.05,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.05 ,0.02 , 0.07,0.05 ,0.03 , 0.07,0.05 ,0.03 , 0.08,0.05 ,0.02 , 0.09,0.06 ,0.02 , 0.09,0.06 ,0.01 , 0.10,0.06 ,0.01 , 0.11,0.06 ,0.01 , 0.12
Angola,0.56 ,0.34 , 0.93,0.66 ,0.44 , 1.04,0.78 ,0.52 , 1.14,0.92 ,0.66 , 1.31,1.06 ,0.76 , 1.46,1.19 ,0.91 , 1.56,1.35 ,1.04 , 1.76,1.49 ,1.21 , 1.87,1.64 ,1.30 , 2.03,1.81 ,1.47 , 2.23,1.94 ,1.56 , 2.36,2.10 ,1.70 , 2.58,2.22 ,1.78 , 2.72,2.33 ,1.86 , 2.83,2.39 ,1.94 , 2.88,2.39 ,1.93 , 2.93,2.44 ,1.97 , 3.02,2.45 ,1.99 , 2.94,2.39 ,1.94 , 2.88,2.38 ,1.94 , 2.85,2.33 ,1.93 , 2.74,2.27 ,1.88 , 2.68,2.22 ,1.78 , 2.67,2.16 ,1.69 , 2.61,2.05 ,1.57 , 2.58,1.96 ,1.48 , 2.52,1.91 ,1.41 , 2.54,1.90 ,1.43 , 2.55,1.84 ,1.33 , 2.47,1.79 ,1.23 , 2.44
Argentina,0.11 ,0.09 , 0.14,0.12 ,0.10 , 0.15,0.14 ,0.12 , 0.18,0.15 ,0.13 , 0.19,0.15 ,0.13 , 0.19,0.15 ,0.12 , 0.18,0.15 ,0.12 , 0.18,0.15 ,0.12 , 0.18,0.15 ,0.12 , 0.18,0.13 ,0.10 , 0.16,0.13 ,0.11 , 0.16,0.12 ,0.10 , 0.16,0.11 ,0.10 , 0.14,0.12 ,0.10 , 0.14,0.12 ,0.10 , 0.15,0.12 ,0.10 , 0.15,0.12 ,0.10 , 0.14,0.12 ,0.10 , 0.14,0.11 ,0.10 , 0.15,0.12 ,0.10 , 0.14,0.11 ,0.09 , 0.14,0.11 ,0.09 , 0.14,0.11 ,0.09 , 0.15,0.11 ,0.09 , 0.14,0.11 ,0.08 , 0.14,0.11 ,0.08 , 0.15,0.10 ,0.08 , 0.14,0.10 ,0.08 , 0.14,0.10 ,0.07 , 0.13,0.10 ,0.07 , 0.14
Armenia,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.03,0.02 ,<0.01 , 0.05,0.03 ,0.01 , 0.06,0.05 ,0.02 , 0.08,0.06 ,0.04 , 0.11,0.08 ,0.05 , 0.13,0.10 ,0.07 , 0.14,0.11 ,0.08 , 0.15,0.12 ,0.09 , 0.16,0.12 ,0.10 , 0.15,0.12 ,0.09 , 0.15,0.11 ,0.09 , 0.13,0.10 ,0.08 , 0.12,0.08 ,0.07 , 0.10,0.07 ,0.06 , 0.08,0.06 ,0.05 , 0.07,0.05 ,0.04 , 0.07,0.05 ,0.04 , 0.06,0.05 ,0.04 , 0.06,0.05 ,0.03 , 0.07,0.05 ,0.03 , 0.07,0.05 ,0.03 , 0.07,0.04 ,0.03 , 0.07,0.04 ,0.03 , 0.07,0.04 ,0.02 , 0.07
Australia,0.02 ,0.02 , 0.02,0.02 ,0.01 , 0.02,0.02 ,0.01 , 0.02,0.01 ,0.01 , 0.02,0.01 ,0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.04,0.02 ,<0.01 , 0.06,0.04 ,<0.01 , 0.12,0.07 ,0.01 , 0.23,0.10 ,0.02 , 0.34,0.13 ,0.03 , 0.38,0.14 ,0.05 , 0.34,0.15 ,0.06 , 0.30,0.14 ,0.06 , 0.26,0.13 ,0.07 , 0.21,0.10 ,0.06 , 0.17,0.09 ,0.06 , 0.15,0.08 ,0.05 , 0.14,0.08 ,0.05 , 0.12,0.07 ,0.05 , 0.11,0.07 ,0.05 , 0.10,0.07 ,0.05 , 0.10,0.06 ,0.04 , 0.09,0.06 ,0.04 , 0.09,0.06 ,0.04 , 0.08,0.06 ,0.04 , 0.08,0.05 ,0.03 , 0.08,0.05 ,0.03 , 0.08,0.05 ,0.03 , 0.08,0.05 ,0.03 , 0.07,0.05 ,0.03 , 0.07,0.04 ,0.03 , 0.07
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,1.17 ,0.84 , 1.60,1.03 ,0.75 , 1.42,0.92 ,0.68 , 1.24,0.83 ,0.60 , 1.10,0.77 ,0.52 , 1.00,0.72 ,0.45 , 0.99,0.69 ,0.41 , 0.96,0.67 ,0.40 , 0.95,0.65 ,0.37 , 0.91,0.62 ,0.36 , 0.88,0.60 ,0.32 , 0.84,0.57 ,0.29 , 0.83,0.54 ,0.26 , 0.82,0.51 ,0.23 , 0.81,0.48 ,0.20 , 0.80,0.44 ,0.17 , 0.76,0.40 ,0.14 , 0.73,0.37 ,0.11 , 0.69,0.34 ,0.08 , 0.69,0.31 ,0.06 , 0.68,0.29 ,0.04 , 0.66,0.27 ,0.03 , 0.64,0.25 ,0.02 , 0.62,0.23 ,0.01 , 0.63,0.22 ,<0.01 , 0.61,0.21 ,<0.01 , 0.62,0.19 ,<0.01 , 0.61,0.19 ,<0.01 , 0.57,0.18 ,<0.01 , 0.57,0.17 ,<0.01 , 0.56
Belarus,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.02,0.02 ,0.01 , 0.02,0.02 ,0.02 , 0.03,0.03 ,0.02 , 0.04,0.04 ,0.03 , 0.05,0.05 ,0.04 , 0.07,0.07 ,0.05 , 0.08,0.09 ,0.07 , 0.11,0.11 ,0.09 , 0.14,0.13 ,0.10 , 0.16,0.14 ,0.11 , 0.17,0.15 ,0.12 , 0.19,0.16 ,0.13 , 0.20,0.17 ,0.13 , 0.21,0.18 ,0.14 , 0.23,0.20 ,0.15 , 0.25,0.21 ,0.16 , 0.27,0.22 ,0.16 , 0.28,0.23 ,0.17 , 0.30,0.23 ,0.17 , 0.31,0.22 ,0.16 , 0.33,0.21 ,0.15 , 0.33,0.20 ,0.13 , 0.31,0.19 ,0.12 , 0.31
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
