Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.03,0.01 ,<0.01 , 0.04,0.01 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.05,0.02 ,<0.01 , 0.05,0.02 ,<0.01 , 0.05,0.02 ,<0.01 , 0.06,0.02 ,<0.01 , 0.07,0.02 ,<0.01 , 0.07,0.03 ,0.01 , 0.08,0.03 ,0.01 , 0.09,0.03 ,<0.01 , 0.10,0.03 ,<0.01 , 0.11,0.03 ,<0.01 , 0.11,0.03 ,<0.01 , 0.12,0.03 ,<0.01 , 0.13
Albania,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.04,0.02 ,0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.02 ,<0.01 , 0.04,0.01 ,<0.01 , 0.04,0.01 ,<0.01 , 0.04
Algeria,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.02 ,<0.01 , 0.02,0.02 ,0.01 , 0.02,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.02 ,0.01 , 0.03,0.03 ,0.02 , 0.04,0.03 ,0.02 , 0.04,0.03 ,0.02 , 0.04,0.03 ,0.02 , 0.05,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.06,0.04 ,0.02 , 0.07,0.04 ,0.02 , 0.07,0.05 ,0.02 , 0.08,0.05 ,0.01 , 0.08,0.05 ,0.01 , 0.09,0.05 ,0.01 , 0.10
Angola,0.72 ,0.38 , 1.20,0.84 ,0.45 , 1.38,0.99 ,0.53 , 1.50,1.18 ,0.65 , 1.71,1.35 ,0.74 , 1.96,1.52 ,0.84 , 2.11,1.70 ,0.93 , 2.35,1.88 ,1.05 , 2.58,2.07 ,1.14 , 2.80,2.27 ,1.25 , 3.06,2.44 ,1.37 , 3.30,2.63 ,1.45 , 3.56,2.78 ,1.53 , 3.76,2.92 ,1.59 , 3.95,2.99 ,1.68 , 4.08,2.99 ,1.66 , 4.04,3.05 ,1.71 , 4.10,3.06 ,1.69 , 4.09,2.98 ,1.65 , 4.05,2.96 ,1.61 , 4.08,2.91 ,1.54 , 3.89,2.83 ,1.49 , 3.91,2.76 ,1.46 , 3.85,2.69 ,1.41 , 3.65,2.55 ,1.35 , 3.56,2.44 ,1.27 , 3.48,2.38 ,1.18 , 3.48,2.37 ,1.15 , 3.48,2.31 ,1.09 , 3.44,2.25 ,1.08 , 3.36
Argentina,0.10 ,0.08 , 0.13,0.11 ,0.09 , 0.14,0.13 ,0.11 , 0.17,0.14 ,0.12 , 0.18,0.14 ,0.12 , 0.18,0.14 ,0.11 , 0.17,0.14 ,0.12 , 0.17,0.14 ,0.12 , 0.17,0.14 ,0.12 , 0.17,0.12 ,0.10 , 0.15,0.12 ,0.11 , 0.15,0.12 ,0.10 , 0.14,0.10 ,0.09 , 0.12,0.11 ,0.09 , 0.14,0.11 ,0.10 , 0.15,0.11 ,0.09 , 0.14,0.11 ,0.09 , 0.14,0.11 ,0.09 , 0.14,0.11 ,0.09 , 0.14,0.11 ,0.09 , 0.14,0.10 ,0.09 , 0.13,0.10 ,0.09 , 0.13,0.11 ,0.08 , 0.15,0.10 ,0.08 , 0.14,0.10 ,0.08 , 0.14,0.10 ,0.08 , 0.13,0.10 ,0.07 , 0.14,0.10 ,0.08 , 0.14,0.09 ,0.07 , 0.13,0.10 ,0.07 , 0.13
Armenia,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , <0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.03,0.02 ,<0.01 , 0.05,0.03 ,0.02 , 0.07,0.05 ,0.03 , 0.08,0.07 ,0.04 , 0.11,0.09 ,0.06 , 0.14,0.11 ,0.07 , 0.15,0.12 ,0.09 , 0.16,0.13 ,0.10 , 0.17,0.13 ,0.10 , 0.17,0.13 ,0.10 , 0.16,0.12 ,0.10 , 0.15,0.11 ,0.09 , 0.13,0.09 ,0.07 , 0.11,0.08 ,0.06 , 0.09,0.07 ,0.05 , 0.08,0.06 ,0.05 , 0.07,0.05 ,0.04 , 0.07,0.05 ,0.04 , 0.07,0.05 ,0.04 , 0.07,0.05 ,0.04 , 0.07,0.05 ,0.03 , 0.07,0.05 ,0.03 , 0.07,0.05 ,0.03 , 0.07,0.04 ,0.03 , 0.07
Australia,0.02 ,0.01 , 0.02,0.02 ,0.01 , 0.02,0.01 ,0.01 , 0.02,0.01 ,0.01 , 0.02,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.01,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.02 ,<0.01 , 0.02,0.02 ,<0.01 , 0.02,0.02 ,<0.01 , 0.02,0.02 ,<0.01 , 0.02,0.02 ,<0.01 , 0.02,0.02 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.02
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,<0.01 ,<0.01 , 0.01,<0.01 ,<0.01 , 0.02,<0.01 ,<0.01 , 0.02,0.01 ,<0.01 , 0.04,0.02 ,<0.01 , 0.06,0.04 ,<0.01 , 0.11,0.06 ,0.01 , 0.22,0.09 ,0.02 , 0.31,0.11 ,0.03 , 0.35,0.13 ,0.04 , 0.31,0.13 ,0.06 , 0.27,0.13 ,0.06 , 0.24,0.12 ,0.06 , 0.20,0.10 ,0.05 , 0.16,0.09 ,0.05 , 0.15,0.08 ,0.05 , 0.14,0.07 ,0.05 , 0.12,0.07 ,0.05 , 0.10,0.07 ,0.05 , 0.10,0.07 ,0.05 , 0.09,0.06 ,0.04 , 0.09,0.06 ,0.04 , 0.08,0.06 ,0.04 , 0.08,0.05 ,0.04 , 0.08,0.05 ,0.03 , 0.08,0.05 ,0.03 , 0.08,0.05 ,0.03 , 0.08,0.05 ,0.03 , 0.07,0.05 ,0.03 , 0.07,0.04 ,0.03 , 0.07
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
