Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0,"Source: IBBS"
Algeria,3.3,"Source: Bilan des activités des centres de dépistage du VIH/sida 2017"
Angola,8.2,"Source: RDS-HsH, CDC, GAP e INLS, 2011"
Armenia,0.6,"Source: Integrated Biological and Behavioral Survaillance Survey"
Australia,1.2,"Source: Sentinel HIV surveillance in metropolitan sexual health clinics in Australia"
Azerbaijan,0.8,"Source: National programme data, 2018"
Bangladesh,0,"Source: Serological Survey, 2015 (unpublished)"
Barbados,11.3,"Source: BSS MSM Survey"
Belarus,4,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2013 год"
Belgium,0.5,"Source: Sialon II survey, Brussels, 2013"
Belize,10.5,
Benin,10.2,"Source: Behavioural Surveillance Survey 2017"
Bulgaria,1.3,"Source: Behavioral surveillance"
Burkina Faso,1.2,"Source: Cartographie programmatique , estimation de la taille et enquête bio comportementale parmi les populations clés ( PS, HSH, UD) au Burkina Faso par le SP/CNLS IST."
Burundi,1.1,
Cabo Verde,6.6,
Cambodia,0.6,"Source: IBBS 2015"
Cameroon,28.8,
Canada,2.1,"Source: Unpublished data from M-Track: Enhanced Surveillance of HIV, other sexually transmitted and blood-borne infections, and associated risk behaviours among gay, bisexual and other men who have sex with men in Canada, Phase 1 (2005-2007). Public Health Agency of Canada, Centre for Communicable Diseases and Infection Control. December 2011."
Central African Republic,4.7,"Source: Behavioral surveillance survey, 2019"
Chile,9.7,"Source: Estudio de prevalencia de VIH en personas HSH. "
China,5.6,"Source: National HIV sentinel surveillance"
Colombia,9.5,"Source: Estudio de seroprevalencia (corte transversal) anónimo-ligado, en siete ciudades de Colombia"
Comoros,0,
Congo,32.2,"Source: ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES, LES PROFESSIONNELLES DE SEXE, LES CONSOMMATEURS DE DROGUES INJECTABLES ET LES DETENUS EN REPUBLIQUE DU CONGO"
Croatia,1.5,"Source: RDS survey conducted in Zagreb in 2010"
Cuba,0.8,"Source: ESTUDIO CENTINELA DE CABECERAS PROVINCIALES"
Czech Republic,1.4,
Côte d'Ivoire,9.5,
Democratic Republic of the Congo,2.1,"Source: Rapport annuel PSSP 2016"
Egypt,6.6,"Source: FHI&Freedom"
El Salvador,8.9,"Source: Sentinel surveillance 2018"
Estonia,0,"Source: EMIS 2017 (European MSM Internet Survey)"
France,1.5,
Gambia,35.5,"Source: Behavioral surveillance, 2018"
Georgia,8.8,"Source: Bio-Behavioral Surveillance Survey in three cities of Georgia - Tbilisi, Batumi, and Kutaisi, conducted through Respondent-Driven Sampling."
Germany,1.1,
Guatemala,6.4,"Source: Sentinel surveillance 2017"
Guinea,11.4,"Source: ESCOMB 2017"
Guyana,4.4,"Source: PLACE"
Haiti,13.3,
Honduras,8,"Source: Base de datos VICITS WEB"
Hungary,4,
India,3.4,"Source:  National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,23.8,"Source: Integrated Biological and Behavior Survey"
Ireland,2.5,"Source: MISI Men who have sex with men Internet Survey 2015"
Jamaica,19.2,"Source: IBBSS with Population Size Estimation among MSM & TG"
Japan,2.8,"Source: Nationwide cross-sectional Internet survey in 2015"
Kazakhstan,6.4,"Source: Sentinel surveillance, 2019"
Kenya,12.2,"Source: Integrated Biological and Behavior Survey in Nairobi - 2010"
Kyrgyzstan,5.3,
Lao People's Democratic Republic,2.1,
Latvia,3.1,"Source: Internet based study carried out within EMIS project"
Lithuania,0,
Madagascar,9,"Source: Enquête de surveillance biologique et comportementale 2014, utilisant la méthodologie RDS pour le recrutement des HSH. Le traitement des données a été fait sous RDSAT II"
Malawi,4.6,"Source: Programme data, 2019"
Malaysia,15.5,"Source: Behavioural Surveillance Survey 2017"
Mali,8.6,"Source: IBBS, 2019"
Mauritania,9.6,"Source: Enquête IBBS  méthode RDS"
Mauritius,5.5,"Source: IBBS 2015 MSM"
Mexico,11.9,"Source: 1. Bautista-Arredondo S., Colchero M.A., Cortés M.A., Sosa-Rubí S.G., Romero M. Encuesta de seguimiento y análisis para la evaluación de impacto de las estrategias de prevención de VIH/SIDA. Reporte a FUNSALUD, Marzo 2014.; 2. Juan Pablo Gutiérrez Reyes, Aurora Franco Nuñez, Diana Nicte-Há Sansores Martínez, Andrey Ryo Shiba Matsumoto.. informe técnico analítico sobre  prevalencia de vih; así como factores de riesgo y vulnerabilidad, en hombres homosexuales y hombres bisexuales. INSP. México, 2012"
Micronesia (Federated States of),16.7,"Source: National programme"
Mongolia,1.9,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Montenegro,3.6,"Source: Bio-behavioural survey (Snowball sampling method)"
Morocco,4.2,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2017"
Myanmar,5.5,"Source: Biological and behavioral survey, 2019"
Nepal,5.3,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Nicaragua,6.3,
Niger,4.5,"Source: Enquête de surveillance de seconde génération chez les populations clés"
Nigeria,18.6,
Pakistan,3.6,
Panama,5.7,"Source: Cinco de  las Seis Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS)"
Paraguay,12.7,"Source: Prevalencia de VIH Sífilis Hepatitis B, conocimientos, prácticas de riesgo y actitudes de hombres que tienen sexo con hombres (HSH) en Asunción, Central y Alto Paraná, Amambay y Caaguazú. 2017"
Peru,14.5,"Source: Hoja de Monitorización de Actividades anual año 2017"
Philippines,3.8,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Poland,1.6,
Portugal,2.8,
Republic of Korea,4.3,
Republic of Moldova,7.3,
Romania,11.6,"Source: SIALON II"
Rwanda,3.3,
Samoa,0,"Source: National programme data, 2019"
Sao Tome and Principe,0.8,"Source: Behavioral surveillance, 2018"
Senegal,19.1,"Source: Behavioral surveillance, 2018"
Serbia,2.8,"Source: IBBS survey"
Seychelles,0.6,
Sierra Leone,5.7,
Singapore,3.8,"Source: AfA seropositivity project at MSM venues"
South Africa,0,"Source: Population-based cross-sectional survey of households in South Africa"
Spain,7.2,"Source: Estudio EPI-VIH. Vigilancia centinela del VIH realizada en 15 centros de VIH/ITS repartidos por las principales ciudades españolas"
