Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,5.1,
Algeria,4.2,"Source: Bilan des activités des centres de dépistage du VIH/sida 2017"
Armenia,2,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,2.2,"Source: Australian Needle and Syringe Program Survey. Behavioural survey of people who inject drugs"
Azerbaijan,7.2,"Source: Sentinel surveillance, 2018"
Bangladesh,18.8,"Source: Serological Survey, 2016 (unpublished)"
Belarus,28.3,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Benin,2.8,"Source: Behavioral surveillance"
Bulgaria,1.9,
Canada,10.8,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,5.5,"Source: Sentinel surveillance, 2019"
Cyprus,0,
Czech Republic,0.1,"Source: Diagnostic screening among low-threshold programmes clients, rapid tests."
Democratic Republic of the Congo,5.1,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,2.6,"Source: VCT (governmental and NGOs)"
Estonia,52.6,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,11,"Source: Enquête Coquelicot 2011"
Georgia,2.3,"Source: IBBS 2017"
Germany,5.2,"Source: Data are from a bio-behavioural study conducted in eight larger cities in Germany from 2001 to 2014, using RDS sampling"
Greece,8,"Source: Greek Reitox focal point of the EMCDDA"
Hungary,0.4,
India,10.6,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,34.5,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),10,"Source: Bio-behavioural surveillance"
Kazakhstan,8.7,"Source: Sentinel surveillance"
Kuwait,0.1,"Source: Addition center data"
Kyrgyzstan,14.8,"Source: Sentinel surveillance"
Latvia,19.3,"Source: 9th wave of Drug User's Cohort Study (year 2016)"
Madagascar,6.2,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateur de drogue injectable, Année 2016"
Malaysia,13.8,"Source: IBBS"
Malta,3,"Source: Data collected from the SMOPU (whole population is under OST)"
Mauritius,36.3,"Source: IBBS 2017"
Mexico,3.1,"Source: Encuesta de seguimiento del proyecto “Fortalecimiento de las estrategias nacionales de prevención y reducción de daño dirigidos a hombres que tienen sexo con hombres (HSH) y hombres y mujeres usuarios de drogas intravenosas (UDI)”"
Montenegro,0.6,"Source: Bio-behavioural Survey"
Morocco,10.6,"Source: Étude RDS auprès des UDI, 2010, 2012 et 2014"
Myanmar,19.7,"Source: HIV Sero Sentinel Surveillance, 2018"
Nepal,12.6,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Nigeria,3.9,
Pakistan,21.8,"Source: IBBS data (Round V)"
Philippines,35.2,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,14.9,"Source: IBBS"
Romania,11.7,"Source: NAA's routine monitoring system on needle & syringes programmes"
Senegal,1.7,
Serbia,1.9,"Source: esearch among most at risk population and among people living with HIV"
Seychelles,7.4,
South Africa,25.4,"Source:  Population-based cross-sectional survey of households in South Africa"
Spain,18.3,"Source: Estudio EPI-VIH. Vigilancia centinela del VIH realizada en 19 centros de VIH/ITS repartidos por las principales ciudades españolas."
Sweden,1,
Switzerland,9.9,
Tajikistan,12.4,"Source: Sentinel surveillance, 2018"
Thailand,26,"Source: Integrated Bio-Behavioral  Survey (IBBS)"
The former Yugoslav Republic of Macedonia,0,"Source: Respondent-Driven Sampling among PWID in the capital city. Results are extrapolated at the national level."
Tunisia,6.8,"Source: BSS"
Ukraine,23.9,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,1.3,"Source: UAM Survey of People Who Inject Drugs"
United Republic of Tanzania,15.7,
Uzbekistan,5.8,"Source: Sentinel surveillance"
Viet Nam,13.9,"Source: HSS 2019"
