Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0,
Armenia,0,"Source: Integrated Biological and Behavioral Survaillance Survey"
Australia,0.9,"Source: Australian Needle and Syringe Program Survey."
Azerbaijan,0,"Source: Sentinel surveillance"
Bangladesh,5,"Source: Serological Survey, 2016 (unpublished)"
Belarus,26.1,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Benin,16.7,"Source: Behavioral surveillance"
Bulgaria,0,
Canada,12.9,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,7,"Source: Sentinel surveillance, 2019"
Cyprus,0,
Czech Republic,0,"Source: Diagnostic screening among low-threshold programmes clients, rapid tests."
Democratic Republic of the Congo,19.8,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,0,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,61.5,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
France,7,"Source: Enquête Coquelicot 2011"
Georgia,5.1,"Source: IBBS 2017"
Germany,6.5,"Source: Data are from a bio-behavioural study conducted in eight larger cities in Germany from 2001 to 2014, using RDS sampling"
Greece,13,"Source: Greek Reitox focal point of the EMCDDA"
Hungary,0,
India,13,"Source: Sentinel Surveillance 2010-11"
Indonesia,42.1,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),24.1,"Source: Bio-behavioural surveillance"
Italy,12.2,"Source: 2012 National Report (2011 data) to the EMCDDA by the Reitox Italian Focal Point"
Kazakhstan,11.9,"Source: Sentinel surveillance"
Kenya,44.5,"Source: UNODC IDU study 2011 conducted in Coast and Nairobi"
Kuwait,0,"Source: Addition center data"
Kyrgyzstan,9.2,"Source: Sentinel surveillance"
Latvia,19.3,"Source: 9th wave of Drug User's Cohort Study (year 2016)"
Madagascar,0,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateur de drogue injectable, Année 2016"
Malaysia,27.8,"Source: IBSS 2012"
Malta,1,"Source: Data collected from the SMOPU (whole population is under OST)"
Mauritius,36.1,"Source: IBBS 2017"
Mexico,3.3,"Source: Encuesta de seguimiento del proyecto “Fortalecimiento de las estrategias nacionales de prevención y reducción de daño dirigidos a hombres que tienen sexo con hombres (HSH) y hombres y mujeres usuarios de drogas intravenosas (UDI)”"
Montenegro,0,"Source: Bio-behavioural Survey"
Morocco,21.1,"Source: Étude RDS auprès des UDI, 2010, 2012 et 2014"
Myanmar,7.7,"Source: HIV Sero Sentinel Surveillance, 2018"
Nepal,8.8,"Source: Integrated Biological and Behavioral Surveillance Survey"
Nigeria,13.9,
Pakistan,26.1,"Source: IBBS data (Round V)"
Philippines,25.2,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Portugal,19.2,"Source: Ministry of Health (only patients on treatment in public services)"
Republic of Moldova,27.9,"Source: IBBS"
Romania,12.5,"Source: NAA's routine monitoring system on needle & syringes programmes"
Senegal,0,
Serbia,2.6,"Source: esearch among most at risk population and among people living with HIV"
Seychelles,4.2,"Source: National programme data, 2019"
South Africa,24.3,"Source:  Population-based cross-sectional survey of households in South Africa"
Spain,12.9,"Source: Estudio EPI-VIH. Vigilancia centinela del VIH realizada en 19 centros de VIH/ITS repartidos por las principales ciudades españolas."
Sweden,0.2,"Source: Case reporting"
Switzerland,12.4,
Tajikistan,24.1,"Source: Sentinel surveillance, 2018"
Thailand,29.7,
The former Yugoslav Republic of Macedonia,0,"Source: Respondent-Driven Sampling among PWID in the capital city. Results are extrapolated at the national level."
Ukraine,31.4,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,1.2,"Source: UAM Survey of People Who Inject Drugs"
United Republic of Tanzania,27,
Uzbekistan,10.5,"Source: Sentinel surveillance"
