Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,4.4,
Albania,1.4,"Source: Behavioral Surveillance Survey"
Algeria,0.9,"Source: Rapport des Centres de Dépistage (CD) 2018"
Armenia,1.9,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,1.7,"Source: Australian Needle and Syringe Program Survey."
Austria,2,
Azerbaijan,6.9,"Source: Sentinel surveillance, 2018"
Bangladesh,18.1,"Source: Serological Survey, 2016 (unpublished)"
Belarus,30.8,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Belgium,2,"Source: Source of the data: Report: Bollaerts K; Van Bussel J. Development and validation of a serological and behavioural study protocol to register Drugs Related Infectious Diseases -DRID, Scientific Institute of Public Health, Brussels, Belgium, 2012."
Benin,2.2,"Source: Behavioral surveillance"
Bosnia and Herzegovina,0,"Source: VCCT Reports"
Brazil,5.9,
Bulgaria,1.7,
Burundi,10.2,
Cambodia,15.2,"Source: IBBS 2017"
Canada,10.3,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,5.5,"Source: Sentinel surveillance, 2019"
Colombia,2.8,"Source: Comportamiento de usuarios de drogas inyectadas en tres ciudades de Colombia. Estudio CES 2014."
Comoros,1.8,"Source: Rapport de surveillance sentinelle des populations clés 2017"
Croatia,0.2,
Cyprus,0.4,
Czech Republic,0.1,"Source: Diagnostic screening among low-threshold programmes clients, rapid tests."
Côte d'Ivoire,3.4,"Source: Enquête de surveillance bio comportementale auprès des consommateurs de drogues injectables, 2019"
Democratic Republic of the Congo,3.9,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Denmark,4,
Egypt,2.5,"Source: VCT (governmental and NGOs)"
Estonia,51.4,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
Finland,1.2,"Source: Voluntary anonymous study done in low threshold service centres (needle exchange)."
France,10,"Source: Enquête Coquelicot 2011"
Georgia,2.3,"Source: IBBS 2017"
