Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Angola,14.8,"Source: Livros de registo de aconselhamento e testagem do VIH"
Antigua and Barbuda,0,"Source: Prison registry and Clinical Care Coordinator's records"
Argentina,2.7,"Source: Estudio de prevalencia de VIH, sífilis, hepatitis virales y tuberculosis en personas en contextos de encierro en unidades del Servicio Penitenciario Federal. Argentina 2017. Dirección de Sida y ETS."
Armenia,0,"Source: HIV tests conducted by jails, prisons and other closed settings 2019"
Australia,0,"Source: The National Prison Entrants' Bloodborne Virus Survey"
Bahamas,1.8,"Source: HIV tests conducted by jails, prisons and other closed settings"
Belize,5.5,"Source: Prison Medical Facility of Kolbe Foundation, 2016"
Benin,1.8,"Source: Enquête biologique et comportement en milieu carcérale au Bénin en 2017, PSLS/MS"
Burkina Faso,9.9,"Source: Enquête bio comportementale du VIH SIDA en milieu carcéral auprès des détenus hommes et femmes au Burkina Faso 2017"
Canada,2.9,"Source: Correctional Service Canada 2016"
Chile,0.3,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
Costa Rica,1,"Source: Ministerio de Justicia y Paz"
Côte d'Ivoire,3.6,"Source: HIV tests conducted by jails, prisons and other closed settings 2017"
Democratic Republic of the Congo,11.8,"Source: HIV tests conducted by jails, prisons and other closed settings 2018"
El Salvador,0.2,"Source: Programme data, 2018"
Eritrea,3.6,"Source: IBBS study on Prioners"
Georgia,0,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Ghana,11.8,"Source: IBBSS for Prison Inmates conducted in 2014"
Guatemala,1.2,"Source: Encuesta Centroamericana de Vigilancia de Comportamiento Sexual y Prevalencia del VIH e ITS en poblaciones vulnerables y en poblaciones clave (ECVC)"
Guinea,1.9,"Source: ESCOMB 2017"
Haiti,3.2,"Source: Registre de conseil et depistage"
Honduras,0.5,"Source: Estudio de prevalencia del VIH en Privados de libertad realizado en el 2019"
Indonesia,3.2,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),0.8,"Source: Programme data"
Kazakhstan,6.4,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
Kuwait,0,"Source: Data from Central jail authority"
Kyrgyzstan,5.6,"Source: IBBS among prisoners, 2016"
Lebanon,0.3,"Source: Prison authorities reports 2017"
Malaysia,0.1,"Source: Programme data, 2018"
Mali,7,"Source: Rapport annuel 2016 ASDAP"
Mauritius,11.9,"Source: Programme data 2017"
Mexico,0.8,"Source: 1. Bautista-Arredondo S, González A, Servan-Mori E, Beynon F, Juarez-Figueroa L, Conde-Glez CJ, et al.  A Cross-Sectional Study of Prisoners in Mexico City Comparing Prevalence of Transmissible Infections and Chronic Diseases with That in the General Population. PLoS ONE [serie en internet] 2015 [consultado 2016 febrero 17]; 10: e0131718. doi:10.1371. Disponible en: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131718. 2.- Arantxa Colchero, Cortés MA, Sosa-Rubí S,  Romero M, Bautista S, Vega H, et al. Resultados de la Encuesta de salud con sero-prevalencia de VIH a mujeres transgénero en la Ciudad de México. Reporte Técnico.[monografía en internet]. México: INSP, 2013. [consultado 2016 febrero]. Disponible en: http://www.insp.mx/centros/evaluacion-y-encuestas/publicaciones/otras-publicaciones.html. Ciudad de México. México: INSP, s/f. [consultado 2016 marzo]. Disponible en: http://condesadf.mx/pdf/ecuesta_trans2013.pdf. Los datos disponible de hombres, mujeres y personas transgénero no suman en el total porque provienen de fuentes diferentes. Únicamente la suma por sexos se refleja en el total."
Monaco,0,"Source: HIV tests conducted by jails, prisons and other closed settings"
Montenegro,0,"Source: Bio-behavioural cross sectional survey"
Morocco,0.4,"Source: Délégation générale à l'administration pénitentiaire et à la réinsertion (DGAPR)."
Mozambique,36,"Source: Crosscutting study in 32 prisons"
Myanmar,4.4,"Source: Programme data, 2019"
Nicaragua,2.3,"Source: Estudio de Prevalencia del  VIH en población privada de libertad en 8 establecimientos penitenciarios del país en el período Junio-Agosto 2016."
Niger,8.5,"Source: Rapport enquête SSG 2015"
Nigeria,6.9,"Source: National situation and needs assessment of HIV and AIDS, drug Use and Related Health services in Nigerian Prisons."
Oman,0,"Source: Prison records"
Panama,2.1,"Source: Clínicas Amigables"
Peru,0.3,"Source: Instituto Penitenciario - INPE. Footnote: Age disagregation is >29/29+"
Republic of Moldova,2.9,"Source: Integrated Bio-Behavioural Study in key populations 2016-2017"
Saint Lucia,0,"Source: HIV tests conducted by jails, prisons and other closed settings 2019"
Sao Tome and Principe,0,"Source: IBBS"
Senegal,5.4,"Source: Enquête nationale de surveillance combinée"
Seychelles,0,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Sierra Leone,8,"Source: HIV tests conducted by jails, prisons and other closed settings, 2018"
Singapore,0,"Source: HIV tests conducted by jails, prisons and other closed settings"
Somalia,3.1,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
South Africa,29.6,"Source: Department of Correctional Services (DCS)"
Spain,4.4,"Source: Ministerio del Interior. Subdirección General del Sanidad Penitenciarira"
Sri Lanka,0.2,"Source: Programme data, 2019"
Syrian Arab Republic,0,"Source: Programme data"
Thailand,1,"Source: NAP database from NHSO"
The former Yugoslav Republic of Macedonia,0,"Source: Biobehavioural survey among prisoners in 2017"
Uganda,24.2,"Source: UGANDA PRISONS SERVICE SERO-BEHAVIOURAL SURVEY, 2013"
United Republic of Tanzania,14.7,"Source: Rapid Situational Assessment on HIV Prevalence and Related Risk Factors in Prison Settings in Mainland Tanzania"
Uruguay,3.9,"Source: Estudio epidemiológico en personas privadas de libertad"
Zambia,43.3,"Source: Serobehavioral survey of the HIV and AIDS situation in Zambian prisons, 2011"
