Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Angola,16.1,"Source: Livros de registo de aconselhamento e testagem do VIH"
Antigua and Barbuda,0,"Source: Prison registry and Clinical Care Coordinator's records"
Argentina,2.6,"Source: Estudio de prevalencia de VIH, sífilis, hepatitis virales y tuberculosis en personas en contextos de encierro en unidades del Servicio Penitenciario Federal. Argentina 2017. Dirección de Sida y ETS."
Armenia,0.3,"Source: HIV tests conducted by jails, prisons and other closed settings 2019"
Australia,1.1,"Source: The National Prison Entrants' Bloodborne Virus Survey"
Azerbaijan,1.9,"Source: дозорный эпидемиологический надзор"
Bahamas,3,"Source: HIV tests conducted by jails, prisons and other closed settings"
Belize,5.9,"Source: Prison Medical Facility of Kolbe Foundation, 2016"
Benin,0.4,"Source: Enquête biologique et comportement en milieu carcérale au Bénin en 2017, PSLS/MS"
Bolivia (Plurinational State of),1.1,"Source: Programme data"
Bulgaria,1.7,"Source: Behavioural Surveillance Survey  - convenience sampling in 3 prisons"
Burkina Faso,1.5,"Source: Enquête bio comportementale du VIH SIDA en milieu carcéral auprès des détenus hommes et femmes au Burkina Faso 2017"
Canada,1.2,"Source: Correctional Service Canada 2016"
Central African Republic,3.6,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Chile,0.2,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
Congo,3.9,"Source: IBBS 2017"
Costa Rica,0.9,"Source: Ministerio de Justicia y Paz"
Côte d'Ivoire,1.1,"Source: HIV tests conducted by jails, prisons and other closed settings 2017"
Democratic Republic of the Congo,0.6,"Source: HIV tests conducted by jails, prisons and other closed settings 2018"
El Salvador,0.1,"Source: Programme data, 2018"
Eritrea,1.3,"Source: IBBS study on Prioners"
Georgia,1.8,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Ghana,1.5,"Source: IBBSS for Prison Inmates conducted in 2014"
Guatemala,0.6,"Source: Encuesta Centroamericana de Vigilancia de Comportamiento Sexual y Prevalencia del VIH e ITS en poblaciones vulnerables y en poblaciones clave (ECVC)"
Guinea,2.3,"Source: ESCOMB 2017"
Guyana,1.7,"Source: Programme data"
Haiti,2.7,"Source: Registre de conseil et depistage"
Honduras,0.8,"Source: Estudio de prevalencia del VIH en Privados de libertad realizado en el 2019"
Indonesia,2.9,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),1.5,"Source: Programme data"
Kazakhstan,3.4,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
Kuwait,0.1,"Source: Data from Central jail authority"
Kyrgyzstan,11.6,"Source: IBBS among prisoners, 2016"
Lebanon,0.1,"Source: Prison authorities reports 2017"
Malawi,19,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
Malaysia,0.2,"Source: Programme data, 2018"
Mali,1.2,"Source: Rapport annuel 2016 ASDAP"
Mauritius,17.6,"Source: Programme data 2017"
Mexico,0.7,"Source: 1. Bautista-Arredondo S, González A, Servan-Mori E, Beynon F, Juarez-Figueroa L, Conde-Glez CJ, et al.  A Cross-Sectional Study of Prisoners in Mexico City Comparing Prevalence of Transmissible Infections and Chronic Diseases with That in the General Population. PLoS ONE [serie en internet] 2015 [consultado 2016 febrero 17]; 10: e0131718. doi:10.1371. Disponible en: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0131718. 2.- Arantxa Colchero, Cortés MA, Sosa-Rubí S,  Romero M, Bautista S, Vega H, et al. Resultados de la Encuesta de salud con sero-prevalencia de VIH a mujeres transgénero en la Ciudad de México. Reporte Técnico.[monografía en internet]. México: INSP, 2013. [consultado 2016 febrero]. Disponible en: http://www.insp.mx/centros/evaluacion-y-encuestas/publicaciones/otras-publicaciones.html. Ciudad de México. México: INSP, s/f. [consultado 2016 marzo]. Disponible en: http://condesadf.mx/pdf/ecuesta_trans2013.pdf. Los datos disponible de hombres, mujeres y personas transgénero no suman en el total porque provienen de fuentes diferentes. Únicamente la suma por sexos se refleja en el total."
Monaco,0.9,"Source: HIV tests conducted by jails, prisons and other closed settings"
Mongolia,0,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Montenegro,0,"Source: Bio-behavioural cross sectional survey"
Morocco,0.2,"Source: Délégation générale à l'administration pénitentiaire et à la réinsertion (DGAPR)."
Mozambique,23.1,"Source: Crosscutting study in 32 prisons"
Myanmar,4.8,"Source: Programme data, 2019"
Nicaragua,3.1,"Source: Estudio de Prevalencia del  VIH en población privada de libertad en 8 establecimientos penitenciarios del país en el período Junio-Agosto 2016."
Niger,1.4,"Source: Rapport enquête SSG 2015"
Nigeria,2.7,"Source: National situation and needs assessment of HIV and AIDS, drug Use and Related Health services in Nigerian Prisons."
Oman,0.2,"Source: Prison records"
Pakistan,2,"Source: IBBS in Prisons"
Panama,1,"Source: Clínicas Amigables"
Peru,0.5,"Source: Instituto Penitenciario - INPE. Footnote: Age disagregation is >29/29+"
Republic of Moldova,3.9,"Source: Integrated Bio-Behavioural Study in key populations 2016-2017"
Saint Lucia,1.7,"Source: HIV tests conducted by jails, prisons and other closed settings 2019"
Sao Tome and Principe,8.7,"Source: IBBS"
Senegal,1.4,"Source: Enquête nationale de surveillance combinée"
Seychelles,10.3,"Source: HIV Tests conducted by jails, prisons and other closed settings, 2016"
Sierra Leone,8.7,"Source: HIV tests conducted by jails, prisons and other closed settings, 2018"
Singapore,1.7,"Source: HIV tests conducted by jails, prisons and other closed settings"
Somalia,0.4,"Source: HIV tests conducted by jails, prisons and other closed settings, 2019"
South Africa,10,"Source: Department of Correctional Services (DCS)"
Spain,5.5,"Source: Ministerio del Interior. Subdirección General del Sanidad Penitenciarira"
Sri Lanka,0,"Source: Programme data, 2019"
Syrian Arab Republic,0,"Source: Programme data"
Thailand,1,"Source: NAP database from NHSO"
The former Yugoslav Republic of Macedonia,0,"Source: Biobehavioural survey among prisoners in 2017"
Uganda,14.4,"Source: UGANDA PRISONS SERVICE SERO-BEHAVIOURAL SURVEY, 2013"
United Republic of Tanzania,5.2,"Source: Rapid Situational Assessment on HIV Prevalence and Related Risk Factors in Prison Settings in Mainland Tanzania"
Uruguay,1.2,"Source: Estudio epidemiológico en personas privadas de libertad"
Zambia,26,"Source: Serobehavioral survey of the HIV and AIDS situation in Zambian prisons, 2011"
Zimbabwe,26.8,"Source: Prison prevalence survey"
