Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0.3,
Algeria,4.8,"Source: Bilan des activités des centres de dépistage du VIH/sida 2017"
Antigua and Barbuda,0.5,"Source: National programme data 2017"
Armenia,0.7,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,0,"Source: Sentinel HIV surveillance in metropolitan sexual health clinics."
Azerbaijan,2.6,"Source: Sentinel surveillance, 2018"
Bangladesh,0.3,"Source: Serological Survey,2015 (unpublished); Serological Survey,2016 (unpublished)"
Belarus,7.8,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Belgium,0.5,"Source: Data extracted from activity report 2015 community-based services for sex workers"
Belize,1.8,
Benin,10.7,"Source: Behavioural Surveillance Survey 2017"
Bolivia (Plurinational State of),0.6,
Brazil,7,"Source: National RDS Study on knowledge, attitudes and practices and prevalence of HIV, syphilis, Hepatitis B and C among female sex workers. Brazil, 2016"
Bulgaria,0.4,"Source: ECDC 2017"
Burkina Faso,7.3,"Source: Cartographie programmatique , estimation de la taille et enquête bio comportementale parmi les populations clés ( PS, HSH, UD) au Burkina Faso par le SP/CNLS IST"
Burundi,28.3,
Cabo Verde,10.8,
Cambodia,3.5,"Source: IBBS 2016"
Cameroon,44.5,
Central African Republic,21.9,"Source: Enquête  sur la cartographie, l'estimation de la taille des professionnelles de sexe  et des hommes ayant des rapports sexuels avec d'autres hommes à Bangui, Boali, Bouar, Carnot et Berberati en République Centrafricaine en 2019"
Chad,20.7,
Chile,0,"Source: Estudio de prevalencia de VIH en trabajadoras sexuales "
China,0.2,"Source: Sentinel surveillance, 2019"
Colombia,3.3,
Congo,11.5,"Source: ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES, LES PROFESSIONNELLES DE SEXE, LES CONSOMMATEURS DE DROGUES INJECTABLES ET LES DETENUS EN REPUBLIQUE DU CONGO"
Costa Rica,1.5,"Source: Encuesta de Prevalencia  2017"
Cuba,1.1,"Source: ESTUDIO CENTINELA DE CABECERAS PROVINCIALES"
Czech Republic,0.2,"Source: The Bliss without Risk (NGO)"
Côte d'Ivoire,15.5,"Source: IBBS 2019"
Democratic Republic of the Congo,9.6,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Dominica,0.4,"Source: National programme data, 2019"
Dominican Republic,4.8,"Source: BSS"
Egypt,3,"Source: Al-Shehab Organization, Network of Associations for Harm Reduction NAHR"
El Salvador,2.2,"Source: Sentinel surveillance, 2018"
Eritrea,10.7,
Estonia,5.7,
Eswatini,74.2,
Fiji,1.2,"Source: IBBS"
Gambia,12.4,"Source: IBBS DATA COLLECTION TOOLS"
Georgia,0.9,"Source: Behavioural Surveillance Survey 2017"
Germany,0.5,"Source: Cross-sectional study KABP-Surv STI"
Ghana,9.6,
Guinea,10.8,"Source: ESCOMB 2017"
Guinea-Bissau,49.5,
Guyana,6.2,"Source: Bio-behavioural Surveillance survey"
Haiti,11.4,
Honduras,1.7,"Source: Base de datos VICIT WEB"
India,2.4,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,5.7,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),2.3,"Source: Integrated biobehavioral survey"
Jamaica,1.7,"Source: The 4th (2017) Generation Surveillance of Commercial Sex Workers, Female Patrons and Workers of Sites, where Persons Meet Sex Partners or Participate in Sexual Activity in Jamaica"
Kazakhstan,1.6,"Source: Sentinel surveillance, 2019"
Kyrgyzstan,2.4,"Source: Sentinel surveillance"
Lao People's Democratic Republic,0.8,
Madagascar,6.2,"Source: Etude de surveillance comportementale et biologique chez les professionnelles de sexe, Année 2016"
Malaysia,7.7,"Source: Behavioural Surveillance Survey 2017"
Mauritania,6.9,"Source: Enquête IBBS  méthode RDS"
Mauritius,19,
Mexico,6.4,"Source: 1. Bautista-Arredondo S., Colchero M.A., Cortés M.A., Sosa-Rubí S.G., Romero M. Encuesta de seguimiento y análisis para la evaluación de impacto de las estrategias de prevención de VIH/SIDA. Reporte a FUNSALUD, Marzo 2014. 2. Juan Pablo Gutiérrez, Aurora Franco Nuñez, Diana Nicte-Há Sansores Martínez, Andrey Ryo Shiba Matsumoto.. Informe técnico analítico sobre  la prevalencia de vih; así como factores de riesgo y vulnerabilidad,  personas que se dedican al trabajo sexual; y en personas transexuales y personas transgénero. INSP. México, 2012"
Mongolia,0,"Source: Unpublished preliminary result of HIV AND SYPHILIS SURVEILLANCE SURVEY REPORT, 2019"
Montenegro,0.7,"Source: Bio-behavioural Survey"
Morocco,1.6,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2019"
Myanmar,9.9,"Source: Biological and behavioral survey, 2019"
Nicaragua,3,"Source: HIV Sero Sentinel Surveillance 2016"
Niger,12.7,"Source: Enquête de surveillance de seconde génération chez les populations clés"
Nigeria,17.3,
Pakistan,3.8,"Source: IBBS"
Panama,0.7,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Papua New Guinea,20.9,
Paraguay,1.5,"Source: Prevalencia del VIH/Sífilis/Hepatitis B Comportamientos, Prácticas y Actitudes de la Población MTS (Mujeres Trabajadoras Sexuales) en el Paraguay 2017"
Peru,0.7,"Source: Hoja de Monitorización de Actividades - HMA de la Dirección de Prevención y Control de VIH-SIDA, Enfermedades de Transmisión Sexual y Hepatitis - DPVIH"
Philippines,0.6,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Portugal,8.9,
Republic of Moldova,4.5,"Source: Behavioural Surveillance Survey 2017"
Romania,0.6,"Source: Romanian Angel Appeal Foundation.  2010. PREVALENCE OF HIV, HVB AND HVC AND RISK BEHAVIORS AMONG FEMALE SEX WORKERS IN BUCHAREST. SURVEY REPORT. Unpublished report."
Rwanda,53.9,"Source: Sentinel surveillance 2016"
Samoa,0,"Source: Sentinel surveillance, 2018"
Senegal,5.9,"Source: Enquête Combinée"
Serbia,2.3,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Seychelles,6.4,"Source: Behavioral and biological survey"
Spain,2,
Sri Lanka,0,"Source: HIV sero surveillance conducted in 2016"
Sudan,1.9,"Source: IBBS"
Suriname,10,"Source: BSS among female sex workers and men who have sex with men and trans women Study implemented in Paramaribo and surrounding areas"
Tajikistan,3,"Source: Sentinel surveillance, 2018"
Thailand,3.2,"Source: IBBS among FSW non-venue 2019."
The former Yugoslav Republic of Macedonia,0,"Source: http://iph.mk/wp-content/uploads/2019/03/SW-2018.pdf"
Togo,18.8,"Source: Behavioural Surveillance Survey 2017"
Tunisia,1.2,
Ukraine,6.4,"Source: National Integrated Bio-Behavioral Survey 2017"
Uzbekistan,3.9,"Source: Sentinel surveillance, 2018"
Viet Nam,4.4,"Source: HSS 2018"
Zimbabwe,49.1,"Source: Special Study, 2019"
