Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Algeria,0,
Argentina,22.8,"Source: Fuente: SALOMÓN y M. A. Pando, “Determinación de la seroincidencia y resistencia de VIH en poblaciones HSH, TS, UD y embarazadas”. Octubre 2006-Septiembre 2008."
Bangladesh,0.6,"Source: Serological Survey,2015 (unpublished); Serological Survey,2016 (unpublished)"
Belgium,1.9,"Source: Data extracted from activity report 2015 community-based services for sex workers"
Bulgaria,0,"Source: ECDC 2017"
Cabo Verde,0,
Cameroon,0,
Cuba,1.1,"Source: ESTUDIO CENTINELA DE CABECERAS PROVINCIALES"
Czech Republic,1.6,"Source: The Bliss without Risk (NGO)"
Côte d'Ivoire,50,
Egypt,3.4,"Source: Al-Shehab Organization, Network of Associations for Harm Reduction NAHR"
Fiji,2.8,
Germany,20,
Guyana,5.1,"Source: Bio-behavioural Surveillance survey"
Honduras,0,"Source: Base de datos VICIT WEB"
Indonesia,18.3,
Kyrgyzstan,16.7,
Mexico,4.4,"Source: National programme data, 2019. SS/DGIS. Sistema de Información en Salud (SIS)"
Nepal,7.4,"Source: Two separate surveys for MSM/MSW and FSW has been conducted in Kathmandu Valley in 2017 respectively. In 2017, IBBS was conducted among MSM/TG in Pokhara"
Nigeria,18.6,
Pakistan,3.7,"Source: IBBS"
Panama,8.3,"Source: Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Papua New Guinea,14.2,
Peru,2,"Source: Hoja de Monitorización de Actividades - HMA de la Dirección de Prevención y Control de VIH-SIDA, Enfermedades de Transmisión Sexual y Hepatitis - DPVIH"
Philippines,0.4,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Portugal,13.5,
Saint Vincent and the Grenadines,0,
Samoa,0,"Source: Sentinel surveillance, 2018"
Serbia,0,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Solomon Islands,0,"Source: IBBS 2017"
Spain,16.4,
Suriname,37.9,"Source: BSS among female sex workers and men who have sex with men and trans women Study implemented in Paramaribo and surrounding areas"
Thailand,3.8,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018"
The former Yugoslav Republic of Macedonia,0,"Source: http://iph.mk/wp-content/uploads/2019/03/SW-2018.pdf"
Uruguay,7.7,"Source: Reporte mensual de control de salud de Trabajadoras y trabajadores sexuales. Policlínicas de ITS - ASSE de todo el país"
Zimbabwe,28,"Source: Special Study, 2019"
