Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0.3,
Albania,0.7,"Source: Behavioral Surveillance Survey"
Algeria,3.5,"Source: Rapport des Centres de Dépistage (CD)"
Angola,8,"Source: Relatório do Estudo Place do Linkage 2016/2017 em 5 Províncias de Angola"
Antigua and Barbuda,0.5,"Source: National programme data 2017"
Argentina,5.4,"Source: Fuente: SALOMÓN y M. A. Pando, “Determinación de la seroincidencia y resistencia de VIH en poblaciones HSH, TS, UD y embarazadas”. Octubre 2006-Septiembre 2008."
Armenia,0.6,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,0,"Source: Sentinel HIV surveillance in metropolitan sexual health clinics"
Azerbaijan,3.5,"Source: Sentinel surveillance, 2018"
Bangladesh,0.2,"Source: Serological Survey,2015 (unpublished); Serological Survey,2016 (unpublished)"
Barbados,0,"Source: Data collect from testing done by 2 CSOs Equals and CEED through the Linkage USAID project.  Denominators represents the number of test done for the year 2017 as they may have been repeat testing per quarter."
Belarus,7,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Belgium,0.7,"Source: Data extracted from activity report 2015 community-based services for sex workers"
Belize,0.9,
Benin,8.5,"Source: Behavioural Surveillance Survey 2017"
Bolivia (Plurinational State of),4.3,"Source: For transgenders: El estudio de vigilancia se segunda generación en población transgénero del año 2012, permite estimar la prevalencia de VIH en este grupo poblacional sobre una muestra de 492 mujeres trans con ruebas de VIH"
Bosnia and Herzegovina,0,"Source: VCCT Reports"
Botswana,42.2,"Source: Behavioural Surveillance Survey 2018"
Brazil,5.3,"Source: National RDS Study on knowledge, attitudes and practices and prevalence of HIV, syphilis, Hepatitis B and C among female sex workers. Brazil, 2016"
Bulgaria,0.3,"Source: ECDC 2017"
Burkina Faso,5.4,"Source: Cartographie programmatique , estimation de la taille et enquête bio comportementale parmi les populations clés ( PS, HSH, UD) au Burkina Faso par le SP/CNLS IST"
Burundi,21.3,"Source: Etude PLACE 2013 validée en 2014."
Cabo Verde,7.7,
Cambodia,2.3,"Source: IBBS 2016"
Cameroon,24.3,"Source: Enquete IBBS chez les TS et les MSM"
Central African Republic,15,"Source: Enquête  sur la cartographie, l'estimation de la taille des professionnelles de sexe  et des hommes ayant des rapports sexuels avec d'autres hommes à Bangui, Boali, Bouar, Carnot et Berberati en République Centrafricaine en 2019"
Chad,20,
Chile,0,"Source: Estudio de prevalencia de VIH en trabajadoras sexuales "
China,0.2,"Source: Sentinel surveillance, 2019"
Colombia,1.2,"Source: Estudio epidemiológico transversal, del tipo encuesta de “seroprevalencia”"
Comoros,0.3,"Source:  Rapport de l'enquête de surveillance sentinelle  IST/VIH/Sida des TS et HSH 2017"
Congo,8.1,"Source: ENQUETE COMPORTEMENTALE COUPLEE A LA SEROLOGIE VIH CHEZ LES HOMMES AYANT DES RAPPORTS SEXUELS AVEC LES HOMMES, LES PROFESSIONNELLES DE SEXE, LES CONSOMMATEURS DE DROGUES INJECTABLES ET LES DETENUS EN REPUBLIQUE DU CONGO"
Costa Rica,1.4,"Source: Encuesta de Prevalencia  2017"
Cuba,0.8,"Source: ESTUDIO CENTINELA DE CABECERAS PROVINCIALES"
Czech Republic,0,"Source: The Bliss without Risk (NGO)"
Côte d'Ivoire,7.5,"Source: IBBS 2019"
Democratic Republic of the Congo,7.5,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Djibouti,9.3,"Source: Donnés de routine, Rapport Oct 2018-Sept 2019 Projet Linkages FHI360"
Dominica,0.4,"Source: National programme data, 2019"
Dominican Republic,4.2,"Source: Encuesta de Vigilancia de Comportamiento con Vinculación Serológica, realizada en 05 provincias (Santo Domingo, Santiago, Puerto Plata, Barahona y  La Altagracia)"
Egypt,2.8,"Source: Al-Shehab Organization, Network of Associations for Harm Reduction NAHR"
El Salvador,2.2,"Source: Sentinel surveillance, 2018"
Eritrea,10.4,
Estonia,6.2,
Eswatini,60.5,"Source: Characterizing the HIV Prevention and Treatment Needs among Key Populations, including Men who Have Sex with Men and Female Sex Workers in Swaziland:From Evidence to Action"
Ethiopia,24.3,"Source:  National most at risk population IBBS survey"
Fiji,0.7,"Source: IBBS"
Finland,3.5,"Source: The health and welfare of erotic, escort and sex workers in Finland. 2013. http://urn.fi/URN:ISBN:978-952-302-105-1 (English Abstract)"
Gambia,11,"Source: IBBS DATA COLLECTION TOOLS"
Georgia,0.9,"Source: Behavioural Surveillance Survey 2017"
Germany,3,
Ghana,6.9,
