Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,5.5,"Source: Integrated Biological and Behavioral Surveillance Survey"
Bangladesh,1.6,"Source: icddr,b, 2015. Serological survey (unpublished): Data collection: May, 2015-Jun, 2015"
Bolivia (Plurinational State of),28.2,"Source: Behavioral surveillance, 2018"
Brazil,38.3,
Cuba,2.8,"Source: DATOS OBTENIDOS DE ESTUDIO CENTINELA DE CABECERAS PROVINCIALES"
Dominican Republic,25.9,"Source: Encuesta de Vigilancia de Comportamiento con Vinculacion Serologica, realizda (01)  Gran Santo Domingo: Provincia Santo Domingo y el Distrito Nacional)"
El Salvador,18,"Source: Sentinel surveillance, 2018"
Guyana,7.8,"Source: Bio-behavioral Surveillance Survey."
Honduras,6.2,"Source; Bases de datos VICITS WEB"
India,7.8,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,26,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),3.3,"Source: Cross-sectional study  in 2014 based on time-location sampling"
Jamaica,65.2,"Source: IBBSS with Population Size Estimation among MSM & TG"
Malaysia,12.2,"Source: Behavioral surveillance"
Mali,17.1,"Source: ANALYSE DE LA SITUATION DES PERSONNES TRANSGENRES AU MALI EN RELATION AVEC L'INFECTION A VIH ET LE SIDA"
Nepal,12.4,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Nicaragua,13.8,"Source: ECVC 2016"
Pakistan,5.2,"Source: Behavioral surveillance"
Panama,25.3,"Source: Registro de  Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Paraguay,31.3,"Source: PREVALENCIA DEL VIH/SIFILIS/HEPATITIS B Y COMPORTAMIENTOS, PRÁCTICAS Y ACTITUDES DE LA POBLACION TRANS EN EL PARAGUAY, 2017"
Peru,2.3,"Source: Hoja de Monitorización de Actividades - HMA de la Dirección de Prevención y Control de VIH-SIDA, Enfermedades de Transmisión Sexual y Hepatitis - DPVIH"
Philippines,5,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Samoa,0,"Source: Programme data, 2019"
Thailand,12.8,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018"
