Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,2,"Source: Integrated Biological and Behavioral Surveillance Survey"
Bangladesh,1.4,"Source: icddr,b, 2015. Serological survey (unpublished): Data collection: May, 2015-Jun, 2015"
Bolivia (Plurinational State of),22.6,"Source: Behavioral surveillance, 2018"
Brazil,30,
Cambodia,5.9,"Source: IBBS"
Colombia,21.4,
Costa Rica,24.6,"Source: Behavioral surveillance"
Cuba,3.1,"Source: DATOS OBTENIDOS DE ESTUDIO CENTINELA DE CABECERAS PROVINCIALES"
Dominican Republic,27.7,"Source: Encuesta de Vigilancia de Comportamiento con Vinculacion Serologica, realizda (01)  Gran Santo Domingo: Provincia Santo Domingo y el Distrito Nacional)"
Ecuador,34.8,"Source: Estudio de Prevalencia de VIH en Mujeres Transfemeninas realizado por la Corporación Kimirina 2017"
El Salvador,15.3,"Source: Sentinel surveillance, 2018"
Guatemala,22.2,"Source: Encuesta de Medición de prevalencia, comportamiento, actitudes y prácticas en poblaciones de mayor riesgo al VIH-Sida en Guatemala, 2017. TEPHINET, HIVOS, MSAPAS"
Guyana,8.4,"Source: Bio-behavioral Surveillance Survey."
Honduras,6.4,"Source; Bases de datos VICITS WEB"
Iran (Islamic Republic of),1.9,"Source: Cross-sectional study  in 2014 based on time-location sampling"
Jamaica,51,"Source: IBBSS with Population Size Estimation among MSM & TG"
Malaysia,10.9,"Source: Behavioral surveillance"
Mali,14.6,"Source: ANALYSE DE LA SITUATION DES PERSONNES TRANSGENRES AU MALI EN RELATION AVEC L'INFECTION A VIH ET LE SIDA"
Mauritius,28.4,"Source: IBBS done by NGO PILS"
Mexico,8.7,"Source: Cifras actualizadas al 12 de marzo del 2019 con base en el trabajo publicado en: https://www.gob.mx/cms/uploads/attachment/file/442533/2018_3_Detecci_n_v4.pdf"
Nicaragua,8.1,"Source: ECVC 2016"
Pakistan,5.5,"Source: Behavioral surveillance"
Panama,29.8,"Source: Registro de  Cinco de las Seis Clínicas Amigables (CLAM) donde se llevan a cabo las Vigilancia Centinela de las ITS (VICITS)"
Peru,15.6,"Source: Hoja de Monitorización de Actividades - HMA 2017 de la Dirección de Prevención y Control de VIH/SIDA - DPVIH, Enfermedades de Transmisión Sexual y Hepatitis."
Philippines,3.9,"Source: 2018 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Samoa,0,"Source: Programme data, 2019"
Sierra Leone,4.3,"Source: HIV Sero - Prevalence Study for Key Populations May 2015"
Sri Lanka,0.5,"Source: Behavioral surveillance, 2018"
Thailand,11,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018"
United States,18.8,"Source: Becasen, J et al (2019). Estimating the prevalence of HIV and sexual behaviors among the US Transgender population: A systematic review and meta analysis, 2006-2017. AJPH, 109 (1), e1-e8."
Venezuela (Bolivarian Republic of),35.8,"Source: Prevalencia de infección VIH, Sífilis y Comportamiento sexuales de riesgo en población de mujeres Trans en la República Bolivariana de Venezuela"
