Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Armenia,0,"Source: Estudio de vigilancia de segunda generación"
Bolivia (Plurinational State of),0.6,
Brazil,1,
Costa Rica,2.4,"Source: 3ra Encuesta de Vigilancia de Comportamiento con Vinculación Serológica al VIH, Sifilis, Hepatitis B y C, 2018"
Dominican Republic,2.2,"Source: Ministerio de Salud Publica y Asistencia Social (MSPAS)"
Guatemala,0.1,"Source: Ministerio de Salud Publica y Asistencia Social (MSPAS), IGSS, Cruz Roja, PASMO, Sanidad Militar, e INCAP."
Paraguay,3,
Peru,2.3,"Source: IHBSS"
Philippines,0.1,
Sri Lanka,0,"Source: Behavioral surveillance, 2018"
