Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0.2,"Source: National program data"
Algeria,29.3,"Source: Bilan des activités des centres de dépistage du VIH/sida 2018"
Armenia,66.7,"Source: Integrated Biological and Behavioral Surveillance Survey"
Azerbaijan,43.9,
Bahrain,0,"Source: Laboratory tests"
Belarus,20.5,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Bulgaria,0.8,
Canada,9.2,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
Côte d'Ivoire,9.2,"Source: IBBS, 2019"
Estonia,50.6,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019"
Germany,3.7,"Source: 1) a longitudinal cohort study of MSM HIV seroconverters who were tested for HBV and HCV prevalence and incidence after being diagnosed with HIV and included in the cohort (data collected between 1996 and 2012); 2) self-reported data on HCV diagnosis in the recent 12 months among MSM with self-reported HIV infection (data collection between 11/2013 and 01/2014); 3) data on simultaneous diagnosis of HIV and HCV among MSM testing in Community-based voluntary counselling and testing centers in 2015 and 2016; 4) A multicenter biobehavioural survey among active IDU conducted between 2011 and 2014 in eight larger German cities. Dried blood spots were tested for HIV, HBV and HCV seromarkers."
Iran (Islamic Republic of),2.5,"Source: IBBS, 2019"
Kazakhstan,64.2,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,60.9,
Madagascar,5.7,"Source: Résultat final de l'ESBC auprès des CDI en 2016"
Malawi,1.8,"Source: Programmatic data"
Mauritius,99.7,"Source: IBBS PWID, 2013"
Myanmar,26.8,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,7.4,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Philippines,28,"Source: IHBSS"
Republic of Moldova,60.4,
Seychelles,57.8,
Sri Lanka,0,"Source: Behavioral surveillance, 2018"
The former Yugoslav Republic of Macedonia,0,"Source: IBBS"
Ukraine,18.7,"Source: Integrated Bio-Behavioral Survey conducted by Alliance for Public Health."
Uzbekistan,15.7,
