Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,0,"Source: National program data"
Algeria,1.7,"Source: Bilan des activités des centres de dépistage du VIH/sida 2018"
Azerbaijan,6,
Belarus,4.6,"Source: Результаты поведенческого и биомедицинского исследования среди ПИН, МСМ, ЖСБ в Республике Беларусь за 2017 год"
Brazil,0.3,"Source: Nacional RDS Studies on Knowledge , atitudes and practices and prevalence of HIV, syphilis, Hepatitis B and C"
Bulgaria,0,
Costa Rica,0,"Source: ENCUESTA SEROPREVALENCIA"
Dominican Republic,1,"Source: 3ra Encuesta de Vigilancia de Comportamiento con Vinculación Serológica al VIH, Sifilis, Hepatitis B y C, 2018"
Georgia,0,
Guatemala,0.7,"Source: Ministerio de Salud Publica y Asistencia Social (MSPAS), IGSS, Cruz Roja, PASMO, Sanidad Militar, e INCAP."
Kazakhstan,0.9,"Source: Behavioral Surveillance Survey"
Kyrgyzstan,0.5,"Source: IBBS in 2016"
Myanmar,1.4,"Source: BBS, 2019"
Republic of Moldova,28.7,
Rwanda,1.2,
Seychelles,34.6,
The former Yugoslav Republic of Macedonia,0,"Source: IBBS"
Ukraine,3.7,"Source: Integrated Bio-Behavioral Survey conducted by Alliance for Public Health."
Uzbekistan,4.2,
