Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,1,"Source: DHS 2015"
Albania,35.1,"Source: 2017-18 DHS"
Algeria,9.4,"Source: MICS 2013"
Angola,32.5,"Source: DHS 2015"
Antigua and Barbuda,85.56,"Source: Population Survey 2016"
Argentina,40.3,"Source: MICS 2012"
Armenia,20.2,"Source: DHS 2016"
Azerbaijan,14.9,"Source: DHS 2011"
Bahamas,2.8,"Source: Other BSS 2014"
Bangladesh,12.7,"Source: DHS 2014"
Barbados,47.6,"Source: KABP 2014"
Belarus,56.1,"Source: MICS 2012"
Belize,41.4,"Source: MICS 2016"
Benin,15,"Source: 2017-18 DHS"
Bhutan,21,"Source: MICS 2010"
Bolivia (Plurinational State of),22.46,"Source: 2008 DHIS"
Bosnia and Herzegovina,47.6,"Source: MICS 2012"
Botswana,47.4,"Source: Population Based Survey - AIDS Indicator Survey (AIS) 2016"
Bulgaria,19.9,"Source: 2016 Other General Population Based Survey"
Burkina Faso,31.1,"Source: DHS 2010"
Burundi,52.4,"Source: 2016-17 DHS"
Cambodia,37.6,"Source: DHS 2014"
Cameroon,40.6,"Source: DHS 2018"
Central African Republic,17.4,"Source: MICS 2010"
Chad,11.2,"Source: DHS 2014"
Colombia,31.63,"Source: 2015 DHS"
Comoros,19.1,"Source: DHS 2012"
Congo,26.7,"Source: MICS 2015"
Costa Rica,33.1,"Source: MICS 2011"
Cuba,60.9,"Source: MICS 2014"
Côte d'Ivoire,24,"Source: MICS 2015"
Democratic Republic of the Congo,18.6,"Source: DHS 2014"
Djibouti,9.1,"Source: 2011 BSS"
Dominica,56.2,"Source: Survey 2010"
Dominican Republic,46.4,"Source: MICS 2014"
Egypt,4.1,"Source: Survey 2015"
El Salvador,31.1,"Source: MICS 2014"
Equatorial Guinea,18.8,"Source: DHS 2011"
Eritrea,24.7,"Source: Survey 2010"
Eswatini,49.1,"Source: MICS 2014"
Ethiopia,24.3,"Source: DHS 2016"
Gabon,29.8,"Source: DHS 2012"
Gambia,25.8,"Source: DHS 2013"
Ghana,19.9,"Source: DHS 2014"
Grenada,64.8,"Source: Survey 2010"
Guatemala,22.2,"Source: DHS 2015"
Guinea,20.7,"Source: DHS 2018"
Guinea-Bissau,22.5,"Source: MICS 2014"
Guyana,51.5,"Source: MICS 2014"
Haiti,38.3,"Source: DHS 2017"
Honduras,33.1,"Source: DHS 2011"
India,21.7,"Source: NFHS 2016"
Indonesia,11.4,"Source: DHS 2012"
Iran (Islamic Republic of),16.21,"Source: 2012 BSS"
Iraq,3.5,"Source: MICS 2011"
Jamaica,42.8,"Source: Survey 2012"
Jordan,6.6,"Source: 2017-18 DHS"
Kazakhstan,26.7,"Source: MICS 2015"
Kenya,56.6,"Source: DHS 2014"
Kyrgyzstan,19.8,"Source: MICS 2014"
Lao People's Democratic Republic,24,"Source: MICS 2012"
Lesotho,37.6,"Source: DHS 2014"
Liberia,35.7,"Source: DHS 2013"
Lithuania,67.5,"Source: 2014 BSS"
Madagascar,22.9,"Source: 2015 BSS"
Malawi,41.1,"Source: DHS 2016"
Malaysia,41.1,"Source: 2015 BSS"
Maldives,29.3,"Source: 2016-17 DHS"
Mali,15.6,"Source: DHS 2018"
Mauritania,8.3,"Source: MICS 2015"
Mauritius,4.4,"Source: 2014 BSS"
Mexico,31.3,"Source: MICS 2015"
Mongolia,22.8,"Source: MICS 2014"
Montenegro,47.7,"Source: MICS 2013"
Morocco,19.82,"Source: Other Behavioural Surveillance Survey (2013)"
Mozambique,30.8,"Source: AIS 2015"
Myanmar,16.2,"Source: DHS 2016"
Namibia,61.6,"Source: DHS 2013"
Nepal,20.7,"Source: DHS 2016"
Nicaragua,16.01,"Source: 2001 DHIS"
Niger,15.8,"Source: 2016 BSS"
Nigeria,42.6,"Source: DHS 2018"
Oman,9.8,"Source: DHS 2014"
Pakistan,1.8,"Source: 2017-18 DHS"
Panama,37.1,"Source: DHS 2013"
Papua New Guinea,24.4,"Source: DHS 2017"
Paraguay,27.5,"Source: MICS 2016"
Peru,75.3,"Source: 2016 DHS"
Philippines,20.2,"Source: DHS 2017"
Qatar,15.6,"Source: MICS 2012"
Republic of Moldova,36,"Source: MICS 2012"
Rwanda,64.6,"Source: DHS 2015"
Saint Kitts and Nevis,52.6,"Source: Survey 2010"
Saint Lucia,62.2,"Source: MICS 2012"
Sao Tome and Principe,42.2,"Source: MICS 2014"
Senegal,26.2,"Source: 2017 DHS"
Serbia,54.1,"Source: MICS 2010"
Sierra Leone,28.8,"Source: DHS 2013"
South Africa,46.1,"Source: Other General Population Based Survey 2016"
South Sudan,9.8,"Source: DHS 2010"
Sudan,8.5,"Source: MICS 2014"
Suriname,41.9,"Source: MICS 2010"
Tajikistan,13.8,"Source: DHS 2017"
Thailand,46,"Source: MICS 2016"
Timor-Leste,7.7,"Source: DHS 2016"
Togo,23.3,"Source: DHS 2014"
Tonga,12.1,"Source: DHS 2012"
Trinidad and Tobago,60.2,"Source: MICS 2011"
Tunisia,19.7,"Source: MICS 2012"
Turkmenistan,25.4,"Source: MICS 2015"
Uganda,45.7,"Source: DHS 2016"
Ukraine,21,"Source: 2014 Population Based Survey - Multiple Indicator Cluster Survey (MICS)"
United Republic of Tanzania,40.1,"Source: AIS 2012"
Uruguay,34.5,"Source: DHS 2013"
Viet Nam,49.3,"Source: MICS 2014"
Zambia,42.6,"Source: DHS 2018"
Zimbabwe,46.3,"Source: DHS 2015"
