Country,2017,2018,2019
Afghanistan,57,,62
Albania,51,73,61
Algeria,8,,
Antigua and Barbuda,50,30,
Argentina,54,,
Armenia,54,55,67
Azerbaijan,39,,51
Bahamas,61,,
Bahrain,,30,
Bangladesh,26,28,
Barbados,64,64,
Belarus,33,13,
Bhutan,,,<1
Brazil,44,45,46
Cambodia,49,,28
Chile,56,46,35
China,61,63,
Colombia,,59,
Comoros,19,70,54
Cuba,26,26,
Dominican Republic,39,7,36
Ecuador,,61,58
El Salvador,,11,59
Eritrea,60,,
Eswatini,,,57
Georgia,52,54,57
Guatemala,70,72,71
Haiti,44,,46
Honduras,,48,44
India,66,63,
Indonesia,27,81,81
Iran (Islamic Republic of),57,54,54
Israel,,53,
Jamaica,49,,45
Jordan,8,,
Kazakhstan,45,46,47
Kuwait,46,48,
Kyrgyzstan,61,62,54
Lebanon,46,53,
Malaysia,55,54,63
Mauritius,44,42,53
Mexico,59,57,
Mongolia,68,29,44
Montenegro,58,74,64
Morocco,,,66
Mozambique,48,,48
Myanmar,55,,
Namibia,51,,
Nepal,39,37,
New Zealand,34,30,
Nicaragua,,47,60
Niger,,25,
Nigeria,,,57
North Macedonia,37,56,
Oman,73,65,66
Panama,69,53,
Papua New Guinea,,,72
Paraguay,60,61,62
Peru,,33,
Philippines,72,72,73
Qatar,,19,
Republic of Moldova,52,50,48
Saint Kitts and Nevis,78,80,57
Saint Lucia,15,18,18
Samoa,17,<1,
Sao Tome and Principe,68,14,
Saudi Arabia,46,60,
Senegal,72,,69
Serbia,66,64,
Seychelles,,19,
Sierra Leone,,,59
Singapore,62,70,
Sri Lanka,45,49,55
Suriname,46,53,47
Syrian Arab Republic,30,,36
Tajikistan,62,,57
Thailand,,73,
Tunisia,73,65,
Turkey,,47,46
United Arab Emirates,6,58,21
Uzbekistan,26,43,
Venezuela (Bolivarian Republic of),,,91
