Country,2017,2018,2019,2019_Footnote
Afghanistan,28,,28,"Denominator less than 50"
Albania,29,61,44,"Denominator less than 50"
Algeria,12,,,
Antigua and Barbuda,30,20,,
Argentina,29,,,
Armenia,31,35,37,
Azerbaijan,17,,26,
Bahamas,24,,,
Bahrain,,20,,
Bangladesh,25,10,,
Barbados,51,36,,
Belarus,16,9,,
Brazil,25,26,27,
Cambodia,33,,18,
Chile,36,31,24,
China,28,27,,
Colombia,,36,,
Comoros,4,30,43,"Denominator less than 50"
Cuba,10,17,,
Dominican Republic,15,5,19,
Ecuador,,27,26,
El Salvador,10,7,33,
Eritrea,34,,,
Eswatini,,,27,
Gabon,47,,41,
Georgia,36,48,35,
Guatemala,45,48,53,
Haiti,19,,22,
Honduras,50,38,27,
India,35,33,,
Indonesia,50,52,43,
Iran (Islamic Republic of),29,28,30,
Israel,,33,,
Jamaica,25,,20,
Jordan,25,,,
Kazakhstan,18,19,22,
Kuwait,30,31,,
Kyrgyzstan,29,36,27,
Lao People's Democratic Republic,,,50,
Lebanon,44,30,,
Malaysia,32,27,34,
Mauritius,22,8,29,
Mexico,38,37,,
Mongolia,33,<1,75,"Denominator less than 50"
Montenegro,>95,<1,<1,"Denominator less than 50"
Morocco,,,44,
Mozambique,21,,20,
Myanmar,40,,,
Namibia,20,,,
Nepal,19,15,,
New Zealand,60,33,,
Nicaragua,13,25,35,
Niger,3,10,43,
Nigeria,,,33,
North Macedonia,,<1,,
Oman,35,31,46,"Denominator less than 50"
Panama,36,29,,
Papua New Guinea,,,42,
Paraguay,31,30,28,
Peru,,15,,
Philippines,44,43,45,
Qatar,,33,,
Republic of Moldova,26,29,25,
Saint Kitts and Nevis,33,50,50,"Denominator less than 50"
Saint Lucia,25,25,<1,"Denominator less than 50"
Samoa,<1,<1,,
Sao Tome and Principe,8,9,,
Saudi Arabia,25,20,,
Senegal,51,,48,
Serbia,75,60,,
Seychelles,24,15,12,"Denominator less than 50"
Sierra Leone,,,<1,"Denominator less than 50"
Singapore,68,62,,
Sri Lanka,32,34,40,
Suriname,24,26,24,
Syrian Arab Republic,3,<1,21,"Denominator less than 50"
Tajikistan,28,,26,
Thailand,,54,,
Tunisia,54,52,26,
Turkey,,30,24,
United Arab Emirates,5,38,15,"Denominator less than 50"
Uzbekistan,27,24,,
Venezuela (Bolivarian Republic of),,,10,"Denominator less than 50"
