Country,2017,2018,2019,2019_Footnote
Afghanistan,57,,65,
Albania,56,72,65,"Denominator less than 50"
Algeria,8,,,
Antigua and Barbuda,50,32,,
Argentina,54,,,
Armenia,58,58,67,
Azerbaijan,41,,53,
Bahamas,70,,,
Bahrain,,29,,
Bangladesh,23,30,,
Barbados,62,69,,
Belarus,32,14,,
Brazil,45,45,47,
Cambodia,53,,30,
Chile,56,46,34,
China,62,63,,
Colombia,,59,,
Comoros,11,40,33,"Denominator less than 50"
Cuba,27,26,,
Dominican Republic,46,8,41,
Ecuador,,65,60,
El Salvador,,11,61,
Eritrea,60,,,
Eswatini,,,69,
Georgia,50,52,58,
Guatemala,70,71,71,
Haiti,56,,54,
Honduras,,47,45,
India,71,67,,
Indonesia,26,82,83,
Iran (Islamic Republic of),59,57,56,
Israel,,51,,
Jamaica,57,,53,
Jordan,10,,,
Kazakhstan,46,47,47,
Kuwait,46,48,,
Kyrgyzstan,62,64,56,
Lebanon,45,53,,
Malaysia,56,55,63,
Mauritius,48,28,54,
Mexico,59,58,,
Mongolia,74,36,36,"Denominator less than 50"
Montenegro,56,82,67,"Denominator less than 50"
Morocco,,,68,
Mozambique,57,,56,
Myanmar,58,,,
Namibia,56,,,
Nepal,44,50,,
New Zealand,33,30,,
Nicaragua,,49,63,
Niger,,30,,
Nigeria,,,61,
North Macedonia,37,56,,
Oman,76,71,66,
Panama,71,55,,
Papua New Guinea,,,80,
Paraguay,62,62,65,
Peru,,33,,
Philippines,73,72,74,
Qatar,,21,,
Republic of Moldova,53,51,50,
Saint Kitts and Nevis,67,67,60,"Denominator less than 50"
Saint Lucia,9,21,13,"Denominator less than 50"
Samoa,<1,<1,,
Sao Tome and Principe,80,15,,
Saudi Arabia,46,59,,
Senegal,70,,67,
Serbia,66,63,,
Seychelles,,22,,
Sierra Leone,,,65,
Singapore,60,69,,
Sri Lanka,45,48,54,
Suriname,53,63,53,
Syrian Arab Republic,30,<1,37,
Tajikistan,69,,64,
Thailand,,73,,
Tunisia,69,58,,
Turkey,,47,47,
United Arab Emirates,6,50,16,
Uzbekistan,32,45,,
Venezuela (Bolivarian Republic of),,,90,
