Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , 1000,<500 ,<500 , 1100,<500 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2300,<1000 ,<500 , 2700,1000 ,<500 , 3200,1100 ,<500 , 3700,1200 ,<500 , 4200,1300 ,<500 , 4800,1400 ,<500 , 5100,1500 ,<500 , 5500
Albania,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500,<100 ,<100 , <500
Algeria,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <200,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1000 ,<1000 , 1500,1200 ,<1000 , 1700,1300 ,<1000 , 1900,1400 ,<1000 , 2100,1500 ,<1000 , 2300,1700 ,<1000 , 2600,1800 ,<1000 , 2800,1900 ,<1000 , 3000,1900 ,<1000 , 3300,2000 ,<500 , 3600,2100 ,<500 , 4100
Angola,3000 ,1900 , 4900,3700 ,2400 , 5800,4500 ,3000 , 6700,5500 ,3800 , 7700,6500 ,4800 , 8900,7500 ,5700 , 9900,8800 ,6900 , 11 000,10 000 ,8000 , 13 000,12 000 ,9400 , 14 000,13 000 ,11 000 , 16 000,15 000 ,12 000 , 18 000,17 000 ,14 000 , 20 000,18 000 ,15 000 , 22 000,20 000 ,16 000 , 24 000,21 000 ,17 000 , 26 000,22 000 ,18 000 , 27 000,23 000 ,19 000 , 28 000,24 000 ,20 000 , 29 000,25 000 ,21 000 , 30 000,26 000 ,21 000 , 30 000,26 000 ,21 000 , 31 000,27 000 ,22 000 , 32 000,27 000 ,22 000 , 32 000,27 000 ,21 000 , 32 000,26 000 ,20 000 , 32 000,26 000 ,20 000 , 32 000,26 000 ,20 000 , 33 000,27 000 ,20 000 , 34 000,27 000 ,19 000 , 35 000,26 000 ,18 000 , 34 000
Argentina,4300 ,3300 , 5500,4900 ,3800 , 6000,5900 ,4700 , 7300,6400 ,5300 , 8200,6400 ,5200 , 7800,6400 ,5400 , 8200,6600 ,5600 , 8100,6700 ,5600 , 8200,6700 ,5700 , 8000,5900 ,5100 , 7400,6200 ,5200 , 7400,6000 ,5000 , 7300,5400 ,4500 , 6500,5700 ,4800 , 7000,6100 ,5100 , 7400,6100 ,5200 , 7700,6000 ,5100 , 7500,6100 ,5200 , 7500,5900 ,4800 , 7400,6100 ,5000 , 7900,5700 ,4600 , 7500,6000 ,4700 , 7900,6100 ,4800 , 7900,6000 ,4700 , 7900,5900 ,4600 , 7900,6100 ,4700 , 8300,5900 ,4400 , 8200,6100 ,4400 , 8200,5700 ,4100 , 8100,5900 ,4300 , 8500
Armenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<100 , <500
Australia,1300 ,1100 , 1600,1200 ,<1000 , 1400,1100 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,<1000 ,<1000 , 1400,1000 ,<1000 , 1400,1000 ,<1000 , 1400,1000 ,<1000 , 1500,1000 ,<1000 , 1500,1000 ,<1000 , 1500,1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<500 , 1500,<1000 ,<500 , 1400
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , 1100,<1000 ,<200 , 2200,<1000 ,<500 , 3100,1200 ,<500 , 3500,1300 ,<500 , 3100,1400 ,<1000 , 2800,1300 ,<1000 , 2500,1300 ,<1000 , 2000,1100 ,<1000 , 1800,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<500 , 1000,<1000 ,<500 , 1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
