Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,16,28,37,55,80,105,217,238,246,294
Albania,33,42,64,98,108,130,145,150,170,181
Algeria,1043,1220,1504,2145,2854,3567,4406,5065,5832,6492
Angola,12 721,15 273,18 434,32 409,43 619,47 864,45 079,49 520,56 113,62 808
Antigua and Barbuda,,,,,,111,147,157,168,
Argentina,17 064,18 790,20 516,22 243,23 969,25 695,27 422,29 148,30 874,32 778
Armenia,51,70,151,197,255,332,433,564,677,777
Australia,1432,1466,1671,1786,2018,2240,2431,2557,2778,2935
Austria,...,...,...,...,...,1567,1570,...,...,...
Azerbaijan,139,209,293,411,517,703,892,1131,1384,1637
Bahamas,...,...,...,...,...,1196,1123,1474,1482,...
Bahrain,...,...,...,...,...,30,31,41,...,...
Bangladesh,...,...,...,...,...,559,684,813,986,...
Barbados,371,394,424,452,460,487,495,525,540,585
Belarus,1107,1395,1884,1973,2679,3497,4234,5154,6869,8104
Belgium,...,...,...,...,...,...,...,...,...,...
Belize,...,...,...,...,...,524,589,615,653,...
Benin,13 303,16 918,18 399,16 572,19 261,22 453,25 514,25 919,32 089,33 516
Bhutan,...,...,...,...,...,126,148,188,219,...
Bolivia (Plurinational State of),372,416,820,1024,1342,1835,2215,2586,3060,3635
Bosnia and Herzegovina,...,...,...,...,...,25,...,...,...,...
Botswana,92 606,102 054,122 845,130 712,139 255,154 889,168 036,177 006,193 991,197 362
Brazil,...,...,...,...,...,...,...,...,...,...
Brunei Darussalam,...,...,...,...,...,...,...,...,...,...
Bulgaria,124,142,160,181,201,227,240,236,260,284
Burkina Faso,17 601,24 018,25 705,28 399,31 769,32 276,35 809,40 975,41 961,47 863
Burundi,12 643,14 804,18 245,20 582,23 271,26 495,32 970,38 293,41 174,44 894
Cabo Verde,309,392,465,537,635,725,877,1034,1192,1328
Cambodia,20 603,22 554,23 860,25 151,26 629,27 831,28 921,29 986,30 301,31 002
Cameroon,48 540,57 491,80 900,87 705,98 280,114 056,139 797,174 152,192 741,213 470
Canada,...,...,...,...,...,...,...,...,...,...
Central African Republic,8347,7909,9134,8252,12 768,14 646,21 314,24 061,25 780,30 782
Chad,19 116,19 281,21 709,23 643,28 877,35 306,29 854,34 291,39 800,44 336
Chile,2547,2775,3138,4118,3923,4662,4699,5490,6433,7282
China,...,...,...,...,...,...,...,...,...,...
Colombia,5673,7966,9770,11 960,14 462,16 859,18 747,18 595,19 714,20 832
Comoros,11,12,15,16,18,21,29,31,34,43
Congo,7731,11 169,10 844,12 531,12 191,16 217,17 891,18 882,19 750,17 484
Costa Rica,670,726,756,850,795,1005,1254,1203,1339,1536
Croatia,...,...,...,...,...,...,...,...,...,...
Cuba,1143,1469,1774,2075,2543,3086,3550,3968,4445,5048
Cyprus,...,...,...,...,...,...,...,...,...,...
Czechia,...,...,...,...,...,...,...,...,...,...
Côte d'Ivoire,54 010,65 365,73 043,81 326,95 696,108 277,132 965,160 342,175 507,185 119
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,24 999,31 111,40 717,52 047,65 392,78 753,93 987,135 681,162 485,169 648
Denmark,...,...,...,...,...,1340,1400,1440,...,...
Djibouti,519,561,698,748,925,1029,1183,1444,1575,1710
Dominica,,,,,,20,27,26,38,41
Dominican Republic,7744,8970,10 231,10 879,12 348,13 313,14 354,15 475,16 685,17 961
Ecuador,1793,2260,2724,4051,5017,5920,5893,6983,8087,9813
Egypt,137,176,224,293,429,537,768,1163,1629,1787
El Salvador,2770,2991,3684,4073,4246,4129,4546,4798,4786,4830
Equatorial Guinea,1337,2278,3469,7649,7651,8235,10 880,15 101,15 766,16 500
Eritrea,2501,3056,3370,3757,4245,4552,4594,5111,5224,5207
Estonia,...,...,...,...,...,1398,1545,1644,1726,...
