Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,1 ,1 , 3,2 ,1 , 5,3 ,1 , 7,3 ,2 , 9,4 ,2 , 11,5 ,2 , 13,7 ,3 , 19,9 ,4 , 29,9 ,4 , 30,10 ,4 , 33
Albania,17 ,11 , 25,20 ,13 , 31,25 ,16 , 38,32 ,21 , 50,34 ,21 , 53,37 ,23 , 61,41 ,24 , 69,43 ,24 , 77,42 ,22 , 77,43 ,22 , 82
Algeria,28 ,18 , 39,30 ,19 , 41,33 ,21 , 45,40 ,25 , 55,46 ,28 , 63,53 ,32 , 73,59 ,33 , 82,62 ,33 , 88,65 ,32 , 94,67 ,31 , >95
Angola,10 ,9 , 12,11 ,10 , 13,13 ,11 , 15,19 ,16 , 21,23 ,20 , 26,25 ,21 , 29,23 ,20 , 27,25 ,21 , 29,27 ,23 , 32,27 ,23 , 32
Argentina,49 ,42 , 57,51 ,44 , 60,53 ,46 , 63,55 ,48 , 66,57 ,50 , 68,59 ,52 , 70,61 ,53 , 72,63 ,55 , 75,65 ,56 , 77,67 ,57 , 79
Armenia,8 ,7 , 9,10 ,8 , 11,14 ,12 , 16,17 ,15 , 21,22 ,19 , 26,28 ,24 , 33,35 ,30 , 42,44 ,38 , 55,53 ,45 , 67,62 ,51 , 80
Australia,61 ,47 , 78,60 ,46 , 76,66 ,50 , 83,70 ,53 , 89,73 ,55 , 92,75 ,57 , 95,77 ,58 , >95,79 ,59 , >95,81 ,60 , >95,83 ,60 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,6 ,5 , 8,10 ,8 , 13,14 ,11 , 18,19 ,14 , 25,19 ,15 , 26,25 ,19 , 33,30 ,23 , 40,38 ,29 , 50,45 ,34 , 59,52 ,40 , 68
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,29 ,17 , 43,31 ,18 , 47,34 ,19 , 52,37 ,20 , 59,38 ,20 , 62,40 ,21 , 66,43 ,22 , 72,46 ,23 , 78,49 ,24 , 83,52 ,25 , 90
Belarus,21 ,17 , 25,23 ,19 , 28,27 ,22 , 32,29 ,24 , 35,30 ,25 , 36,34 ,28 , 42,37 ,30 , 45,45 ,37 , 56,59 ,47 , 74,63 ,51 , 82
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,31 ,21 , 48,39 ,26 , 59,41 ,27 , 63,36 ,24 , 54,41 ,27 , 62,47 ,31 , 72,52 ,35 , 80,52 ,35 , 80,60 ,40 , 91,65 ,44 , >95
