Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,1 ,<1 , 2,2 ,1 , 4,2 ,1 , 5,3 ,2 , 8,5 ,2 , 11,7 ,3 , 18,9 ,4 , 23,13 ,6 , 36,13 ,6 , 36,12 ,5 , 36
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Algeria,53 ,32 , 75,88 ,51 , >95,>95 ,57 , >95,>95 ,77 , >95,>95 ,72 , >95,>95 ,66 , >95,>95 ,60 , >95,>95 ,53 , >95,>95 ,48 , >95,>95 ,45 , >95
Angola,6 ,5 , 7,7 ,6 , 8,8 ,7 , 10,9 ,8 , 12,11 ,9 , 14,14 ,12 , 17,10 ,8 , 12,12 ,10 , 15,15 ,12 , 19,16 ,13 , 20
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Australia,69 ,60 , 77,73 ,59 , 83,77 ,65 , 95,83 ,69 , >95,91 ,66 , >95,>95 ,75 , >95,>95 ,77 , >95,93 ,66 , >95,>95 ,79 , >95,>95 ,73 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,7 ,5 , 11,11 ,7 , 16,18 ,13 , 27,27 ,19 , 39,41 ,29 , 57,49 ,34 , 68,53 ,37 , 74,62 ,44 , 85,71 ,51 , >95,76 ,54 , >95
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belarus,>95 ,72 , >95,>95 ,71 , >95,95 ,69 , >95,>95 ,76 , >95,>95 ,76 , >95,>95 ,81 , >95,>95 ,84 , >95,>95 ,72 , >95,>95 ,71 , >95,88 ,67 , >95
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,16 ,10 , 28,20 ,12 , 35,24 ,14 , 41,18 ,11 , 31,21 ,13 , 37,26 ,15 , 45,30 ,18 , 52,29 ,17 , 50,34 ,20 , 59,41 ,24 , 71
