Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,1 ,1 , 3,2 ,1 , 5,2 ,1 , 6,3 ,1 , 8,4 ,2 , 11,5 ,2 , 14,9 ,4 , 28,9 ,4 , 29,9 ,4 , 28,10 ,4 , 33
Albania,19 ,13 , 28,22 ,14 , 32,30 ,19 , 44,42 ,26 , 63,42 ,26 , 65,47 ,29 , 74,49 ,30 , 80,49 ,29 , 81,53 ,31 , 93,55 ,30 , >95
Algeria,31 ,19 , 42,31 ,19 , 43,34 ,20 , 46,43 ,25 , 58,50 ,29 , 69,56 ,31 , 78,62 ,33 , 89,64 ,32 , 94,67 ,32 , >95,68 ,31 , >95
Angola,10 ,8 , 11,11 ,9 , 12,12 ,11 , 14,20 ,17 , 23,26 ,22 , 29,27 ,23 , 31,24 ,20 , 27,25 ,21 , 29,27 ,23 , 32,29 ,25 , 34
Argentina,55 ,48 , 64,58 ,50 , 67,60 ,53 , 70,63 ,55 , 73,65 ,56 , 75,67 ,58 , 78,69 ,60 , 80,71 ,61 , 82,73 ,62 , 84,75 ,64 , 87
Armenia,5 ,4 , 6,6 ,5 , 7,14 ,12 , 16,17 ,15 , 20,22 ,19 , 27,29 ,25 , 34,37 ,32 , 45,47 ,40 , 58,56 ,47 , 69,63 ,53 , 80
Australia,62 ,49 , 75,61 ,48 , 74,65 ,51 , 80,66 ,51 , 81,71 ,54 , 87,75 ,57 , 93,77 ,58 , >95,78 ,59 , >95,81 ,61 , >95,83 ,62 , >95
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,4 ,3 , 6,6 ,5 , 9,9 ,7 , 12,13 ,10 , 17,16 ,12 , 22,22 ,17 , 29,28 ,21 , 37,35 ,27 , 46,43 ,33 , 57,50 ,38 , 66
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
