Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Albania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,30 ,15 , 59
Algeria,31 ,19 , 44,35 ,21 , 50,38 ,22 , 55,40 ,22 , 59,46 ,23 , 69
Angola,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,20 ,17 , 24,22 ,19 , 27,34 ,29 , 42,43 ,36 , 55,52 ,43 , 67
Australia,70 ,52 , 90,73 ,54 , 94,76 ,55 , >95,78 ,56 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,40 ,30 , 53
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,... ,... , ...,... ,... , ...,41 ,20 , 72,45 ,21 , 79,47 ,22 , 83
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,41 ,33 , 51,47 ,37 , 61
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,... ,... , ...,... ,... , ...,... ,... , ...,30 ,20 , 46,36 ,24 , 55
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,24 ,19 , 29,27 ,22 , 33,40 ,32 , 48,46 ,38 , 56
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,... ,... , ...,... ,... , ...,... ,... , ...,66 ,60 , 72,68 ,61 , 74
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,29 ,26 , 32,30 ,27 , 32,34 ,31 , 38,45 ,41 , 50,44 ,39 , 50
Burkina Faso,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,... ,... , ...,... ,... , ...,21 ,17 , 25,29 ,24 , 36,45 ,37 , 56
Cambodia,... ,... , ...,... ,... , ...,69 ,59 , 80,74 ,63 , 85,80 ,68 , 92
Cameroon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,44 ,38 , 50,52 ,45 , 60,57 ,49 , 66,61 ,52 , 70,64 ,55 , 74
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,... ,... , ...,... ,... , ...,32 ,26 , 39,... ,... , ...,... ,... , ...
Comoros,... ,... , ...,... ,... , ...,... ,... , ...,35 ,19 , 63,40 ,22 , 73
Congo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,... ,... , ...,... ,... , ...,41 ,25 , 61,46 ,29 , 68,... ,... , ...
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,... ,... , ...,... ,... , ...,... ,... , ...,36 ,31 , 42,43 ,37 , 50
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,... ,... , ...,21 ,15 , 31,20 ,14 , 30,29 ,20 , 42,... ,... , ...
Dominican Republic,... ,... , ...,... ,... , ...,19 ,15 , 24,36 ,28 , 44,37 ,29 , 45
Ecuador,... ,... , ...,... ,... , ...,... ,... , ...,46 ,34 , 78,47 ,34 , 78
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,... ,... , ...,31 ,27 , 37,32 ,28 , 39,35 ,30 , 41,... ,... , ...
Equatorial Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eritrea,... ,... , ...,... ,... , ...,... ,... , ...,48 ,35 , 64,52 ,38 , 71
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,... ,... , ...,67 ,61 , 73,73 ,67 , 79,77 ,71 , 84,87 ,80 , >95
Ethiopia,... ,... , ...,... ,... , ...,... ,... , ...,62 ,48 , 78,69 ,54 , 87
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,19 ,12 , 40
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gambia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Georgia,42 ,30 , 65,46 ,32 , 73,49 ,33 , 79,49 ,32 , 81,52 ,33 , 86
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,22 ,16 , 31
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,... ,... , ...,39 ,33 , 48,43 ,37 , 52,51 ,43 , 62,56 ,47 , 68
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guyana,... ,... , ...,43 ,38 , 48,47 ,41 , 53,52 ,45 , 59,54 ,47 , 61
Haiti,... ,... , ...,... ,... , ...,... ,... , ...,42 ,36 , 48,51 ,44 , 59
Honduras,... ,... , ...,30 ,25 , 36,33 ,27 , 39,35 ,29 , 41,38 ,31 , 45
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),... ,... , ...,... ,... , ...,12 ,7 , 24,15 ,8 , 31,19 ,10 , 40
Ireland,... ,... , ...,... ,... , ...,74 ,58 , 88,76 ,60 , 90,... ,... , ...
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,68 ,37 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,15 ,12 , 21,16 ,13 , 23,18 ,14 , 25,20 ,16 , 29,25 ,19 , 35
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,13 ,12 , 15,15 ,14 , 17,20 ,18 , 23,26 ,24 , 30,35 ,32 , 40
Kenya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,61 ,53 , 71
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,11 ,<1 , <1,13 ,<1 , <1,17 ,<1 , <1,20 ,<1 , <1,24 ,24 , 24
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,... ,... , ...,... ,... , ...,50 ,29 , 79,56 ,32 , 90,62 ,34 , >95
Lesotho,... ,... , ...,... ,... , ...,... ,... , ...,52 ,48 , 57,54 ,50 , 59
Liberia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,18 ,15 , 22,23 ,19 , 27,27 ,23 , 32,32 ,28 , 39
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Malawi,44 ,39 , 48,50 ,45 , 55,54 ,49 , 59,61 ,55 , 66,62 ,56 , 67
Malaysia,24 ,21 , 27,38 ,34 , 44,... ,... , ...,... ,... , ...,... ,... , ...
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritius,... ,... , ...,... ,... , ...,... ,... , ...,15 ,13 , 18,17 ,14 , 20
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,23 ,20 , 26,20 ,18 , 23,27 ,25 , 31,26 ,23 , 29,30 ,27 , 34
Montenegro,... ,... , ...,37 ,12 , 69,42 ,14 , 78,44 ,14 , 80,46 ,14 , 86
Morocco,31 ,25 , 39,36 ,29 , 47,42 ,34 , 54,50 ,40 , 63,55 ,45 , 70
Mozambique,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,35 ,28 , 44
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,58 ,51 , 66,66 ,59 , 75
Namibia,62 ,57 , 68,50 ,47 , 55,59 ,55 , 64,67 ,62 , 73,69 ,64 , 76
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,46 ,40 , 53
Netherlands,76 ,69 , 82,78 ,71 , 85,80 ,73 , 87,82 ,74 , 90,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Niger,... ,... , ...,... ,... , ...,45 ,39 , 51,43 ,37 , 49,36 ,32 , 42
Nigeria,... ,... , ...,... ,... , ...,... ,... , ...,35 ,26 , 47,... ,... , ...
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,29 ,23 , 36,37 ,29 , 46,42 ,33 , 51,47 ,36 , 58,53 ,41 , 66
Pakistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Peru,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,... ,... , ...,... ,... , ...,20 ,17 , 24,27 ,22 , 33,32 ,27 , 39
Romania,... ,... , ...,... ,... , ...,62 ,52 , 75,56 ,47 , 68,55 ,46 , 67
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,... ,... , ...,69 ,62 , 76,72 ,64 , 79,75 ,67 , 81,78 ,69 , 86
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,... ,... , ...,26 ,22 , 31,... ,... , ...,37 ,31 , 44,41 ,34 , 49
Serbia,49 ,42 , 56,51 ,43 , 59,54 ,44 , 63,59 ,47 , 70,59 ,46 , 71
Sierra Leone,10 ,8 , 11,11 ,9 , 12,14 ,12 , 16,16 ,14 , 18,... ,... , ...
Singapore,54 ,46 , 63,60 ,51 , 70,66 ,55 , 78,68 ,56 , 81,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,22 ,18 , 26
South Africa,40 ,36 , 44,44 ,40 , 49,49 ,44 , 54,53 ,47 , 57,58 ,51 , 62
South Sudan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,13 ,10 , 16
Spain,... ,... , ...,73 ,55 , 88,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,20 ,18 , 24,27 ,23 , 32,35 ,30 , 41,... ,... , ...
Sudan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Suriname,26 ,21 , 32,30 ,24 , 36,34 ,27 , 41,37 ,29 , 45,38 ,30 , 46
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,... ,... , ...,... ,... , ...,17 ,15 , 23,21 ,18 , 28,25 ,21 , 32
Thailand,50 ,45 , 59,57 ,51 , 67,64 ,56 , 74,71 ,63 , 82,77 ,68 , 89
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Trinidad and Tobago,... ,... , ...,... ,... , ...,58 ,48 , 67,59 ,49 , 68,71 ,59 , 83
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,9 ,6 , 13,... ,... , ...
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uganda,... ,... , ...,46 ,43 , 52,54 ,50 , 60,55 ,51 , 62,68 ,63 , 77
Ukraine,22 ,21 , 24,30 ,28 , 32,35 ,32 , 37,43 ,40 , 47,48 ,44 , 52
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,... ,... , ...,... ,... , ...,... ,... , ...,47 ,42 , 52,58 ,51 , 63
United States,50 ,41 , 58,52 ,42 , 60,... ,... , ...,... ,... , ...,... ,... , ...
Uruguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,21 ,17 , 25,... ,... , ...,... ,... , ...
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,62 ,54 , 71
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Zambia,... ,... , ...,57 ,53 , 63,... ,... , ...,55 ,51 , 61,71 ,65 , 78
Zimbabwe,... ,... , ...,54 ,47 , 62,... ,... , ...,... ,... , ...,69 ,59 , 79
Global,38 ,30,45,41 ,33,50,46 ,37,55,49 ,39,59,54 ,44,64
