Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,... ,... , ...,... ,... , ...,28 ,12 , 88,27 ,11 , 90,27 ,11 , 92
Albania,62 ,38 , >95,63 ,37 , >95,66 ,37 , >95,67 ,36 , >95,71 ,36 , >95
Algeria,74 ,44 , >95,73 ,41 , >95,72 ,38 , >95,70 ,35 , >95,76 ,36 , >95
Angola,51 ,44 , 60,55 ,47 , 64,57 ,49 , 67,60 ,51 , 70,62 ,52 , 73
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,51 ,44 , 62,57 ,49 , 69,65 ,56 , 80,73 ,62 , 93,75 ,62 , >95
Australia,89 ,67 , >95,89 ,67 , >95,90 ,67 , >95,91 ,66 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,70 ,53 , 91
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,71 ,37 , >95,75 ,39 , >95,80 ,40 , >95,85 ,42 , >95,90 ,43 , >95
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,79 ,64 , >95,... ,... , ...
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,54 ,36 , 83,59 ,39 , 90,63 ,42 , >95,67 ,45 , >95,72 ,48 , >95
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,82 ,74 , 88,83 ,75 , 90,86 ,77 , 93,90 ,80 , >95,92 ,82 , >95
Brazil,79 ,36 , >95,83 ,38 , >95,85 ,39 , >95,86 ,40 , >95,88 ,41 , >95
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,77 ,70 , 84,80 ,72 , 87,82 ,74 , 90,84 ,75 , 92,85 ,75 , 94
Burkina Faso,58 ,48 , 70,63 ,52 , 76,68 ,56 , 83,69 ,56 , 83,73 ,60 , 88
Burundi,71 ,62 , 85,74 ,64 , 89,77 ,67 , 92,81 ,69 , >95,86 ,74 , >95
Cabo Verde,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cambodia,75 ,65 , 87,78 ,67 , 90,79 ,68 , 91,81 ,70 , 93,84 ,73 , >95
Cameroon,66 ,58 , 72,71 ,62 , 78,75 ,66 , 83,77 ,68 , 86,79 ,70 , 87
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,60 ,51 , 75,62 ,52 , 77,64 ,54 , 82,67 ,55 , 86,70 ,57 , 91
Chad,52 ,42 , 61,55 ,44 , 66,58 ,47 , 70,62 ,49 , 74,65 ,51 , 78
Chile,... ,... , ...,... ,... , ...,... ,... , ...,87 ,76 , >95,90 ,78 , >95
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,45 ,37 , 54,48 ,39 , 58,53 ,43 , 64,57 ,47 , 71,60 ,49 , 75
Comoros,34 ,18 , 65,45 ,24 , 85,60 ,32 , >95,71 ,39 , >95,82 ,45 , >95
Congo,47 ,38 , 58,48 ,39 , 61,50 ,39 , 64,51 ,39 , 68,51 ,38 , 71
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,73 ,59 , 84,76 ,60 , 89,79 ,59 , 95,... ,... , ...,... ,... , ...
Cuba,74 ,46 , >95,76 ,47 , >95,79 ,49 , >95,82 ,51 , >95,85 ,54 , >95
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,58 ,52 , 69,62 ,55 , 73,67 ,58 , 78,70 ,61 , 82,73 ,64 , 86
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,24 ,20 , 29,32 ,26 , 39,42 ,34 , 51,49 ,40 , 60,54 ,44 , 67
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,53 ,38 , 79,63 ,45 , 94,72 ,52 , >95,80 ,58 , >95,... ,... , ...
Dominican Republic,56 ,45 , 69,63 ,51 , 78,71 ,57 , 88,80 ,65 , >95,88 ,71 , >95
Ecuador,... ,... , ...,54 ,40 , 93,65 ,48 , >95,73 ,54 , >95,80 ,59 , >95
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,56 ,49 , 66,59 ,52 , 70,64 ,56 , 76,69 ,60 , 82,72 ,62 , 85
Equatorial Guinea,60 ,50 , 73,63 ,51 , 78,65 ,52 , 84,67 ,52 , 89,69 ,51 , 94
Eritrea,80 ,61 , >95,83 ,62 , >95,84 ,62 , >95,85 ,63 , >95,86 ,63 , >95
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,89 ,83 , >95,92 ,85 , >95,94 ,87 , >95,95 ,88 , >95,>95 ,91 , >95
Ethiopia,70 ,54 , 90,74 ,57 , 95,77 ,59 , >95,79 ,61 , >95,82 ,63 , >95
Fiji,... ,... , ...,34 ,23 , 65,38 ,26 , 75,44 ,29 , 89,50 ,32 , >95
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,81 ,62 , >95,84 ,64 , >95,86 ,65 , >95,88 ,66 , >95,88 ,65 , >95
Gambia,36 ,29 , 45,38 ,30 , 48,39 ,31 , 49,41 ,32 , 52,42 ,33 , 54
Georgia,71 ,51 , >95,72 ,50 , >95,68 ,46 , >95,66 ,44 , >95,64 ,41 , >95
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,47 ,37 , 60,50 ,38 , 63,52 ,39 , 68,55 ,40 , 73,58 ,42 , 79
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,55 ,46 , 67,57 ,49 , 71,61 ,52 , 74,64 ,55 , 77,68 ,58 , 82
Guinea,35 ,31 , 40,37 ,32 , 42,41 ,36 , 47,47 ,41 , 54,57 ,50 , 67
Guinea-Bissau,41 ,36 , 46,45 ,39 , 50,48 ,42 , 55,50 ,44 , 57,54 ,47 , 62
Guyana,68 ,62 , 75,79 ,71 , 87,84 ,76 , 94,89 ,80 , >95,94 ,84 , >95
Haiti,61 ,53 , 69,65 ,56 , 73,68 ,59 , 77,70 ,60 , 79,72 ,62 , 83
Honduras,... ,... , ...,54 ,45 , 63,56 ,47 , 66,56 ,47 , 66,58 ,48 , 67
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),32 ,21 , 56,34 ,21 , 61,36 ,21 , 70,37 ,21 , 74,37 ,20 , 79
Ireland,... ,... , ...,... ,... , ...,86 ,71 , >95,90 ,74 , >95,... ,... , ...
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,89 ,50 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,75 ,68 , 83,75 ,68 , 82,74 ,67 , 82,76 ,69 , 85,77 ,70 , 86
Kenya,84 ,73 , >95,87 ,77 , >95,89 ,78 , >95,90 ,79 , >95,90 ,79 , >95
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,59 ,56 , 60,59 ,57 , 61,61 ,58 , 62,61 ,59 , 63,62 ,59 , 63
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,82 ,50 , >95,81 ,49 , >95,84 ,50 , >95,87 ,50 , >95,91 ,51 , >95
Lesotho,84 ,80 , 91,89 ,84 , >95,92 ,86 , >95,92 ,87 , >95,93 ,87 , >95
Liberia,45 ,36 , 56,48 ,38 , 59,51 ,40 , 64,55 ,43 , 69,58 ,45 , 73
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,80 ,68 , >95,81 ,69 , >95,84 ,72 , >95,83 ,71 , >95,83 ,71 , >95
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,15 ,12 , 19
