Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,... ,... , ...,... ,... , ...,24 ,10 , 72,23 ,10 , 74,21 ,9 , 73
Albania,81 ,50 , >95,77 ,47 , >95,81 ,49 , >95,82 ,47 , >95,86 ,47 , >95
Algeria,76 ,42 , >95,76 ,40 , >95,75 ,38 , >95,74 ,35 , >95,79 ,35 , >95
Angola,58 ,50 , 67,62 ,53 , 72,65 ,55 , 75,67 ,57 , 79,69 ,58 , 81
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,51 ,44 , 61,57 ,49 , 69,64 ,55 , 78,72 ,61 , 89,75 ,62 , 94
Australia,88 ,67 , >95,88 ,67 , >95,89 ,67 , >95,89 ,67 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,60 ,46 , 79
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,73 ,40 , >95,77 ,41 , >95,80 ,43 , >95,84 ,44 , >95,89 ,45 , >95
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,74 ,59 , 94,... ,... , ...
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,67 ,45 , >95,72 ,48 , >95,77 ,51 , >95,83 ,55 , >95,86 ,57 , >95
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,86 ,77 , 92,87 ,79 , 93,89 ,81 , >95,93 ,84 , >95,95 ,86 , >95
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,67 ,60 , 74,71 ,64 , 78,77 ,69 , 85,83 ,74 , 92,86 ,76 , >95
Burkina Faso,71 ,58 , 85,75 ,61 , 90,81 ,67 , >95,80 ,67 , >95,86 ,71 , >95
Burundi,86 ,75 , >95,88 ,76 , >95,90 ,78 , >95,92 ,79 , >95,>95 ,84 , >95
Cabo Verde,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cambodia,79 ,68 , 91,81 ,70 , 93,81 ,70 , 93,83 ,72 , 95,86 ,74 , >95
Cameroon,72 ,63 , 79,77 ,67 , 84,80 ,71 , 89,82 ,73 , 91,84 ,74 , 92
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,66 ,55 , 81,69 ,57 , 85,71 ,58 , 89,73 ,60 , 93,75 ,61 , >95
Chad,60 ,48 , 71,63 ,52 , 76,66 ,54 , 79,69 ,57 , 83,72 ,59 , 87
Chile,... ,... , ...,... ,... , ...,... ,... , ...,75 ,67 , 83,77 ,69 , 86
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,48 ,39 , 57,50 ,41 , 60,54 ,43 , 65,57 ,45 , 69,53 ,42 , 65
Comoros,45 ,23 , 83,63 ,33 , >95,76 ,40 , >95,83 ,43 , >95,>95 ,51 , >95
Congo,53 ,42 , 65,55 ,43 , 69,56 ,44 , 73,57 ,44 , 76,58 ,43 , 81
