Country,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,... ,... , ...,... ,... , ...,29 ,12 , 93,28 ,12 , 94,28 ,11 , >95
Albania,56 ,33 , 94,58 ,34 , >95,60 ,33 , >95,62 ,32 , >95,66 ,32 , >95
Algeria,71 ,43 , >95,69 ,41 , >95,67 ,38 , >95,65 ,35 , >95,73 ,37 , >95
Angola,50 ,43 , 59,54 ,47 , 64,58 ,49 , 68,60 ,51 , 71,62 ,52 , 74
Argentina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Armenia,51 ,44 , 62,57 ,49 , 69,65 ,55 , 80,74 ,62 , 95,75 ,62 , >95
Australia,89 ,66 , >95,90 ,67 , >95,90 ,66 , >95,91 ,65 , >95,... ,... , ...
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,74 ,56 , >95
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bangladesh,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Barbados,69 ,35 , >95,74 ,37 , >95,79 ,39 , >95,86 ,40 , >95,91 ,42 , >95
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,83 ,68 , >95,... ,... , ...
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Benin,42 ,28 , 64,46 ,30 , 70,50 ,33 , 76,50 ,33 , 76,56 ,37 , 86
Bhutan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,81 ,72 , 89,82 ,73 , 90,85 ,75 , 92,88 ,79 , >95,91 ,82 , >95
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bulgaria,80 ,73 , 88,82 ,75 , 90,83 ,75 , 92,84 ,75 , 93,84 ,75 , 94
Burkina Faso,56 ,46 , 67,60 ,49 , 72,63 ,52 , 75,65 ,52 , 77,65 ,53 , 77
Burundi,69 ,60 , 81,72 ,63 , 85,75 ,65 , 90,78 ,67 , 93,81 ,70 , >95
Cabo Verde,86 ,74 , >95,91 ,77 , >95,91 ,76 , >95,91 ,75 , >95,94 ,78 , >95
Cambodia,69 ,59 , 80,73 ,62 , 84,74 ,63 , 86,78 ,66 , 90,83 ,71 , 95
Cameroon,66 ,57 , 73,70 ,60 , 78,74 ,64 , 82,77 ,67 , 84,78 ,68 , 86
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,60 ,49 , 75,62 ,51 , 77,63 ,51 , 79,64 ,51 , 82,66 ,53 , 86
Chad,57 ,46 , 66,61 ,49 , 71,63 ,50 , 74,66 ,52 , 78,69 ,54 , 82
Chile,... ,... , ...,... ,... , ...,... ,... , ...,90 ,77 , >95,93 ,79 , >95
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,45 ,36 , 54,48 ,39 , 59,54 ,43 , 66,59 ,48 , 73,64 ,52 , 80
Comoros,30 ,16 , 57,38 ,20 , 71,55 ,30 , >95,67 ,37 , >95,74 ,40 , >95
Congo,42 ,34 , 52,43 ,34 , 55,45 ,35 , 58,46 ,35 , 60,46 ,34 , 64
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cuba,73 ,45 , >95,75 ,46 , >95,77 ,48 , >95,80 ,50 , >95,83 ,51 , >95
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,50 ,43 , 59,53 ,47 , 62,56 ,49 , 66,60 ,52 , 70,64 ,55 , 74
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,30 ,25 , 36,41 ,34 , 49,51 ,42 , 61,64 ,52 , 77,72 ,58 , 87
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,63 ,44 , 95,74 ,52 , >95,85 ,60 , >95,94 ,66 , >95,... ,... , ...
Dominican Republic,50 ,40 , 64,57 ,46 , 72,61 ,48 , 76,71 ,56 , 87,78 ,61 , >95
Ecuador,... ,... , ...,50 ,37 , 87,62 ,46 , >95,71 ,52 , >95,78 ,57 , >95
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,52 ,45 , 62,57 ,49 , 68,62 ,54 , 74,69 ,59 , 82,72 ,62 , 86
Equatorial Guinea,53 ,43 , 67,55 ,44 , 71,58 ,44 , 75,59 ,44 , 80,61 ,44 , 84
Eritrea,89 ,67 , >95,90 ,68 , >95,90 ,67 , >95,90 ,66 , >95,90 ,65 , >95
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Eswatini,90 ,82 , >95,93 ,85 , >95,95 ,87 , >95,>95 ,88 , >95,>95 ,89 , >95
Ethiopia,76 ,59 , >95,79 ,61 , >95,81 ,63 , >95,83 ,64 , >95,85 ,66 , >95
Fiji,... ,... , ...,23 ,15 , 44,24 ,16 , 48,29 ,19 , 59,35 ,22 , 73
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,78 ,61 , >95,81 ,63 , >95,83 ,64 , >95,86 ,65 , >95,86 ,66 , >95
Gambia,28 ,22 , 36,29 ,23 , 37,30 ,24 , 38,31 ,24 , 39,32 ,24 , 41
Georgia,74 ,52 , >95,76 ,52 , >95,72 ,49 , >95,70 ,46 , >95,66 ,42 , >95
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,38 ,29 , 48,39 ,29 , 50,39 ,29 , 52,40 ,29 , 55,44 ,31 , 60
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guatemala,53 ,45 , 65,56 ,47 , 69,59 ,51 , 72,63 ,54 , 77,68 ,58 , 83
Guinea,36 ,31 , 42,38 ,33 , 45,47 ,40 , 55,46 ,40 , 54,49 ,43 , 58
Guinea-Bissau,37 ,32 , 43,41 ,35 , 47,43 ,37 , 50,45 ,38 , 52,47 ,40 , 54
Guyana,62 ,54 , 68,77 ,68 , 86,88 ,77 , >95,93 ,80 , >95,>95 ,84 , >95
Haiti,54 ,47 , 62,58 ,50 , 66,61 ,52 , 70,63 ,54 , 72,66 ,56 , 76
Honduras,... ,... , ...,44 ,37 , 52,47 ,39 , 55,49 ,40 , 57,51 ,42 , 61
Hungary,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),33 ,21 , 59,35 ,21 , 63,36 ,21 , 71,37 ,21 , 76,37 ,20 , 78
Ireland,... ,... , ...,... ,... , ...,87 ,69 , >95,90 ,71 , >95,... ,... , ...
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,91 ,49 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,67 ,60 , 74,66 ,59 , 73,65 ,59 , 73,67 ,61 , 75,68 ,62 , 77
Kenya,83 ,73 , >95,86 ,76 , >95,88 ,77 , >95,88 ,77 , >95,88 ,77 , >95
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kyrgyzstan,54 ,<1 , <1,53 ,<1 , <1,54 ,<1 , <1,55 ,<1 , <1,54 ,54 , 55
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,85 ,51 , >95,84 ,50 , >95,87 ,51 , >95,89 ,51 , >95,94 ,52 , >95
Lesotho,82 ,77 , 91,88 ,82 , >95,91 ,84 , >95,92 ,85 , >95,92 ,85 , >95
Liberia,38 ,30 , 46,39 ,31 , 48,41 ,32 , 51,43 ,34 , 55,46 ,36 , 59
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,86 ,73 , >95,87 ,74 , >95,90 ,76 , >95,88 ,75 , >95,87 ,74 , >95
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Madagascar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,13 ,10 , 16
Malawi,74 ,66 , 81,77 ,69 , 84,81 ,72 , 88,84 ,75 , 90,86 ,77 , 92
Malaysia,91 ,80 , >95,92 ,82 , >95,92 ,82 , >95,92 ,83 , >95,92 ,82 , >95
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,35 ,28 , 42,37 ,29 , 45,39 ,31 , 48,42 ,33 , 51,43 ,34 , 56
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,68 , >95
Mauritius,... ,... , ...,65 ,56 , 75,67 ,57 , 79,70 ,59 , 83,73 ,61 , 88
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mongolia,31 ,27 , 35,34 ,30 , 38,36 ,32 , 40,38 ,34 , 42,39 ,35 , 44
Montenegro,57 ,18 , >95,64 ,21 , >95,66 ,21 , >95,66 ,20 , >95,67 ,20 , >95
Morocco,52 ,42 , 66,56 ,45 , 72,60 ,49 , 77,65 ,53 , 83,68 ,54 , 85
Mozambique,50 ,39 , 63,54 ,43 , 69,59 ,46 , 74,63 ,50 , 79,66 ,52 , 83
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Namibia,87 ,80 , 95,88 ,82 , >95,90 ,83 , >95,91 ,84 , >95,92 ,85 , >95
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,77 ,66 , 88
Netherlands,85 ,77 , 92,86 ,78 , 93,87 ,79 , 95,89 ,80 , >95,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,53 ,42 , 66,64 ,51 , 81,74 ,59 , 93,83 ,66 , >95,93 ,73 , >95
Niger,45 ,39 , 51,48 ,42 , 54,52 ,45 , 59,55 ,48 , 63,58 ,51 , 67
Nigeria,54 ,40 , 73,58 ,43 , 78,60 ,44 , 80,61 ,46 , 83,63 ,47 , 85
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Norway,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Oman,80 ,63 , >95,70 ,54 , 86,69 ,53 , 84,64 ,50 , 80,68 ,53 , 84
Pakistan,13 ,11 , 15,14 ,13 , 17,16 ,14 , 18,21 ,19 , 24,24 ,21 , 27
Panama,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,67 ,60 , 75
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Peru,... ,... , ...,... ,... , ...,71 ,61 , 83,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,63 ,52 , 73,68 ,57 , 80,71 ,60 , 83,74 ,62 , 86
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,43 ,36 , 52,46 ,39 , 57,50 ,42 , 61,54 ,45 , 66,56 ,47 , 68
Romania,82 ,69 , >95,82 ,69 , >95,83 ,69 , >95,83 ,69 , >95,88 ,73 , >95
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,80 ,71 , 88,83 ,75 , 91,86 ,76 , 94,88 ,78 , 95,89 ,79 , >95
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Senegal,45 ,37 , 53,47 ,39 , 56,49 ,41 , 58,51 ,43 , 61,54 ,46 , 65
Serbia,86 ,74 , >95,85 ,71 , >95,85 ,70 , >95,87 ,69 , >95,87 ,68 , >95
Sierra Leone,28 ,23 , 32,30 ,26 , 35,33 ,28 , 38,35 ,30 , 40,37 ,31 , 43
Singapore,69 ,58 , 80,73 ,61 , 85,77 ,65 , 91,80 ,66 , 94,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
