Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<500 ,<200 , 1300,<500 ,<200 , 1400,<500 ,<200 , 1600,<1000 ,<200 , 1900,<1000 ,<500 , 2100,<1000 ,<500 , 2500,<1000 ,<500 , 2800,<1000 ,<500 , 3000,<1000 ,<500 , 3500
Albania,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000
Algeria,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<1000 , 1600,1100 ,<1000 , 1900,1300 ,<1000 , 2200,1500 ,<1000 , 2500,1800 ,1000 , 2900,2100 ,1200 , 3400,2400 ,1400 , 4000,2800 ,1600 , 4600,3200 ,1800 , 5300,3700 ,2000 , 6100
Angola,<1000 ,<500 , 2300,1100 ,<500 , 2800,1300 ,<500 , 3200,1600 ,<1000 , 3800,2000 ,<1000 , 4600,2400 ,<1000 , 5400,2800 ,1100 , 6400,3400 ,1300 , 7400,3900 ,1500 , 8300,4600 ,1800 , 9700,5200 ,2100 , 11 000,6000 ,2500 , 12 000,6700 ,2800 , 14 000,7500 ,3300 , 15 000,8400 ,3700 , 17 000,9300 ,4100 , 18 000,10 000 ,4700 , 21 000,12 000 ,5400 , 24 000,13 000 ,6200 , 26 000,15 000 ,7100 , 29 000,17 000 ,8000 , 32 000,18 000 ,9100 , 36 000,20 000 ,10 000 , 39 000,23 000 ,11 000 , 42 000,25 000 ,12 000 , 47 000,28 000 ,14 000 , 51 000,31 000 ,15 000 , 54 000,33 000 ,17 000 , 58 000,36 000 ,19 000 , 62 000,39 000 ,21 000 , 67 000
Argentina,1100 ,<500 , 2100,1500 ,<1000 , 2900,2000 ,<1000 , 3800,2500 ,1000 , 4800,3100 ,1300 , 5900,3800 ,1600 , 7100,4500 ,2000 , 8200,5200 ,2300 , 9500,5900 ,2800 , 11 000,6900 ,3400 , 13 000,8100 ,4100 , 15 000,9300 ,5000 , 17 000,11 000 ,5800 , 19 000,12 000 ,6800 , 21 000,14 000 ,7900 , 23 000,15 000 ,9000 , 25 000,17 000 ,10 000 , 27 000,19 000 ,12 000 , 30 000,21 000 ,13 000 , 32 000,23 000 ,15 000 , 36 000,25 000 ,16 000 , 39 000,27 000 ,18 000 , 42 000,29 000 ,20 000 , 45 000,31 000 ,22 000 , 48 000,34 000 ,24 000 , 50 000,36 000 ,26 000 , 53 000,39 000 ,28 000 , 56 000,41 000 ,30 000 , 59 000,44 000 ,33 000 , 62 000,46 000 ,35 000 , 66 000
Armenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1200
Australia,<1000 ,<500 , 1800,1100 ,<500 , 2000,1200 ,<1000 , 2300,1300 ,<1000 , 2500,1500 ,<1000 , 2700,1600 ,<1000 , 2900,1700 ,<1000 , 3200,2000 ,1000 , 3600,2400 ,1300 , 4200,2800 ,1600 , 4900,3300 ,1900 , 5500,3700 ,2200 , 6200,4200 ,2500 , 6900,4700 ,2800 , 7500,5200 ,3200 , 8300,5800 ,3600 , 9200,6400 ,4000 , 10 000,7100 ,4500 , 11 000,7800 ,5000 , 12 000,8500 ,5500 , 13 000,9200 ,6100 , 14 000,10 000 ,6600 , 15 000,11 000 ,7200 , 16 000,11 000 ,7800 , 17 000,12 000 ,8400 , 18 000,13 000 ,8900 , 19 000,14 000 ,9500 , 20 000,14 000 ,10 000 , 20 000,15 000 ,11 000 , 21 000,16 000 ,11 000 , 22 000
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,1100 ,<1000 , 1700,1200 ,<1000 , 1800,1200 ,<1000 , 1900,1300 ,<1000 , 2100,1400 ,<1000 , 2200,1500 ,<1000 , 2300,1600 ,<1000 , 2500,1700 ,1100 , 2600,1800 ,1100 , 2700,1900 ,1200 , 2800,2000 ,1300 , 3000
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
