Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Afghanistan,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , 1000,<500 ,<500 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1800,<1000 ,<500 , 2000,<1000 ,<500 , 2100,<1000 ,<500 , 2200,1000 ,<1000 , 2500,1200 ,<1000 , 2700,1300 ,<1000 , 3100,1400 ,<1000 , 3500,1600 ,<1000 , 4000,1700 ,<1000 , 4600,1900 ,<1000 , 5200,2100 ,<1000 , 6100,2300 ,<1000 , 7100,2500 ,1100 , 8100,2800 ,1100 , 9500
Albania,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500
Algeria,<200 ,<100 , <200,<200 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1300,1100 ,<1000 , 1500,1200 ,<1000 , 1700,1400 ,<1000 , 1900,1600 ,1000 , 2200,1800 ,1200 , 2500,2100 ,1300 , 2800,2400 ,1500 , 3300,2700 ,1700 , 3700,3100 ,1900 , 4200,3500 ,2200 , 4800,4000 ,2500 , 5500,4500 ,2800 , 6200,5100 ,3000 , 7000,5600 ,3200 , 7900,6200 ,3400 , 8800,6800 ,3500 , 9900,7500 ,3500 , 11 000,8100 ,3600 , 12 000
Angola,5800 ,3300 , 11 000,7500 ,4500 , 13 000,9500 ,6000 , 16 000,12 000 ,7900 , 19 000,15 000 ,10 000 , 22 000,18 000 ,13 000 , 26 000,22 000 ,16 000 , 31 000,26 000 ,20 000 , 35 000,31 000 ,24 000 , 40 000,36 000 ,29 000 , 46 000,42 000 ,34 000 , 52 000,49 000 ,40 000 , 60 000,56 000 ,47 000 , 68 000,63 000 ,53 000 , 75 000,71 000 ,60 000 , 84 000,79 000 ,66 000 , 93 000,87 000 ,74 000 , 100 000,96 000 ,81 000 , 110 000,100 000 ,89 000 , 120 000,110 000 ,97 000 , 130 000,120 000 ,100 000 , 140 000,130 000 ,110 000 , 150 000,140 000 ,120 000 , 160 000,140 000 ,130 000 , 170 000,150 000 ,130 000 , 180 000,160 000 ,140 000 , 190 000,170 000 ,140 000 , 200 000,180 000 ,150 000 , 210 000,180 000 ,150 000 , 210 000,190 000 ,150 000 , 220 000
Argentina,3600 ,3000 , 4500,4800 ,4200 , 6000,6200 ,5400 , 7700,7700 ,6800 , 9600,9100 ,8100 , 11 000,10 000 ,9200 , 13 000,12 000 ,10 000 , 14 000,13 000 ,11 000 , 16 000,14 000 ,12 000 , 17 000,15 000 ,13 000 , 18 000,16 000 ,14 000 , 19 000,17 000 ,15 000 , 20 000,18 000 ,16 000 , 21 000,19 000 ,17 000 , 21 000,20 000 ,17 000 , 23 000,21 000 ,18 000 , 23 000,21 000 ,19 000 , 24 000,22 000 ,20 000 , 25 000,23 000 ,20 000 , 26 000,24 000 ,21 000 , 27 000,24 000 ,21 000 , 28 000,25 000 ,22 000 , 28 000,26 000 ,23 000 , 29 000,26 000 ,23 000 , 30 000,27 000 ,24 000 , 31 000,27 000 ,24 000 , 31 000,28 000 ,24 000 , 32 000,28 000 ,24 000 , 32 000,28 000 ,24 000 , 33 000,29 000 ,24 000 , 33 000
Armenia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100
Australia,<1000 ,<1000 , <1000,<1000 ,<1000 , 1100,1000 ,<1000 , 1200,1000 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1200,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1100 ,<1000 , 1300,1200 ,<1000 , 1400,1200 ,<1000 , 1400,1200 ,1000 , 1400,1200 ,1000 , 1500,1300 ,1000 , 1500,1300 ,1100 , 1500,1300 ,1100 , 1600,1400 ,1100 , 1600,1400 ,1100 , 1700,1500 ,1100 , 1700,1500 ,1200 , 1800,1500 ,1200 , 1900,1600 ,1200 , 1900,1600 ,1300 , 2000,1700 ,1300 , 2100,1800 ,1400 , 2200,1800 ,1400 , 2300,1900 ,1400 , 2400,1900 ,1400 , 2500,1900 ,1400 , 2600
Austria,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Azerbaijan,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <1000,<500 ,<100 , 1000,<1000 ,<200 , 1700,<1000 ,<500 , 2500,1300 ,<500 , 3200,1700 ,<500 , 3500,2000 ,<1000 , 3700,2300 ,<1000 , 3800,2500 ,1200 , 3900,2600 ,1500 , 4000,2700 ,1700 , 3900,2800 ,1900 , 3900,2800 ,2000 , 3900,2800 ,2100 , 3900,2900 ,2100 , 3800,2800 ,2100 , 3800,2800 ,2100 , 3800,2800 ,2100 , 3700,2700 ,2100 , 3600,2700 ,2100 , 3600,2700 ,2000 , 3500,2600 ,2000 , 3500,2600 ,2000 , 3500,2600 ,2000 , 3500,2600 ,2000 , 3400
Bahamas,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Bahrain,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
