Country,2017,2018,2019
Armenia,,8,
Austria,116,,
Bahamas,9,23,
Barbados,1,28,
Botswana,,38,1954
Brazil,,8108,15 074
Cambodia,,,203
Cameroon,,,374
Chile,,,259
Czech Republic,,70,
Dominican Republic,,195,268
Gambia,,,15
Georgia,15,121,258
Germany,2000,,
Greece,75,,
Grenada,,1,
Guatemala,30,45,198
Haiti,,,382
Kenya,53 291,31 313,54 498
Kuwait,36,41,
Kyrgyzstan,,2,14
Lesotho,853,7279,35 478
Luxembourg,40,,
Malawi,,,459
Malta,94,,
Mauritius,,3,
Mongolia,1,1,1
Morocco,400,119,
Mozambique,303,1934,
Namibia,190,,
Nigeria,364,,2709
Peru,,544,
Republic of Moldova,,1,90
Saint Lucia,1,,
Seychelles,2,4,26
Singapore,24,,
Slovenia,2,,
South Africa,3189,8184,
Thailand,1865,2888,
Uganda,1969,7526,
Ukraine,4,125,1735
United Kingdom,6000,,
United States,33 273,,
Uruguay,28,54,
Viet Nam,808,2429,7564
Zambia,,3823,
Zimbabwe,2714,4982,8351
