Country,2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote
Afghanistan,,,,,,,48.9,"Source: 2015 DHS",,,,,,,,
Angola,,,,,,,,,24.2,"Source: 2015-16 DHS",,,,,,
Armenia,,,,,,,,,3.7,"Source: 2015-16 DHS",,,,,,
Bangladesh,,,,,,,27.6,"Source: 2015 Report on violence against women survey",,,,,,,,
Bolivia (Plurinational State of),,,,,,,,,38.6,"Source: DHS 2016 (GAM 2019)",,,,,,
Cambodia,,,,,11.3,"Source: 2014 DHS",,,,,,,,,,
Chad,,,,,17.3,"Source: 2014 DHS",,,,,,,,,,
Colombia,,,,,,,33.4,"Source: 2015 DHS",,,,,,,,
Congo,,,,,35.6,"Source: 2013-14 DHS",,,,,,,,,,
Cuba,,,,,,,,,,,6.9,"Source: GAM 2017",,,,
Dominican Republic,,,15,"Source: 2013 DHS",,,,,,,,,,,,
Egypt,,,,,12.8,"Source: 2014 DHS",,,,,,,,,,
Ethiopia,,,,,,,,,18.8,"Source: 2016 DHS",,,,,,
Gambia,,,7.8,"Source: 2013 DHS",,,,,,,,,,,,
Guatemala,,,,,,,7.9,"Source: 2014-15 DHS",,,,,,,,
Kenya,,,,,25.1,"Source: 2014 DHS",,,,,,,,,,
Kyrgyzstan,18.7,"Source: 2012 DHS",,,,,,,,,,,,,,
Malawi,,,,,,,,,23.6,"Source: 2015-16 DHS",,,,,,
Maldives,,,,,,,,,,,5.1,"Source: 2016-17 DHS",,,,
Mali,,,26.1,"Source: 2012-13 DHS",,,,,,,,,20.3,"Source: 2018 DHS",,
Mexico,,,,,,,,,8.5,"Source: 2016 ENDIREH",,,,,,
Myanmar,,,,,,,,,10.3,"Source: 2015-16 DHS",,,,,,
Namibia,,,18.6,"Source: 2013 DHS",,,,,,,,,,,,
Nepal,,,,,,,,,10.4,"Source: 2016 DHS",,,,,,
Nigeria,,,10.8,"Source: 2013 DHS",,,,,,,,,12.9,"Source: 2018 DHS",,
Papua New Guinea,,,,,,,,,,,,,46,"Source: 2016-18 DHS",,
Peru,,,,,,,,,10.1,"Source: 2016 DHS",,,,,,
Rwanda,,,,,,,20.2,"Source: 2015 DHS",,,,,,,,
Senegal,,,,,,,,,,,11.4,"Source: DHS 2017 (GAM 2019)",,,,
Sierra Leone,,,27.2,"Source: 2013 DHS",,,,,,,,,,,38.2,"Source: 2019 DHS"
South Africa,,,,,,,,,,,30.2,"Source: HSRC 2017 (GAM 2019)",,,,
Togo,,,,,12.3,"Source: 2013-14 DHS",,,,,,,,,,
Uganda,,,,,,,,,28.7,"Source: 2016 DHS",,,,,,
United Republic of Tanzania,,,,,,,28.3,"Source: 2015 DHS",,,,,,,,
Zambia,,,,,25.2,"Source: 2013-14 DHS",,,,,,,24.4,"Source: 2018 DHS",,
Zimbabwe,,,,,,,17.7,"Source: 2015 DHS",,,,,,,,
