Country,2013,2014,2015,2016,2017,2018
Afghanistan,13.2,8.0,4.3,5.1,3.1,4.9
Albania,,3.1,6.9,4.7,4.3,4.2
Algeria,,,9.8,15.4,9.0,14.7
Angola,,,,17.3,10.6,8.9
Antigua and Barbuda,,2.2,<0.1,<0.1,<0.1,<0.1
Argentina,,3.1,2.4,,,
Armenia,19.7,21.3,20.6,17.0,13.2,12.5
Azerbaijan,16.8,16.7,16.1,7.9,12.0,9.2
Bahamas,,1.1,,6.1,1.7,0.7
Bahrain,,,,,,<0.1
Bangladesh,22.1,10.3,11.2,11.4,6.4,5.7
Barbados,,3.0,<0.1,<0.1,<0.1,<0.1
Belarus,6.4,5.2,3.5,1.7,2.8,4.6
Benin,,,,,,15.5
Bhutan,,,1.7,,,
Bolivia (Plurinational State of),,,53.9,,,
Bosnia and Herzegovina,,100.0,100.0,100.0,,
Brunei Darussalam,<0.1,,,,,7.9
Bulgaria,4.5,4.0,14.3,,,
Burkina Faso,7.2,9.8,7.6,0.7,1.6,0.7
Burundi,,,,,13.6,
Cabo Verde,5.4,6.4,13.4,,,
Cambodia,18.1,18.9,16.7,,6.5,
Central African Republic,9.6,,5.8,,32.7,
Chile,,,,,,2.0
China,3.4,2.9,2.8,2.7,,2.1
Colombia,,,0.6,12.6,,3.5
Comoros,100.0,100.0,,4.2,10.0,14.3
Congo,,,,,2.5,25.5
Costa Rica,,,,3.1,,3.6
Cuba,2.3,0.9,0.5,0.4,0.6,0.2
Cyprus,<0.1,,,,,
Czech Republic,,,,2.0,,1.6
Côte d'Ivoire,15.9,3.2,11.0,4.9,5.6,
Democratic Republic of the Congo,,4.4,3.3,,,8.5
Djibouti,56.2,,,18.6,,
Dominica,,,,16.7,<0.1,<0.1
Dominican Republic,,,,21.1,2.1,4.9
Ecuador,,,,21.3,12.0,16.5
Egypt,0.9,,,,,0.2
El Salvador,12.6,7.9,3.3,,21.8,7.9
Equatorial Guinea,6.5,27.1,3.2,,41.3,
Eritrea,16.7,8.5,7.5,,4.9,6.5
Eswatini,,,,1.7,1.0,
Ethiopia,,22.0,,5.9,6.1,4.0
Fiji,1.6,17.2,100.0,9.1,,
Gabon,1.0,3.0,15.1,5.6,12.5,
Georgia,7.5,7.2,6.3,7.0,5.5,3.2
Ghana,,,11.0,,4.7,3.1
Greece,,,2.3,,,
Grenada,<0.1,,<0.1,3.3,<0.1,<0.1
Guatemala,,,20.0,5.4,5.5,5.4
Guinea,,9.5,19.1,,18.2,14.4
Guinea-Bissau,,0.8,,,23.5,
Guyana,,5.3,7.2,4.7,4.2,13.4
Haiti,12.1,,8.9,8.4,6.5,5.1
Honduras,15.2,15.8,13.9,8.3,5.8,6.7
India,2.3,3.1,11.8,12.1,11.2,17.0
Indonesia,22.0,,23.3,27.0,21.9,20.9
Iran (Islamic Republic of),,,,4.0,6.1,4.3
Jordan,,,<0.1,,,
Kazakhstan,4.8,10.9,9.5,7.3,7.2,7.5
Kenya,,,15.3,,5.3,
Kiribati,,20.0,33.3,,,
Kuwait,,,,<0.1,<0.1,3.9
