Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,95.1,
Armenia,100,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,75,
Azerbaijan,82.5,
Bangladesh,77.2,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,91.2,
Benin,86.6,
Bosnia and Herzegovina,76,
Bulgaria,63.4,
Cambodia,93,
Canada,90.9,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,78.5,"Source: National HIV sentinel surveillance"
Czech Republic,84.4,"Source: Czech National Monitoring Centre for Drugs and Drug Addiction"
Democratic Republic of the Congo,48.4,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,25.2,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,100,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
Georgia,82.5,
Germany,88.1,"Source: BBS"
Greece,92.6,"Source: Greek Reitox focal point of the EMCDDA (from people entering OSST)"
Hungary,75,
India,86.8,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,83.4,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),72.7,"Source: IBBS, 2019"
Kazakhstan,45.9,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,77.8,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Lithuania,66.7,"Source: Lithuanian Centre for Communicable Diseases and AIDS, 2017"
Madagascar,67.9,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable, Année 2016"
Malaysia,77.6,"Source:  Behavioural Surveillance Survey, 2017"
Mauritius,93.5,"Source:  IBBS among PWID in 2017"
Mexico,75.7,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,92.6,"Source: Bio-behavioural Survey, RDS sampling method"
Morocco,87.5,"Source: Étude RDS auprès des PID, 2017"
Myanmar,91.3,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,96.6,"Source:  Integrated biological and behavioural Surveillance Survey 2017"
Nigeria,75.5,
Pakistan,85,
Philippines,60.4,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,100,
Romania,39.1,
Senegal,50,
Serbia,84.2,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Sierra Leone,39.1,
Sweden,40,
Switzerland,66.7,
Tajikistan,47.3,"Source: Behavioral surveillance, 2018"
Thailand,72.9,
The former Yugoslav Republic of Macedonia,90,"Source: Respondent driven sampling among PWID in the capital city, 2017."
Tunisia,89.2,"Source: Enquête sérocomportementale auprès des UDI réalisée en 2017-2018"
Ukraine,95.5,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,45,"Source: UAM Survey of PWID"
United Republic of Tanzania,83.6,
United States,24,"Source: National HIV Behavioral Surveillance System (NHBS)"
Uzbekistan,89.8,
Viet Nam,97.7,"Source: HSS+"
