Country,Most recent data as of 2019,Most recent data as of 2019_Footnote
Afghanistan,93.6,
Armenia,85.9,"Source: Integrated Biological and Behavioral Surveillance Survey"
Australia,78.7,
Azerbaijan,80.5,
Bangladesh,86.6,"Source: Mapping Study and Size Estimation of Key Populations in Bangladesh for HIV Programs, 2015 (unpublished)"
Belarus,91.8,
Benin,96.5,
Bosnia and Herzegovina,80.4,
Bulgaria,73.8,
Cambodia,69,
Canada,92.4,"Source: Tracks Survey of people who inject drugs in Canada, Phase 4, 2017-2019"
China,86.8,"Source: National HIV sentinel surveillance"
Czech Republic,90.1,"Source: Czech National Monitoring Centre for Drugs and Drug Addiction"
Democratic Republic of the Congo,51.5,"Source: ENQUÊTE DE SURVEILLANCE COMPORTEMENTALE ET DE SÉROPRÉVALENCE AUPRÈS DES POPULATIONS À RISQUE DE L'INFECTION À VIH DANS 14 PROVINCES, 2018-2019"
Egypt,33,"Source: Network of Associations for Harm Reduction NAHR"
Estonia,97.4,"Source: Vorobjov S, Salekešin M. HIV levimuse ja riskikäitumise uuring Narva narkootikume süstivate inimeste seas 2018. Tallinn: Tervise Arengu Instituut; 2019."
Georgia,90.8,
Germany,91.2,"Source: BBS"
Greece,85.8,"Source: Greek Reitox focal point of the EMCDDA (from people entering OSST)"
Hungary,86.3,
India,86.3,"Source: National Integrated Biological and Behavioural Surveillance (IBBS) 2014-15"
Indonesia,88.9,"Source: Integrated Biological and Behavior Survey"
Iran (Islamic Republic of),73.4,"Source: IBBS, 2019"
Kazakhstan,52.9,"Source: Behavioral surveillance, 2018"
Kyrgyzstan,81.1,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ), со связанным анонимным тестированием образцов сухой капли крови на ВИЧ, Гепатит С и антитела к сифилису."
Lithuania,65.8,"Source: Lithuanian Centre for Communicable Diseases and AIDS, 2017"
Madagascar,70,"Source: Rapport préliminaire de l'Etude de surveillance biologique et comportementale chez les consommateurs de drogue injectable, Année 2016"
Malaysia,79.5,"Source:  Behavioural Surveillance Survey, 2017"
Mauritius,92,"Source:  IBBS among PWID in 2017"
Mexico,70,"Source: Encuesta de seguimiento sobre Usuarios de Drogas Inyectables"
Montenegro,92,"Source: Bio-behavioural Survey, RDS sampling method"
Morocco,92.2,"Source: Étude RDS auprès des PID, 2017"
Myanmar,90.7,"Source: Integrated Biological and Behavioural Survey (IBBS) among People who inject drugs (PWID)"
Nepal,98.4,"Source:  Integrated biological and behavioural Surveillance Survey 2017"
Nigeria,69.7,
Pakistan,69.7,
Philippines,65,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance (IHBSS)"
Republic of Moldova,99.2,
Romania,32.1,
Senegal,75,
Serbia,83.1,"Source: Research among most at risk population and among people living with HIV. Institute of Public Health of Serbia "
Sierra Leone,39,
Sweden,56,
Switzerland,54.7,
Tajikistan,55.8,"Source: Behavioral surveillance, 2018"
Thailand,89,"Source: Integrated Bio-Behavioral  Survey (IBBS) using Respondent Driven Sampling (RDS) Method"
The former Yugoslav Republic of Macedonia,94.8,"Source: Respondent driven sampling among PWID in the capital city, 2017."
Tunisia,91.3,"Source: Enquête sérocomportementale auprès des UDI réalisée en 2017-2018"
Ukraine,96.7,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,32.6,"Source: UAM Survey of PWID"
United Republic of Tanzania,84.5,
United States,36,"Source: National HIV Behavioral Surveillance System (NHBS)"
Uzbekistan,84.9,
Viet Nam,98.2,"Source: HSS+"
